	CATEGORY	STARTING_STARS	ROLE	SECTION	SUB_SECTION	VERTICAL_SORTING	ENTRANCE_SORTING	TEAM	RELEASE_ORDER	MOD_HP	MOD_SKILL_POWER	MOD_BASIC_DAMAGE
SOULLESS_CANNON	NPC	1	DPS	CENTRAL	10	1130	1400	NONE				
SOULLESS_MAGE_F	NPC	1	SUPPORT	BACK	70	1200	1400	NONE				
SOULLESS_MAGE_N	NPC	1	SUPPORT	BACK	80	1250	1400	NONE				
SOULLESS_AUTOTURRET	NPC	1	DPS	BACK	90	530	1400	NONE				
SOULLESS_TURRET	NPC	1	DPS	BACK	90	550	1400	NONE				
SOULLESS_SPLASH_N	NPC	1	DPS	CENTRAL	40	625	1400	NONE				
SOULLESS_SPLASH_F	NPC	1	DPS	CENTRAL	50	640	1400	NONE				
SOULLESS_SKELETON_SUMMON	MINION	1	DPS	FRONT	20	1125	1400	NONE				
SOULLESS_SKELETON	NPC	1	TANK	FRONT	30	1150	1400	NONE				
SOULLESS_GHOUL_N	NPC	1	DPS	FRONT	40	1326	1400	NONE				
SOULLESS_GHOUL_F	NPC	1	DPS	FRONT	50	1325	1400	NONE				
SOULLESS_BUG_N	NPC	1	DPS	BACK	20	946	1400	NONE				
SOULLESS_BUG_F	NPC	1	DPS	BACK	30	945	1400	NONE				
CAT_BURGLAR	NPC	1	DPS	CENTRAL	45	1000	8	NONE				
SOULLESS_GLASS_CANNON_N	NPC	1	DPS	BACK	100000	401	1400	NONE				
SOULLESS_GLASS_CANNON_F	NPC	1	DPS	BACK	100010	402	1400	NONE				
MAMA_BOT	BOSS	1	TANK	BACK	200010	3000	1401	NONE				
SOULLESS_SPIDER_TANK	NPC	1	CONTROL	BACK	100010	304	1400	NONE				
SOULLESS_SPIDER_DPS	NPC	1	CONTROL	BACK	100010	301	1400	NONE				
SOULLESS_SPIDER_CONTROL	NPC	1	CONTROL	BACK	100010	302	1400	NONE				
SOULLESS_SPIDER_SUPPORT	NPC	1	CONTROL	BACK	100010	303	1400	NONE				
SOULLESS_TREASURE	NPC	1	DPS	FRONT	25	202	1400	NONE				
SOULLESS_DINOSAUR	NPC	1	DPS	FRONT	15	423	1400	NONE				
SOULLESS_DINOSAUR_F	NPC	1	DPS	FRONT	20	422	1400	NONE				
SHOCK_BOT	BOSS	1	TANK	BACK	100010	402	1400	NONE				
SOULLESS_CACTUS_N	NPC	1	DPS	CENTRAL	65	515	1400	NONE				
SOULLESS_CACTUS_F	NPC	1	DPS	BACK	66	516	1400	NONE				
SOULLESS_ONION	NPC	1	CONTROL	FRONT	300	465	1400	NONE				
SOULLESS_FROST_MONSTER	NPC	1	CONTROL	FRONT	9	702	1400	NONE				
SOULLESS_RED_DOT	NPC	1	DPS	BACK	9	703	1400	NONE				
SOULLESS_MEGA_BRUTE	NPC	1	TANK	FRONT	2	1235	1400	NONE				
SOULLESS_MEGA_MAGE	NPC	1	SUPPORT	BACK	109	1235	1400	NONE				
MEGA_VIRUS	BOSS	1	NONE	BACK	200010	3000	1401	NONE				
