	TRIGGER_TYPE	TRIGGER_VALUE	STAT_BUFF_1_TYPE	STAT_BUFF_2_TYPE	STAT_BUFF_2_SUBTYPE	EFFECT_BUFF_TYPE
PACHA	SHIELD_AMOUNT	2	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	TANK	TEAM_SHIELD
DAISY_DUCK	SILENCE_AMOUNT	3	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	ENERGY_GAIN
SNOW_WHITE	BLIND_AMOUNT	4	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	REALITY_NEGATION
PRINCESS_AURORA	SILENCE_AMOUNT	5	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	CONTROL	TEAM_HOT
PRINCE_PHILLIP	SHIELD_AMOUNT	2	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	TANK	ENERGIZED_1
MILO_THATCH	STUDY_AMOUNT	3	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	TEAM_HOT
AUDREY_RAMIREZ	PIERCE_AMOUNT	5	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	YELLOW	BERSERK
DUFF_KILLIGAN	STUN_AMOUNT	3	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	ENERGIZED_1
MOTHER_GOTHEL	FATIGUE_AMOUNT	5	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	DPS	TEAM_HOT
AGENT_P	STUN_AMOUNT	2	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	INVISIBILITY
TWENTY_TWO	SLOW_AMOUNT	4	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	SELF_HOT
MEILIN_LEE	KNOCK_BACK_AMOUNT	3	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	TEAM_SHIELD
THE_MAYOR	BASIC_ATTACK_AMOUNT	12	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	ATTACK_MOVE_SPEED_1
QUASIMODO	SHIELD_AMOUNT	2	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	HARDY
MAYOR_BELLWETHER	CHARM_AMOUNT	2	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	TANK	TEAM_SHIELD
CINDERELLA	SHIELD_AMOUNT	2	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	ATTACK_MOVE_SPEED_1
LUCA_AND_ALBERTO	SLOW_AMOUNT	4	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	ATTACK_MOVE_SPEED_2
PHOEBUS	STUN_AMOUNT	3	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	TEAM_SHIELD
LITTLE_JOHN	SKILL1_AMOUNT	3	REALITY_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	TEAM_HOT
STATLER_AND_WALDORF	SKILL1_AMOUNT	2	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	TENACITY
FLASH	SLOW_AMOUNT	3	ARMOR_BOOST	REALITY_BOOST_PER_ALLY_ROLE	TANK	EVASION
CHEF_SKINNER	SHATTER_AMOUNT	3	REALITY_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	SUPPORT	BERSERK
SWEETUMS	WEAKNESS_AMOUNT	5	BASIC_DAMAGE_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	DPS	BERSERK
ABU	SILENCE_AMOUNT	3	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	BLUE	INVISIBILITY
JAKE_LONG	SHIELD_AMOUNT	2	REALITY_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	RED	REFLECT
MONKEY_FIST	PIERCE_AMOUNT	2	BASIC_DAMAGE_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	ENERGIZED_2
COGSWORTH_AND_LUMIERE	STUDY_AMOUNT	3	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	SELF_HEAL
TIANA	SHIELD_AMOUNT	9	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	REALITY_NEGATION
NEGADUCK	KNOCK_BACK_AMOUNT	3	BASIC_DAMAGE_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	DPS	INVISIBILITY
PEGASUS	REFLECT_AMOUNT	2	ARMOR_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	TEAM_SHIELD
BOWLER_HAT_GUY	PIERCE_AMOUNT	5	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	DPS	REFLECT
ROSE	SHATTER_AMOUNT	2	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	DPS	PRECISE
KUZCO	SHIELD_AMOUNT	2	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	CONTROL	SELF_HEAL
DANTE	SAP_AMOUNT	3	REALITY_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	DPS	BERSERK
EDA_CLAWTHORNE	SHIELD_AMOUNT	2	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	ATTACK_MOVE_SPEED_1
SHERE_KHAN	CURSE_AMOUNT	3	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	BERSERK
LUZ_NOCEDA	SHATTER_AMOUNT	2	MAX_HP_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	RED	REFLECT
DR_DOOFENSHMIRTZ	CHARM_AMOUNT	1	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	ENERGIZED_1
MAX_GOOF	BLIND_AMOUNT	2	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	PRECISE
MCLEACH	TIME	10	ARMOR_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	SELF_HOT
CRUELLA	SCARE_AMOUNT	5	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	INVINCIBILITY
MIRABEL_MADRIGAL	CHARM_AMOUNT	2	ARMOR_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_SHIELD
HEIMLICH	TIME	10	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	TEAM_SHIELD
BRUNO_MADRIGAL	REFLECT_AMOUNT	2	ARMOR_BOOST	REALITY_BOOST_PER_ALLY_ROLE	DPS	EVASION
ISABELA_MADRIGAL	DOT_AMOUNT	2	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	BERSERK
LADY_AND_TRAMP	TIME	10	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	SELF_SHIELD
MAMA_ODIE	CHARM_AMOUNT	1	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	DPS	TEAM_SHIELD
FRANNY_ROBINSON	TIME	10	ARMOR_BOOST	REALITY_BOOST_PER_ALLY_ROLE	DPS	CRIT_DAMAGE
CHICKEN_LITTLE	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	ATTACK_MOVE_SPEED_2
RATIGAN	BASIC_ATTACK_AMOUNT	12	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	TANK	ARMOR_NEGATION
JOE_GARDNER	BASIC_ATTACK_AMOUNT	12	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	INVINCIBILITY
ELIZABETH_SWANN	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	SUPPORT	REFLECT
MUFASA	TIME	10	MAX_HP_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	RED	SELF_SHIELD
PENNY_PROUD	TIME	10	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	ENERGY_GAIN
FERB	FROZEN_AMOUNT	3	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	SELF_SHIELD
LUISA_MADRIGAL	KNOCK_BACK_AMOUNT	3	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	INVINCIBILITY
EMBER_LUMEN	TIME	10	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	ARMOR_NEGATION
ANNE_BOONCHUY	WEAKNESS_AMOUNT	1	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	HARDY
CHERNABOG	SHATTER_AMOUNT	1	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	DPS	FANTASTIC_CRIT
HUNTSMAN	TIME	10	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	DPS	INVISIBILITY
WADE_RIPPLE	SHIELD_AMOUNT	9	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	HARDY
SUGA_MAMA	WEAKNESS_AMOUNT	1	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	ATTACK_MOVE_SPEED_1
ANXIETY	TIME	10	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	TENACITY
REPTILLUS_MAXIMUS	TIME	10	ARMOR_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	ATTACK_MOVE_SPEED_2
THOMAS_O_MALLEY	STUN_AMOUNT	3	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	ENERGIZED_1
ISABELLA_SHAPIRO	DOT_AMOUNT	2	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	INVINCIBILITY
LILITH_CLAWTHORNE	CURSE_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	REFLECT
LADY_TREMAINE	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	REFLECT
EDNA_MODE	SKILL1_AMOUNT	3	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	INVINCIBILITY
GANTU	BASIC_ATTACK_AMOUNT	12	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	BERSERK
CANDACE_FLYNN	TIME	10	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	SELF_HOT
DR_CALICO	BASIC_ATTACK_AMOUNT	12	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	CONTROL	INVINCIBILITY
PHINEAS	CHARM_AMOUNT	1	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	INVISIBILITY
CARL_THE_ROBOT	TIME	10	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	NORMAL_CRIT
YEN_SID	SHIELD_AMOUNT	2	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	EVASION
DUCHESS	TIME	10	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	INVINCIBILITY
REUBEN	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	INVINCIBILITY
ENVY	TIME	10	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	CRIT_DAMAGE
HECTOR_RIVERA	SCARE_AMOUNT	5	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	CONTROL	REFLECT
SIMEA	TIME	10	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	REFLECT
GISELLE	SHIELD_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	ENERGY_GAIN
EMBARRASSMENT	SHIELD_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	REFLECT
SCAT_CAT	BASIC_ATTACK_AMOUNT	12	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	CRIT_DAMAGE
ABBY_MALLARD	SLOW_AMOUNT	3	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	INVISIBILITY
HEADLESS_HORSEMAN	TIME	10	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	CRIT_DAMAGE
ENNUI	BLIND_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	ENERGY_GAIN
AMITY_BLIGHT	BASIC_ATTACK_AMOUNT	10	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	REFLECT
MARIE	TIME	10	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	ENERGY_GAIN
ERNESTO_DE_LA_CRUZ	ALLY_KO_AMOUNT	1	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	REFLECT
GAZELLE	BASIC_ATTACK_AMOUNT	12	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	YELLOW	ENERGY_GAIN
PIGLET	TIME	10	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	INVINCIBILITY
LIGHTNING_MCQUEEN	INVINCIBLE_AMOUNT	1	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	DPS	ENERGY_GAIN
BAMBI	TIME	10	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	SELF_HOT
DARWIN	TIME	10	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	HARDY
PINOCCHIO	SHIELD_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	BERSERK
KING_CANDY	TIME	10	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	TEAM_HOT
PONGO	INVISIBLE_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	CONTROL	ENERGY_GAIN
HANS	BASIC_ATTACK_AMOUNT	16	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	ATTACK_MOVE_SPEED_2
LOTSO	TIME	10	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	BERSERK
YOKAI	KNOCK_BACK_AMOUNT	3	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	INVISIBILITY
MATER	TIME	10	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	BERSERK
MOLLY_MCGEE	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	INVINCIBILITY
CAPTAIN_GRIME	BASIC_ATTACK_AMOUNT	12	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	BERSERK
DUMBO	SILENCE_AMOUNT	3	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	BERSERK
BENJAMIN_FRANKLIN_GATES	TIME	10	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	INVINCIBILITY
SCUTTLE	BASIC_ATTACK_AMOUNT	12	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	BERSERK
MOWGLI	SHIELD_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	PRECISE
