	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	GOLD_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
38-10	215	4	RED_16	42		1	HACKER_ENCLAVE_9	SADNESS::FALSE,DARKWING_DUCK::FALSE,JACK_SPARROW::FALSE,MIKE::FALSE	HERCULES::FALSE,BALOO::FALSE,RANDALL_BOGGS::FALSE,CHESHIRE_CAT::FALSE	[boss]FELIX:FREEZE,BALOO:HOT,MANTICORE:CURSE,SIMBA_AND_NALA:SILENCE,JACK_SKELLINGTON:DOT,MAGICA_DE_SPELL:KO_BUFF	SHARD_ROR_OMEGA_ROR,SHARD_GRECKLIN,SHARD_I_WIN	SHARD_FREEMAN_OF_THE_CITY,SHARD_LITTLE_HELPER,SHARD_BECAUSE_WE_CARE	
38-11	216	4	RED_16	42		0	HACKER_ENCLAVE_12	REX::FALSE,STITCH::FALSE,DASH::FALSE,DR_FACILIER::FALSE	OLAF,OOGIE_BOOGIE::FALSE,ROBIN_HOOD::FALSE,LINGUINI_AND_REMY::FALSE	[boss]HADES:DOT,GOOFY:BLIND,EEYORE:SKILL4_BUFF,KING_LOUIE:BANANA,KIDA:ENERGY,LI_SHANG:SILENCE	SHARD_WARNING_CLOCK,SHARD_GRECKLIN,SHARD_I_WIN	SHARD_SALLYS_SPICES,SHARD_LITTLE_HELPER,SHARD_BECAUSE_WE_CARE	
38-12	216	4	RED_16	42		0	HACKER_ENCLAVE_11	GERALD_MARLIN_NEMO::FALSE,SADNESS::FALSE,BUNSEN_AND_BEAKER::FALSE,SYNDROME::FALSE	OLAF::FALSE,SALLY::FALSE,GONZO::FALSE,KIDA:ENERGY,URSULA::FALSE	[boss]GOOFY:BLIND,BAYMAX:FREEZE,MULAN:HEAL_ON_CRIT,JASMINE:ENERGY,MANTICORE:DOT,RAPUNZEL:SHIELD_COUNTER	SHARD_I_WIN,SHARD_DADS_CASSETTE,SHARD_WARNING_CLOCK	SHARD_BECAUSE_WE_CARE,SHARD_DAYDREAM_HUNTER,SHARD_SALLYS_SPICES	
38-13	217	4	RED_16	42		1	HACKER_ENCLAVE_10	RALPH::FALSE,JASMINE::FALSE,GENIE::FALSE,TIA_DALMA::FALSE	EEYORE,MERIDA::FALSE,EMPEROR_ZURG:TANK_COUNTER,DUCKY_AND_BUNNY::FALSE	[boss]TRON:TANK,GERALD_MARLIN_NEMO:INVINCIBLE,MANTICORE:CURSE,JUMBA:PRECISE	SHARD_LOVES_LIGHT,SHARD_DADS_CASSETTE,SHARD_WARNING_CLOCK	SHARD_BOOKS_GALORE,SHARD_DAYDREAM_HUNTER,SHARD_SALLYS_SPICES	
38-14	217	4	RED_16	42		0	HACKER_ENCLAVE_1	HADES::FALSE,EEYORE::FALSE,MOANA::FALSE,SYNDROME::FALSE	MOANA::FALSE,MEGAVOLT,ANGER::FALSE,MULAN::FALSE	[boss]GOOFY:SHIELD,BUNSEN_AND_BEAKER:DIVERT,RANDALL_BOGGS:TRUE_DMG,PLEAKLEY:DOT,EVIL_QUEEN:STUN,MINNIE_MOUSE:STUN	SHARD_CAVE_DRAWING,SHARD_DADS_CASSETTE,SHARD_WARNING_CLOCK	SHARD_BADGE_OF_SWEETNESS,SHARD_DAYDREAM_HUNTER,SHARD_SALLYS_SPICES	
38-15	218	4	RED_16	42		0	HACKER_ENCLAVE_2	HADES::FALSE,DARKWING_DUCK::FALSE,TIGGER::FALSE,MISS_PIGGY::FALSE	HERCULES::FALSE,ELASTIGIRL:BACKLINE,DONALD_DUCK::FALSE,HUEY_DEWEY_LOUIE::FALSE	[boss]BAYMAX:FREEZE,HECTOR_BARBOSSA:STUDY,EVIL_QUEEN:STUN,BUNSEN_AND_BEAKER:SPEED,JACK_SKELLINGTON:DOT,YAX:SLOW	SHARD_WARNING_CLOCK,SHARD_GRECKLIN,SHARD_CAVE_DRAWING	SHARD_SALLYS_SPICES,SHARD_THINGS_FALL_APART,SHARD_BADGE_OF_SWEETNESS	
38-16	218	4	RED_16	42		1	HACKER_ENCLAVE_7	WINNIE_THE_POOH::FALSE,CHICKEN_LITTLE::FALSE,ROBIN_HOOD::FALSE,ANGER::FALSE	MAXIMUS::FALSE,DUCKY_AND_BUNNY::FALSE,MIKE::FALSE,HECTOR_BARBOSSA::FALSE	[boss]CHICKEN_LITTLE:BASIC_MODIFIER,MAXIMUS:STUDY,DASH:SHIELD_COUNTER,ALADDIN:SPEED,EVIL_QUEEN:STUN,DONALD_DUCK:INVINCIBLE	SHARD_HEADLESS_HORSEMAN,SHARD_GRECKLIN,SHARD_CAVE_DRAWING	SHARD_TOY_SOLDIER,SHARD_THINGS_FALL_APART,SHARD_BADGE_OF_SWEETNESS	
38-17	219	4	RED_16	42		0	HACKER_ENCLAVE_9	BO_PEEP::FALSE,REX::FALSE,VANELLOPE::FALSE,TRON::FALSE	BALOO::FALSE,RANDALL_BOGGS::FALSE,TIGGER::FALSE,BUNSEN_AND_BEAKER::FALSE	[boss]GONZO:SPEED_COUNTER,EMPEROR_ZURG:TANK_COUNTER,BELLE:SAP,ELSA:FREEZE,SCAR:INVIS,LI_SHANG:SILENCE	SHARD_FOREST_TREK,SHARD_GRECKLIN,SHARD_CAVE_DRAWING	SHARD_DEUS_EX_CALIBUR,SHARD_THINGS_FALL_APART,SHARD_BADGE_OF_SWEETNESS	
38-18	219	4	RED_16	42		0	HACKER_ENCLAVE_12	MAXIMUS::FALSE,CALHOUN::FALSE,MEGAVOLT::FALSE,ELASTIGIRL::FALSE	ELASTIGIRL::FALSE,ANGER,BUNSEN_AND_BEAKER::FALSE,MIKE::FALSE	[boss]DARKWING_DUCK:SHIELD,CHESHIRE_CAT:SAP,SLINKY_DOG:SHIELD,ANGEL:SILENCE,FEAR:DREAD,SYNDROME:STUDY	SHARD_CAVE_DRAWING,SHARD_DADS_CASSETTE,SHARD_FOREST_TREK	SHARD_BADGE_OF_SWEETNESS,SHARD_THINGS_FALL_APART,SHARD_DEUS_EX_CALIBUR	
38-19	220	4	RED_16	42		1	HACKER_ENCLAVE_14	EEYORE::FALSE,MISS_PIGGY::FALSE,ELSA::FALSE,MICKEY_MOUSE::FALSE	GERALD_MARLIN_NEMO,KING_LOUIE::FALSE,PLEAKLEY:FREEZE,ALADDIN::FALSE	[boss]HADES:DOT,ELSA:FREEZE,SHAN_YU:STUDY,MINNIE_MOUSE:CHARM,ANGEL:SILENCE,IAN_LIGHTFOOT:REFLECT	SHARD_OOZMA_KAPPA,SHARD_DADS_CASSETTE,SHARD_FOREST_TREK	SHARD_POTION_PROTECTION,SHARD_THINGS_FALL_APART,SHARD_DEUS_EX_CALIBUR	
39-1	215	4	RED_17	45		1	VFX_INVENTOR_WORKSHOP_1	CHICKEN_LITTLE::FALSE,MIKE::FALSE,WALL_E::FALSE,ANIMAL::FALSE	BO_PEEP::FALSE,HECTOR_BARBOSSA::FALSE,SCAR::FALSE,NICK_WILDE::FALSE	[boss]SLINKY_DOG:SHIELD,MOANA:JUMP,PLEAKLEY:FREEZE,MERIDA:FIRE,CAPTAIN_AMELIA:SKILL,TIGGER:KNOCKBACK	SHARD_HEAVY_IS_THE_HEAD,SHARD_ONE_MAN_BASS,SHARD_MAD_PURSUIT	SHARD_ALIEN_INVASION,SHARD_TRUSTY_BIKE,SHARD_NOPE	
39-2	216	4	RED_17	45		0	VFX_INVENTOR_WORKSHOP_15	CHICKEN_LITTLE::FALSE,RALPH::FALSE,ELSA::FALSE,BUZZ::FALSE	SULLEY::FALSE,MERIDA::FALSE,STITCH::FALSE,DUCKY_AND_BUNNY::FALSE	[boss]GERALD_MARLIN_NEMO:ARMOR,MEGAVOLT:CONTROL_COUNTER,SCROOGE_MCDUCK:DAMAGE_STUN,LOCK_SHOCK_BARREL:SCARE,ANIMAL:SHIELD,ANGEL:SILENCE	SHARD_SNOWY_VILLAGE,SHARD_ONE_MAN_BASS,SHARD_MAD_PURSUIT	SHARD_REEL_KIMMUNICATOR,SHARD_TRUSTY_BIKE,SHARD_NOPE	
39-3	216	4	RED_17	45		0	VFX_INVENTOR_WORKSHOP_10	HADES::FALSE,SCAR::FALSE,KING_LOUIE::FALSE,DUCKY_AND_BUNNY::FALSE	SULLEY::FALSE,BALOO::FALSE,NICK_WILDE::FALSE,MERLIN::FALSE	[boss]HADES:DOT,SHAN_YU:SHIELD,BUNSEN_AND_BEAKER:DIVERT,QUORRA:CRIT,EVIL_QUEEN:SPEED,PLEAKLEY:FREEZE	SHARD_ONE_MAN_BASS,SHARD_ONE_MAN_TREBLE,SHARD_SNOWY_VILLAGE	SHARD_NOPE,SHARD_MELODYS_NECKLACE,SHARD_REEL_KIMMUNICATOR	
39-4	217	4	RED_17	45		1	VFX_INVENTOR_WORKSHOP_3	GERALD_MARLIN_NEMO::FALSE,BUNSEN_AND_BEAKER::FALSE,DISGUST::FALSE,SYNDROME::FALSE	SADNESS::FALSE,GOOFY::FALSE,MEGAVOLT::FALSE,JUMBA::FALSE	[boss]BAYMAX:FREEZE,SCAR:INVIS,MANTICORE:DOT,MOANA:JUMP,KRISTOFF_AND_SVEN:HEAL,MIGUEL:HEAL	SHARD_ROBOSHARK_HARPOON,SHARD_ONE_MAN_TREBLE,SHARD_SNOWY_VILLAGE	SHARD_BUSTER,SHARD_MELODYS_NECKLACE,SHARD_REEL_KIMMUNICATOR	
39-5	217	4	RED_17	45		0	VFX_INVENTOR_WORKSHOP_16	SADNESS::FALSE,WINNIE_THE_POOH::FALSE,BUNSEN_AND_BEAKER::FALSE,MALEFICENT::FALSE	MAXIMUS,JASMINE::FALSE,ALADDIN:SPEED,RANDALL_BOGGS::FALSE	[boss]BALOO:CHARM,EEYORE:DISABLE_STUN,MULAN:HEAL_ON_CRIT,JACK_SKELLINGTON:DUCK,LI_SHANG:SILENCE,COLETTE:SKILL1_BUFF	SHARD_FOREST_TREK,SHARD_ONE_MAN_TREBLE,SHARD_SNOWY_VILLAGE	SHARD_REEL_PAY_THROUGH_THE_TEETH,SHARD_MELODYS_NECKLACE,SHARD_REEL_KIMMUNICATOR	
39-6	218	4	RED_17	45		0	VFX_INVENTOR_WORKSHOP_11	CHIEF_BOGO::FALSE,HECTOR_BARBOSSA::FALSE,SCAR::FALSE,LI_SHANG::FALSE	GOOFY::FALSE,DUKE_CABOOM::FALSE,JESSIE::FALSE,SCROOGE_MCDUCK::FALSE	[boss]CHICKEN_LITTLE:BASEBALL,BALOO:HOT,EEYORE:SKILL4_BUFF,BELLE:SAP,MOANA:JUMP,YAX:SLOW	SHARD_SNOWY_VILLAGE,SHARD_ONE_MAN_BASS,SHARD_FOREST_TREK	SHARD_REEL_KIMMUNICATOR,SHARD_DONT_BAT_AN_EYE,SHARD_REEL_PAY_THROUGH_THE_TEETH	
39-7	218	4	RED_17	46		1	VFX_INVENTOR_WORKSHOP_5	SHANK::FALSE,SULLEY::FALSE,MULAN::FALSE,MALEFICENT::FALSE	FELIX,WINNIE_THE_POOH::FALSE,MULAN::FALSE,DR_FACILIER::FALSE	[boss]CHICKEN_LITTLE:BASEBALL,MR_INCREDIBLE:ARMOR_SHREAD,BUNSEN_AND_BEAKER:SPEED,PLEAKLEY:DOT,ANGEL:SILENCE,LAUNCHPAD_MCQUACK:CONTROL	SHARD_EARLY_PROTOTYPE,SHARD_ONE_MAN_BASS,SHARD_FOREST_TREK	SHARD_TINY_THE_TREX,SHARD_DONT_BAT_AN_EYE,SHARD_REEL_PAY_THROUGH_THE_TEETH	
39-8	219	4	RED_17	46		0	VFX_INVENTOR_WORKSHOP_14	SADNESS::FALSE,RANDALL_BOGGS::FALSE,BUNSEN_AND_BEAKER::FALSE,GIZMODUCK::FALSE	OOGIE_BOOGIE,NICK_WILDE::FALSE,MULAN:KNOCKBACK,JACK_SPARROW::FALSE	[boss]CHICKEN_LITTLE:BASIC_MODIFIER,CAPTAIN_AMELIA:SPEED,TIGGER:KNOCKBACK,MEGARA:INVINCIBLE,DAVY_JONES:CURSE,CHESHIRE_CAT:INVISIBLE	SHARD_GOOFBALL_ISLAND,SHARD_ONE_MAN_BASS,SHARD_FOREST_TREK	SHARD_FANTASOUND,SHARD_DONT_BAT_AN_EYE,SHARD_REEL_PAY_THROUGH_THE_TEETH	
39-9	219	4	RED_17	46		0	VFX_INVENTOR_WORKSHOP_8	SULLEY::FALSE,BO_PEEP::FALSE,DARKWING_DUCK::FALSE,ANIMAL::FALSE	BO_PEEP::FALSE,ANGER::FALSE,DUKE_CABOOM::FALSE,SCROOGE_MCDUCK::FALSE	[boss]WINNIE_THE_POOH:HUNNY,GOOFY:BLIND,OOGIE_BOOGIE:POWER,KING_LOUIE:BANANA,JACK_SPARROW:HP,HUEY_DEWEY_LOUIE:BEAR_TRAP	SHARD_FOREST_TREK,SHARD_ONE_MAN_TREBLE,SHARD_GOOFBALL_ISLAND	SHARD_REEL_PAY_THROUGH_THE_TEETH,SHARD_FIXER_UPPER,SHARD_FANTASOUND	
39-10	220	4	RED_17	46		1	VFX_INVENTOR_WORKSHOP_1	OLAF::FALSE,HERCULES::FALSE,EVE::FALSE,YAX::FALSE	REX::FALSE,ANGER::FALSE,MANTICORE::FALSE,STITCH::FALSE	[boss]MR_INCREDIBLE:ARMOR_SHREAD,BELLE:SAP,BUNSEN_AND_BEAKER:SPEED,SCAR:INVIS,JACK_SKELLINGTON:DOT,URSULA:ENERGY	SHARD_HEAVY_IS_THE_HEAD,SHARD_ONE_MAN_TREBLE,SHARD_GOOFBALL_ISLAND	SHARD_ALIEN_INVASION,SHARD_FIXER_UPPER,SHARD_FANTASOUND	
39-11	221	4	RED_17	46		0	VFX_INVENTOR_WORKSHOP_15	GOOFY::FALSE,STITCH::FALSE,SCROOGE_MCDUCK::FALSE,MICKEY_MOUSE::FALSE	FELIX,SULLEY::FALSE,JESSIE::FALSE,LI_SHANG::FALSE	[boss]SULLEY:TEAM_HEAL,DASH:SHIELD_COUNTER,KING_LOUIE:SLOW,MOANA:JUMP,HECTOR_BARBOSSA:STUDY,IAN_LIGHTFOOT:REFLECT	SHARD_TARGET_DUMMY,SHARD_ONE_MAN_TREBLE,SHARD_GOOFBALL_ISLAND	SHARD_SHRINK_RAY,SHARD_FIXER_UPPER,SHARD_FANTASOUND	
39-12	221	4	RED_17	46		0	VFX_INVENTOR_WORKSHOP_10	HERCULES::FALSE,ELASTIGIRL::FALSE,MOANA::FALSE,IAN_LIGHTFOOT::FALSE	REX::FALSE,MAXIMUS::FALSE,SADNESS::FALSE,BUNSEN_AND_BEAKER:SPEED,KRISTOFF_AND_SVEN::FALSE	[boss]CHICKEN_LITTLE:BASIC_MODIFIER,EVIL_QUEEN:STUN,RANDALL_BOGGS:TRUE_DMG,KIDA:ENERGY,HECTOR_BARBOSSA:STUDY,KRISTOFF_AND_SVEN:MOST_WANTED	SHARD_GOOFBALL_ISLAND,SHARD_ONE_MAN_BASS,SHARD_TARGET_DUMMY	SHARD_FANTASOUND,SHARD_BAO,SHARD_SHRINK_RAY	
39-13	222	4	RED_17	46		1	VFX_INVENTOR_WORKSHOP_3	CHICKEN_LITTLE::FALSE,SCAR::FALSE,JACK_SKELLINGTON::FALSE,MINNIE_MOUSE::FALSE	KIDA::FALSE,MEGAVOLT::FALSE,DAVY_JONES::FALSE	[boss]MR_INCREDIBLE:ARMOR_SHREAD,SADNESS:CRIT,CHICKEN_LITTLE:BASEBALL,ALADDIN:SPEED,RANDALL_BOGGS:TRUE_DMG,MALEFICENT:DRAIN	SHARD_BEARD_MISHAP,SHARD_ONE_MAN_BASS,SHARD_TARGET_DUMMY	SHARD_PUDGE,SHARD_BAO,SHARD_SHRINK_RAY	
39-14	222	4	RED_17	46		0	VFX_INVENTOR_WORKSHOP_16	WINNIE_THE_POOH::FALSE,EEYORE::FALSE,EMPEROR_ZURG::FALSE,DONALD_DUCK::FALSE	OLAF,SALLY::FALSE,SCAR::FALSE,TIA_DALMA::FALSE	BUNSEN_AND_BEAKER:SPEED,GERALD_MARLIN_NEMO:INVINCIBLE,COLETTE:SKILL1_BUFF,RAPUNZEL:SHIELD_COUNTER,DAVY_JONES:STUDY	SHARD_TRAVELERS_KIT,SHARD_ONE_MAN_BASS,SHARD_TARGET_DUMMY	SHARD_REEL_UKULELE,SHARD_BAO,SHARD_SHRINK_RAY	
39-15	223	4	RED_17	46		0	VFX_INVENTOR_WORKSHOP_11	SLINKY_DOG::FALSE,MANTICORE::FALSE,MULAN::FALSE,SIMBA_AND_NALA::FALSE	GONZO::FALSE,MR_INCREDIBLE::FALSE,CAPTAIN_AMELIA::FALSE,SYNDROME::FALSE	[boss]WINNIE_THE_POOH:HUNNY,MOANA:JUMP,SCROOGE_MCDUCK:DAMAGE_STUN,BUNSEN_AND_BEAKER:SPEED,IAN_LIGHTFOOT:BLIND,LI_SHANG:SILENCE	SHARD_TARGET_DUMMY,SHARD_ONE_MAN_TREBLE,SHARD_TRAVELERS_KIT	SHARD_SHRINK_RAY,SHARD_FIXER_UPPER,SHARD_REEL_UKULELE	
39-16	223	4	RED_17	46		1	VFX_INVENTOR_WORKSHOP_5	RALPH::FALSE,JACK_JACK::FALSE,BELLE::FALSE,RAFIKI::FALSE	SHANK::FALSE,MADAM_MIM::FALSE,DASH::FALSE,EVE::FALSE	[boss]CHICKEN_LITTLE:BASIC_MODIFIER,RANDALL_BOGGS:TRUE_DMG,ANGER:DAMAGE_ROLE,LI_SHANG:BLIND,MINNIE_MOUSE:CHARM,SYNDROME:SLOW	SHARD_EARLY_PROTOTYPE,SHARD_ONE_MAN_TREBLE,SHARD_TRAVELERS_KIT	SHARD_WALK_LIKE_AN_ELEPHANT,SHARD_FIXER_UPPER,SHARD_REEL_UKULELE	
39-17	224	4	RED_17	46		0	VFX_INVENTOR_WORKSHOP_14	SADNESS::FALSE,SCAR::FALSE,BEAST::FALSE,MEGARA::FALSE	EEYORE::FALSE,OOGIE_BOOGIE::FALSE,OLAF::FALSE,BELLE:SPEED,LINGUINI_AND_REMY::FALSE	[boss]GONZO:SPEED_COUNTER,MERIDA:FIRE,JACK_SPARROW:HP,BELLE:SAP,MISS_PIGGY:KNOCK_BACK,EVIL_QUEEN:SPEED	SHARD_GREEK_GARDEN,SHARD_ONE_MAN_TREBLE,SHARD_TRAVELERS_KIT	SHARD_REEL_PILOTS_CAP,SHARD_FIXER_UPPER,SHARD_REEL_UKULELE	
39-18	224	4	RED_17	46		0	VFX_INVENTOR_WORKSHOP_8	EEYORE::FALSE,SULLEY::FALSE,CAPTAIN_AMELIA::FALSE,SYNDROME::FALSE	CHICKEN_LITTLE::FALSE,RANDALL_BOGGS::FALSE,CALHOUN::FALSE,VANELLOPE::FALSE	[boss]MR_INCREDIBLE:ARMOR_SHREAD,EMPEROR_ZURG:TANK_COUNTER,BUNSEN_AND_BEAKER:DIVERT,DONALD_DUCK:INVINCIBLE,URSULA:ENERGY,CAPTAIN_HOOK:SAP	SHARD_TRAVELERS_KIT,SHARD_ONE_MAN_BASS,SHARD_GREEK_GARDEN	SHARD_REEL_UKULELE,SHARD_SEWER_SHARK,SHARD_REEL_PILOTS_CAP	
39-19	225	4	RED_17	46		1	VFX_INVENTOR_WORKSHOP_14	OOGIE_BOOGIE::FALSE,SADNESS::FALSE,JACK_SKELLINGTON::FALSE,MERIDA::FALSE	SOULLESS_SKELETON,OOGIE_BOOGIE::FALSE,CAPTAIN_AMELIA::FALSE,MINNIE_MOUSE::FALSE	[boss]TRON:TANK,WINNIE_THE_POOH:HUNNY,SLINKY_DOG:SHIELD,ANGEL:SILENCE,FEAR:DREAD,ANIMAL:SHIELD	SHARD_ROBOSHARK_HARPOON,SHARD_ONE_MAN_BASS,SHARD_GREEK_GARDEN	SHARD_FISH_OUT_OF_WATER,SHARD_SEWER_SHARK,SHARD_REEL_PILOTS_CAP	
40-1	220	4	RED_18	46		1	PORTAL_ROOM_1	BO_PEEP::FALSE,SHANK::FALSE,MULAN::FALSE,IAN_LIGHTFOOT::FALSE	MAXIMUS,ROBIN_HOOD::FALSE,BUNSEN_AND_BEAKER:SPEED,ELSA::FALSE	[boss]BAYMAX:FREEZE,GERALD_MARLIN_NEMO:ARMOR,MERIDA:FIRE,KING_LOUIE:BANANA,TRON:ENERGY,SYNDROME:STUDY	SHARD_OPEN_TOGETHER,SHARD_EYES_OF_NOTRE_DAME,SHARD_MYSTERIOUS_MAILBOX	SHARD_IMAGINARY_CHEF,SHARD_BINGO_IS_HIS_NAMEO,SHARD_AQUARIUM_TAG	
40-2	221	4	RED_18	46		0	PORTAL_ROOM_2	CLAWHAUSER::FALSE,ROBIN_HOOD::FALSE,SCROOGE_MCDUCK::FALSE,JIM_HAWKINS::FALSE	HECTOR_BARBOSSA::FALSE,MEGAVOLT,TIGGER::FALSE,EVE::FALSE	[boss]SWEDISH_CHEF:LOBSTER,GOOFY:SHIELD,MAXIMUS:STUDY,TIGGER:KNOCKBACK,BUNSEN_AND_BEAKER:SPEED,WALL_E:DISABLES	SHARD_WHEN_WHALES_FLY,SHARD_EYES_OF_NOTRE_DAME,SHARD_MYSTERIOUS_MAILBOX	SHARD_REEL_FOX_MACE,SHARD_BINGO_IS_HIS_NAMEO,SHARD_AQUARIUM_TAG	
40-3	221	4	RED_18	46		0	PORTAL_ROOM_7	CHICKEN_LITTLE::FALSE,DARKWING_DUCK::FALSE,DUCKY_AND_BUNNY::FALSE,JUDY_HOPPS::FALSE	HERCULES::FALSE,SWEDISH_CHEF::FALSE,SULLEY::FALSE,BUNSEN_AND_BEAKER:SPEED,MINNIE_MOUSE::FALSE	[boss]EEYORE:SKILL4_BUFF,RANDALL_BOGGS:TRUE_DMG,BELLE:SPEED,MERIDA:FIRE,SCAR:INVIS,MUSHU:BLIND	SHARD_EYES_OF_NOTRE_DAME,SHARD_ALL_EARS,SHARD_WHEN_WHALES_FLY	SHARD_AQUARIUM_TAG,SHARD_MARK_OF_THE_GUARD,SHARD_REEL_FOX_MACE	
40-4	222	4	RED_18	46		1	PORTAL_ROOM_5	CLAWHAUSER::FALSE,JACK_SKELLINGTON::FALSE,MUSHU::FALSE,HANK_AND_DORY::FALSE	PLEAKLEY::FALSE,DARKWING_DUCK,DUCKY_AND_BUNNY::FALSE,ELSA::FALSE	[boss]MAXIMUS:BUFF_REMOVAL,SWEDISH_CHEF:LOBSTER,DASH:SHIELD_COUNTER,SHAN_YU:SHIELD,PLEAKLEY:FREEZE,ALADDIN:SPEED	SHARD_SMASH_BOT,SHARD_ALL_EARS,SHARD_WHEN_WHALES_FLY	SHARD_CHEESY_HIDEOUT,SHARD_MARK_OF_THE_GUARD,SHARD_REEL_FOX_MACE	
40-5	222	4	RED_18	46		0	PORTAL_ROOM_6	SLINKY_DOG::FALSE,ELASTIGIRL::FALSE,GIZMODUCK::FALSE,FINNICK::FALSE	EVIL_QUEEN::FALSE,MOANA::FALSE,JUMBA::FALSE	[boss]FELIX:FREEZE,GERALD_MARLIN_NEMO:INVINCIBLE,PLEAKLEY:DOT,CAPTAIN_AMELIA:SPEED,MERIDA:FIRE,TRON:ENERGY	SHARD_SNOWY_VILLAGE,SHARD_ALL_EARS,SHARD_WHEN_WHALES_FLY	SHARD_BECAUSE_WE_CARE,SHARD_MARK_OF_THE_GUARD,SHARD_REEL_FOX_MACE	
40-6	223	4	RED_18	46		0	PORTAL_ROOM_8	CLAWHAUSER::FALSE,JACK_JACK::FALSE,ALADDIN::FALSE,DAVY_JONES::FALSE	SALLY,BO_PEEP::FALSE,VANELLOPE::FALSE,SYNDROME::FALSE	[boss]MAXIMUS:STUDY,SCAR:INVIS,BELLE:SPEED,HAMM:SAP,ANGER:DOT,ANGEL:SILENCE	SHARD_WHEN_WHALES_FLY,SHARD_EYES_OF_NOTRE_DAME,SHARD_SNOWY_VILLAGE	SHARD_REEL_FOX_MACE,SHARD_CAT_ON_A_LAPTOP,SHARD_BECAUSE_WE_CARE	
40-7	223	4	RED_18	46		1	PORTAL_ROOM_3	MAXIMUS::FALSE,CALHOUN::FALSE,ANGER::FALSE,HONEY_LEMON::FALSE	GERALD_MARLIN_NEMO::FALSE,RANDALL_BOGGS:TRUE_DMG,KRISTOFF_AND_SVEN::FALSE,HANK_AND_DORY::FALSE	[boss]SWEDISH_CHEF:LOBSTER,PLEAKLEY:DOT,KING_LOUIE:BANANA,SHAN_YU:SHIELD,ELSA:FREEZE,CAPTAIN_HOOK:SAP	SHARD_MON_SEWER,SHARD_EYES_OF_NOTRE_DAME,SHARD_SNOWY_VILLAGE	SHARD_CHEESY_HIDEOUT,SHARD_CAT_ON_A_LAPTOP,SHARD_BECAUSE_WE_CARE	
40-8	224	4	RED_18	46		0	PORTAL_ROOM_4	MR_INCREDIBLE::FALSE,NICK_WILDE::FALSE,TIA_DALMA::FALSE,DR_FACILIER::FALSE	CHIEF_BOGO::FALSE,SCAR::FALSE,ANGER::FALSE,ELSA::FALSE	[boss]BALOO:CHARM,BUNSEN_AND_BEAKER:DIVERT,JACK_SKELLINGTON:DOT,MINNIE_MOUSE:STUN,ANGEL:SILENCE,SYNDROME:SLOW	SHARD_WATER_HORSE,SHARD_EYES_OF_NOTRE_DAME,SHARD_SNOWY_VILLAGE	SHARD_SHRINK_RAY,SHARD_CAT_ON_A_LAPTOP,SHARD_BECAUSE_WE_CARE	
40-9	224	4	RED_18	46		0	PORTAL_ROOM_1	BO_PEEP::FALSE,SCAR::FALSE,STITCH::FALSE,JOY::FALSE	SULLEY::FALSE,JASMINE::FALSE,BUNSEN_AND_BEAKER::FALSE,JACK_SKELLINGTON::FALSE	[boss]MAXIMUS:STUDY,DARKWING_DUCK:SHIELD,JESSIE:JUMP_EARLY,BELLE:SPEED,JUMBA:DAMAGE_ROLE,ANIMAL:SHIELD	SHARD_SNOWY_VILLAGE,SHARD_ALL_EARS,SHARD_WATER_HORSE	SHARD_BECAUSE_WE_CARE,SHARD_GRUESOME_GRAVE,SHARD_SHRINK_RAY	
40-10	225	4	RED_18	46		1	PORTAL_ROOM_10	BALOO::FALSE,CAPTAIN_AMELIA::FALSE,DUCKY_AND_BUNNY::FALSE,TRON::FALSE	MAXIMUS::FALSE,MIKE::FALSE,JACK_JACK::FALSE,HAMM::FALSE	[boss]MR_INCREDIBLE:ARMOR_SHREAD,JACK_SPARROW:HP,MEGAVOLT:CONTROL_COUNTER,MUSHU:BLIND,CLAWHAUSER:DPS,IAN_LIGHTFOOT:REFLECT	SHARD_QUASIMODEL,SHARD_ALL_EARS,SHARD_WATER_HORSE	SHARD_WHAT_A_VIEW,SHARD_GRUESOME_GRAVE,SHARD_SHRINK_RAY	
40-11	226	4	RED_18	46		0	PORTAL_ROOM_6	FELIX::FALSE,MADAM_MIM::FALSE,FROZONE::FALSE,POWERLINE::FALSE	SULLEY::FALSE,MULAN:KNOCKBACK,GENIE::FALSE,JUDY_HOPPS::FALSE	[boss]SWEDISH_CHEF:LOBSTER,MAXIMUS:BUFF_REMOVAL,KING_LOUIE:BANANA,SCAR:INVIS,LOCK_SHOCK_BARREL:FATIGUE,JAFAR:ROLES	SHARD_KINDERGARTENERS,SHARD_ALL_EARS,SHARD_WATER_HORSE	SHARD_NOPE,SHARD_GRUESOME_GRAVE,SHARD_SHRINK_RAY	
