	SERVERS	START_CONTENT	END_CONTENT	NEEDED_SCORE	QUANTITY	DROP	EXTRA
>	1-9000	R22	R9000	894450	20	CODE_10_$COLOR$	
>	1-9000	R24	R9000	963750	20000	MOD_POWER	
>	1-9000	R24	R9000	963750	40	CODE_8_$SHAPE$	
>	1-9000	R24	R9000	1038450	20000	MOD_POWER	
>	1-9000	R24	R9000	1038450	500000+228000*L	GOLD	
>	1-9000	R24	R9000	1119000	20000	MOD_POWER	
>	1-9000	R24	R9000	1119000	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R24	R9000	1119000	20	CODE_9_$SHAPE$_$COLOR$	
>	1-9000	R24	R9000	1205850	20000	MOD_POWER	
>	1-9000	R24	R9000	1205850	20	CODE_10_$COLOR$	
>	1-9000	R24	R9000	1299600	80000	MOD_POWER	
>	1-9000	R24	R9000	1299600	35+14.75*L	STAMINA_CONSUMABLE	
>	1-9000	R24	R9000	1299600	20	CODE_11_$SHAPE$	
>	1-9000	R28	R9000	1400850	20000	MOD_POWER	
>	1-9000	R28	R9000	1400850	2500	MEMORY_TOKENS	
>	1-9000	R28	R9000	1510200	20000	MOD_POWER	
>	1-9000	R28	R9000	1510200	30	CODE_5_$SHAPE$	
>	1-9000	R28	R9000	1628250	20000	MOD_POWER	
>	1-9000	R28	R9000	1628250	40	CODE_6_$SHAPE$_$COLOR$	
>	1-9000	R28	R9000	1755600	20000	MOD_POWER	
>	1-9000	R28	R9000	1755600	20000+80*L	GEAR_JUICE	
>	1-9000	R28	R9000	1893000	80000	MOD_POWER	
>	1-9000	R28	R9000	1893000	530000+249500*L	GOLD	
>	1-9000	R28	R9000	1893000	40	CODE_7_$COLOR$	
>	1-9000	R32	R9000	2041350	40000	MOD_POWER	
>	1-9000	R32	R9000	2041350	40	CODE_8_$SHAPE$	
>	1-9000	R32	R9000	2201550	40000	MOD_POWER	
>	1-9000	R32	R9000	2201550	50+16.85*L	STAMINA_CONSUMABLE	
>	1-9000	R32	R9000	2374500	40000	MOD_POWER	
>	1-9000	R32	R9000	2374500	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R32	R9000	2374500	30	CODE_9_$SHAPE$_$COLOR$	
>	1-9000	R32	R9000	2561250	40000	MOD_POWER	
>	1-9000	R32	R9000	2561250	20	CODE_10_$COLOR$	
>	1-9000	R32	R9000	2762850	160000	MOD_POWER	
>	1-9000	R32	R9000	2762850	580000+262500*L	GOLD	
>	1-9000	R32	R9000	2762850	30000+200*L	GEAR_JUICE	
>	1-9000	R36	R9000	2980500	40000	MOD_POWER	
>	1-9000	R36	R9000	2980500	20	CODE_10_$COLOR$	
>	1-9000	R36	R9000	3215550	40000	MOD_POWER	
>	1-9000	R36	R9000	3215550	70	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R36	R9000	3469350	40000	MOD_POWER	
>	1-9000	R36	R9000	3469350	2400+150*L	GEAR_TOKENS	
>	1-9000	R36	R9000	3743400	40000	MOD_POWER	
>	1-9000	R36	R9000	3743400	620000+305000*L	GOLD	
>	1-9000	R36	R9000	3743400	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R36	R9000	4039350	160000	MOD_POWER	
>	1-9000	R36	R9000	4039350	20	CODE_11_$SHAPE$	
>	1-9000	R40	R9000	4358850	40000	MOD_POWER	
>	1-9000	R40	R9000	4358850	70+20*L	STAMINA_CONSUMABLE	
>	1-9000	R40	R9000	4703850	40000	MOD_POWER	
>	1-9000	R40	R9000	4703850	40000+220*L	GEAR_JUICE	
>	1-9000	R40	R9000	5076450	40000	MOD_POWER	
>	1-9000	R40	R9000	5076450	80	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R40	R9000	5478750	40000	MOD_POWER	
>	1-9000	R40	R9000	5478750	650000+347500*L	GOLD	
>	1-9000	R40	R9000	5913150	160000	MOD_POWER	
>	1-9000	R40	R9000	5913150	50000+240*L	GEAR_JUICE	
>	1-9000	R40	R9000	5913150	40	CODE_9_$SHAPE$_$COLOR$	
>	1-9000	R45	R9000	6382200	70000	MOD_POWER	
>	1-9000	R45	R9000	6382200	3000	MEMORY_TOKENS	
>	1-9000	R45	R9000	6888750	70000	MOD_POWER	
>	1-9000	R45	R9000	6888750	20	CODE_11_$SHAPE$	
>	1-9000	R45	R9000	7435800	70000	MOD_POWER	
>	1-9000	R45	R9000	7435800	20	CODE_11_$SHAPE$	
>	1-9000	R45	R9000	8026500	70000	MOD_POWER	
>	1-9000	R45	R9000	8026500	30	CODE_10_$COLOR$	
>	1-9000	R45	R9000	8664450	280000	MOD_POWER	
>	1-9000	R45	R9000	8664450	700000+400000*L	GOLD	
>	1-9000	R45	R9000	8664450	20	CODE_12_$SHAPE$_$COLOR$	
>	1-9000	R50	R9000	9353400	70000	MOD_POWER	
>	1-9000	R50	R9000	9353400	20	CODE_11_$SHAPE$	
>	1-9000	R50	R9000	10097400	70000	MOD_POWER	
>	1-9000	R50	R9000	10097400	20	CODE_12_$SHAPE$_$COLOR$	
>	1-9000	R50	R9000	10900800	70000	MOD_POWER	
>	1-9000	R50	R9000	10900800	2500+152*L	GEAR_TOKENS	
>	1-9000	R50	R9000	10900800	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R50	R9000	11768400	70000	MOD_POWER	
>	1-9000	R50	R9000	11768400	100+25.125*L	STAMINA_CONSUMABLE	
>	1-9000	R50	R9000	12705300	280000	MOD_POWER	
>	1-9000	R50	R9000	12705300	750000+502500*L	GOLD	
>	1-9000	R50	R9000	12705300	3500	MEMORY_TOKENS	
>	1-9000	R60	R9000	13717050	70000	MOD_POWER	
>	1-9000	R60	R9000	13717050	1	MOD	Tier=0, Level=1, Team=INVASION, Primary=INVASION, Empowerment=5
>	1-9000	R60	R9000	14809650	70000	MOD_POWER	
>	1-9000	R60	R9000	14809650	90	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R60	R9000	15989550	70000	MOD_POWER	
>	1-9000	R60	R9000	15989550	60000+280*L	GEAR_JUICE	
>	1-9000	R60	R9000	17263800	70000	MOD_POWER	
>	1-9000	R60	R9000	17263800	20	CODE_12_$SHAPE$_$COLOR$	
>	1-9000	R60	R9000	18639900	350000	MOD_POWER	
>	1-9000	R60	R9000	18639900	800000+605000*L	GOLD	
>	1-9000	R60	R9000	18639900	60000+360*L	GEAR_JUICE	
