	KEY	QUEST_TYPE	SORT_INDEX	ICON	BUTTON_ACTION	REWARDS	PREVIOUS_QUEST	UNLOCK_REQUIREMENTS	COMPLETE_REQUIREMENTS	EXTRA	GOOGLE_ID	APPLE_ID
20012	CAMPAIGN_NORMAL_73_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=73&level=7	5000 GEAR_TOKENS	20011	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=73, level=7		
20013	CAMPAIGN_NORMAL_73_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=73&level=13	5000 GEAR_TOKENS	20012	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=73, level=13		
20014	CAMPAIGN_NORMAL_73_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=73&level=19	5000 GEAR_TOKENS	20013	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=73, level=19		
20015	CAMPAIGN_NORMAL_74_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=74&level=7	5000 GEAR_TOKENS	20014	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=74, level=7		
20016	CAMPAIGN_NORMAL_74_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=74&level=13	5000 GEAR_TOKENS	20015	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=74, level=13		
20017	CAMPAIGN_NORMAL_74_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=74&level=19	5000 GEAR_TOKENS	20016	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=74, level=19		
20018	CAMPAIGN_NORMAL_75_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=75&level=7	5000 GEAR_TOKENS	20017	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=75, level=7		
20019	CAMPAIGN_NORMAL_75_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=75&level=13	5000 GEAR_TOKENS	20018	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=75, level=13		
20020	CAMPAIGN_NORMAL_75_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=75&level=19	5000 GEAR_TOKENS	20019	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=75, level=19		
20021	CAMPAIGN_NORMAL_76_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=76&level=7	5000 GEAR_TOKENS	20020	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=76, level=7		
20022	CAMPAIGN_NORMAL_76_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=76&level=13	5000 GEAR_TOKENS	20021	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=76, level=13		
20023	CAMPAIGN_NORMAL_76_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=76&level=19	5000 GEAR_TOKENS	20022	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=76, level=19		
20024	CAMPAIGN_NORMAL_77_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=77&level=7	5000 GEAR_TOKENS	20023	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=77, level=7		
20025	CAMPAIGN_NORMAL_77_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=77&level=13	5000 GEAR_TOKENS	20024	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=77, level=13		
20026	CAMPAIGN_NORMAL_77_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=77&level=19	5000 GEAR_TOKENS	20025	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=77, level=19		
20027	CAMPAIGN_NORMAL_78_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=78&level=7	5000 GEAR_TOKENS	20026	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=78, level=7		
20028	CAMPAIGN_NORMAL_78_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=78&level=13	5000 GEAR_TOKENS	20027	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=78, level=13		
20029	CAMPAIGN_NORMAL_78_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=78&level=19	5000 GEAR_TOKENS	20028	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=78, level=19		
20030	CAMPAIGN_NORMAL_79_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=79&level=7	5000 GEAR_TOKENS	20029	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=79, level=7		
20031	CAMPAIGN_NORMAL_79_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=79&level=13	5000 GEAR_TOKENS	20030	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=79, level=13		
20032	CAMPAIGN_NORMAL_79_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=79&level=19	5000 GEAR_TOKENS	20031	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=79, level=19		
20033	CAMPAIGN_NORMAL_80_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=80&level=7	5000 GEAR_TOKENS	20032	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=80, level=7		
20034	CAMPAIGN_NORMAL_80_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=80&level=13	5000 GEAR_TOKENS	20033	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=80, level=13		
20035	CAMPAIGN_NORMAL_80_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=80&level=19	5000 GEAR_TOKENS	20034	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=80, level=19		
20036	CAMPAIGN_NORMAL_81_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=81&level=7	5000 GEAR_TOKENS	20035	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=81, level=7		
20037	CAMPAIGN_NORMAL_81_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=81&level=13	5000 GEAR_TOKENS	20036	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=81, level=13		
20038	CAMPAIGN_NORMAL_81_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=81&level=19	5000 GEAR_TOKENS	20037	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=81, level=19		
20039	CAMPAIGN_NORMAL_82_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=82&level=7	5000 GEAR_TOKENS	20038	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=82, level=7		
20040	CAMPAIGN_NORMAL_82_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=82&level=13	5000 GEAR_TOKENS	20039	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=82, level=13		
20041	CAMPAIGN_NORMAL_82_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=82&level=19	5000 GEAR_TOKENS	20040	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=82, level=19		
20042	CAMPAIGN_NORMAL_83_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=83&level=7	5000 GEAR_TOKENS	20041	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=83, level=7		
20043	CAMPAIGN_NORMAL_83_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=83&level=13	5000 GEAR_TOKENS	20042	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=83, level=13		
20044	CAMPAIGN_NORMAL_83_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=83&level=19	5000 GEAR_TOKENS	20043	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=83, level=19		
20045	CAMPAIGN_NORMAL_84_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=84&level=7	5000 GEAR_TOKENS	20044	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=84, level=7		
20046	CAMPAIGN_NORMAL_84_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=84&level=13	5000 GEAR_TOKENS	20045	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=84, level=13		
20047	CAMPAIGN_NORMAL_84_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=84&level=19	5000 GEAR_TOKENS	20046	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=84, level=19		
20048	CAMPAIGN_NORMAL_85_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=85&level=7	5000 GEAR_TOKENS	20047	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=85, level=7		
20049	CAMPAIGN_NORMAL_85_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=85&level=13	5000 GEAR_TOKENS	20048	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=85, level=13		
20050	CAMPAIGN_NORMAL_85_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=85&level=19	5000 GEAR_TOKENS	20049	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=85, level=19		
20051	CAMPAIGN_NORMAL_86_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=86&level=7	5000 GEAR_TOKENS	20050	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=86, level=7		
20052	CAMPAIGN_NORMAL_86_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=86&level=13	5000 GEAR_TOKENS	20051	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=86, level=13		
20053	CAMPAIGN_NORMAL_86_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=86&level=19	5000 GEAR_TOKENS	20052	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=86, level=19		
20054	CAMPAIGN_NORMAL_87_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=87&level=7	5000 GEAR_TOKENS	20053	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=87, level=7		
20055	CAMPAIGN_NORMAL_87_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=87&level=13	5000 GEAR_TOKENS	20054	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=87, level=13		
20056	CAMPAIGN_NORMAL_87_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=87&level=19	5000 GEAR_TOKENS	20055	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=87, level=19		
20057	CAMPAIGN_NORMAL_88_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=88&level=7	5000 GEAR_TOKENS	20056	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=88, level=7		
20058	CAMPAIGN_NORMAL_88_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=88&level=13	5000 GEAR_TOKENS	20057	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=88, level=13		
20059	CAMPAIGN_NORMAL_88_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=88&level=19	5000 GEAR_TOKENS	20058	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=88, level=19		
20060	CAMPAIGN_NORMAL_89_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=89&level=7	5000 GEAR_TOKENS	20059	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=89, level=7		
20061	CAMPAIGN_NORMAL_89_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=89&level=13	5000 GEAR_TOKENS	20060	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=89, level=13		
20062	CAMPAIGN_NORMAL_89_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=89&level=19	5000 GEAR_TOKENS	20061	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=89, level=19		
20063	CAMPAIGN_NORMAL_90_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=90&level=7	5000 GEAR_TOKENS	20062	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=90, level=7		
20064	CAMPAIGN_NORMAL_90_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=90&level=13	5000 GEAR_TOKENS	20063	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=90, level=13		
20065	CAMPAIGN_NORMAL_90_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=90&level=19	5000 GEAR_TOKENS	20064	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=90, level=19		
20066	CAMPAIGN_NORMAL_91_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=91&level=7	5000 GEAR_TOKENS	20065	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=91, level=7		
20067	CAMPAIGN_NORMAL_91_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=91&level=13	5000 GEAR_TOKENS	20066	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=91, level=13		
20068	CAMPAIGN_NORMAL_91_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=91&level=19	5000 GEAR_TOKENS	20067	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=91, level=19		
20069	CAMPAIGN_NORMAL_92_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=92&level=7	5000 GEAR_TOKENS	20068	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=92, level=7		
20070	CAMPAIGN_NORMAL_92_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=92&level=13	5000 GEAR_TOKENS	20069	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=92, level=13		
20071	CAMPAIGN_NORMAL_92_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=92&level=19	5000 GEAR_TOKENS	20070	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=92, level=19		
20072	CAMPAIGN_NORMAL_93_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=93&level=7	5000 GEAR_TOKENS	20071	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=93, level=7		
20073	CAMPAIGN_NORMAL_93_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=93&level=13	5000 GEAR_TOKENS	20072	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=93, level=13		
20074	CAMPAIGN_NORMAL_93_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=93&level=19	5000 GEAR_TOKENS	20073	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=93, level=19		
20075	CAMPAIGN_NORMAL_94_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=94&level=7	5000 GEAR_TOKENS	20074	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=94, level=7		
20076	CAMPAIGN_NORMAL_94_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=94&level=13	5000 GEAR_TOKENS	20075	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=94, level=13		
20077	CAMPAIGN_NORMAL_94_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=94&level=19	5000 GEAR_TOKENS	20076	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=94, level=19		
20078	CAMPAIGN_NORMAL_95_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=95&level=7	5000 GEAR_TOKENS	20077	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=95, level=7		
20079	CAMPAIGN_NORMAL_95_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=95&level=13	5000 GEAR_TOKENS	20078	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=95, level=13		
20080	CAMPAIGN_NORMAL_95_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=95&level=19	5000 GEAR_TOKENS	20079	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=95, level=19		
20081	CAMPAIGN_NORMAL_96_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=96&level=7	5000 GEAR_TOKENS	20080	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=96, level=7		
20082	CAMPAIGN_NORMAL_96_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=96&level=13	5000 GEAR_TOKENS	20081	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=96, level=13		
20083	CAMPAIGN_NORMAL_96_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=96&level=19	5000 GEAR_TOKENS	20082	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=96, level=19		
20084	CAMPAIGN_NORMAL_97_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=97&level=7	5000 GEAR_TOKENS	20083	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=97, level=7		
20085	CAMPAIGN_NORMAL_97_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=97&level=13	5000 GEAR_TOKENS	20084	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=97, level=13		
20086	CAMPAIGN_NORMAL_97_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=97&level=19	5000 GEAR_TOKENS	20085	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=97, level=19		
20087	CAMPAIGN_NORMAL_98_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=98&level=7	5000 GEAR_TOKENS	20086	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=98, level=7		
20088	CAMPAIGN_NORMAL_98_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=98&level=13	5000 GEAR_TOKENS	20087	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=98, level=13		
20089	CAMPAIGN_NORMAL_98_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=98&level=19	5000 GEAR_TOKENS	20088	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=98, level=19		
20090	CAMPAIGN_NORMAL_99_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=99&level=7	5000 GEAR_TOKENS	20089	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=99, level=7		
20091	CAMPAIGN_NORMAL_99_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=99&level=13	5000 GEAR_TOKENS	20090	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=99, level=13		
20092	CAMPAIGN_NORMAL_99_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=99&level=19	5000 GEAR_TOKENS	20091	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=99, level=19		
20093	CAMPAIGN_NORMAL_100_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=100&level=7	5000 GEAR_TOKENS	20092	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=100, level=7		
20094	CAMPAIGN_NORMAL_100_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=100&level=13	5000 GEAR_TOKENS	20093	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=100, level=13		
20095	CAMPAIGN_NORMAL_100_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=100&level=19	5000 GEAR_TOKENS	20094	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=100, level=19		
20096	CAMPAIGN_NORMAL_101_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=101&level=7	5000 GEAR_TOKENS	20095	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=101, level=7		
20097	CAMPAIGN_NORMAL_101_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=101&level=13	5000 GEAR_TOKENS	20096	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=101, level=13		
20098	CAMPAIGN_NORMAL_101_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=101&level=19	5000 GEAR_TOKENS	20097	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=101, level=19		
20099	CAMPAIGN_NORMAL_102_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=102&level=7	5000 GEAR_TOKENS	20098	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=102, level=7		
20100	CAMPAIGN_NORMAL_102_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=102&level=13	5000 GEAR_TOKENS	20099	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=102, level=13		
20101	CAMPAIGN_NORMAL_102_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=102&level=19	5000 GEAR_TOKENS	20100	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=102, level=19		
20102	CAMPAIGN_NORMAL_103_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=103&level=7	5000 GEAR_TOKENS	20101	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=103, level=7		
20103	CAMPAIGN_NORMAL_103_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=103&level=13	5000 GEAR_TOKENS	20102	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=103, level=13		
20104	CAMPAIGN_NORMAL_103_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=103&level=19	5000 GEAR_TOKENS	20103	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=103, level=19		
20105	CAMPAIGN_NORMAL_104_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=104&level=7	5000 GEAR_TOKENS	20104	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=104, level=7		
20106	CAMPAIGN_NORMAL_104_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=104&level=13	5000 GEAR_TOKENS	20105	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=104, level=13		
20107	CAMPAIGN_NORMAL_104_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=104&level=19	5000 GEAR_TOKENS	20106	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=104, level=19		
20108	CAMPAIGN_NORMAL_105_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=105&level=7	5000 GEAR_TOKENS	20107	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=105, level=7		
20109	CAMPAIGN_NORMAL_105_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=105&level=13	5000 GEAR_TOKENS	20108	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=105, level=13		
20110	CAMPAIGN_NORMAL_105_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=105&level=19	5000 GEAR_TOKENS	20109	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=105, level=19		
20111	CAMPAIGN_NORMAL_106_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=106&level=7	5000 GEAR_TOKENS	20110	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=106, level=7		
20112	CAMPAIGN_NORMAL_106_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=106&level=13	5000 GEAR_TOKENS	20111	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=106, level=13		
20113	CAMPAIGN_NORMAL_106_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=106&level=19	5000 GEAR_TOKENS	20112	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=106, level=19		
20114	CAMPAIGN_NORMAL_107_7	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=107&level=7	5000 GEAR_TOKENS	20113	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=107, level=7		
20115	CAMPAIGN_NORMAL_107_13	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=107&level=13	5000 GEAR_TOKENS	20114	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=107, level=13		
20116	CAMPAIGN_NORMAL_107_19	ACHIEVEMENT	3	normal_campaign	campaign/NORMAL?chapter=107&level=19	5000 GEAR_TOKENS	20115	Once,FollowUp,HasChapter	CampaignWins(1)	chapter=107, level=19		
1500	CAMPAIGN_ELITE_1_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=1&level=1	10 DIAMONDS	1278	Once,HasChapter	CampaignWins(1)	type=ELITE, chapter=1, level=1		
1501	CAMPAIGN_ELITE_1_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=1&level=4	10 DIAMONDS	1500	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=1, level=4		
1502	CAMPAIGN_ELITE_1_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=1&level=7	10 DIAMONDS	1501	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=1, level=7		
1503	CAMPAIGN_ELITE_1_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=1&level=10	10 DIAMONDS	1502	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=1, level=10		
1504	CAMPAIGN_ELITE_1_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=1&level=13	10 DIAMONDS	1503	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=1, level=13		
1505	CAMPAIGN_ELITE_1_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=1&level=16	10 DIAMONDS	1504	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=1, level=16		
1506	CAMPAIGN_ELITE_1_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=1&level=19	10 DIAMONDS	1505	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=1, level=19		
1507	CAMPAIGN_ELITE_2_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=2&level=1	10 DIAMONDS	1506	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=2, level=1		
1508	CAMPAIGN_ELITE_2_4	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=2&level=4	10 DIAMONDS	1507	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=2, level=4		
1509	CAMPAIGN_ELITE_2_7	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=2&level=7	10 DIAMONDS	1508	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=2, level=7		
1510	CAMPAIGN_ELITE_2_10	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=2&level=10	10 DIAMONDS	1509	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=2, level=10		
1511	CAMPAIGN_ELITE_2_13	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=2&level=13	10 DIAMONDS	1510	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=2, level=13		
1512	CAMPAIGN_ELITE_2_16	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=2&level=16	10 DIAMONDS	1511	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=2, level=16		
1513	CAMPAIGN_ELITE_2_19	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=2&level=19	10 DIAMONDS	1512	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=2, level=19		
1514	CAMPAIGN_ELITE_3_1	ACHIEVEMENT	4	elite_campaign	campaign/ELITE?chapter=3&level=1	10 DIAMONDS	1513	Once,FollowUp,HasChapter	CampaignWins(1)	type=ELITE, chapter=3, level=1		
