	UNIT_TYPE	TALENT_1	TALENT_2	TALENT_3	TALENT_4	TALENT_5
186	MIGUEL	STOIC_DETERMINATION	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	TENDERIZE	FRENZIED_VENGEANCE
187	DANTE	REALITY_SHARE	STOIC_DETERMINATION	COMPLETE_FORTIFICATION	INVINCIBLE_MOMENTUM	ALLURING_LOYALTY
188	JACK_SPARROW	ARMOR_BLIGHT	STOUT_SENSES	TANK_AGGRESSIVE	CORRUPTED_DOSE	SHREWD_STRIKES
189	HECTOR_BARBOSSA	POWER_BENEVOLENCE	HEAL_SHARE	POWER_DEBILITATION	LACERATE	SHREWD_STRIKES
190	TIA_DALMA	CRUELTY	PREDICTIVE_DEBILITATION	SPEED_DEBILITATION	CORRUPTED_DOSE	ALLURING_LOYALTY
191	DAVY_JONES	CRUELTY	POWER_DEBILITATION	RELENTLESS	INVINCIBLE_MOMENTUM	CORRUPTED_DOSE
192	JAKE_LONG	DOMINANCE	HEALTH_DRAIN	POWER_BENEVOLENCE	FORTIFYING_CLEANSE	REFLECTION_WEAKEN
193	ROSE	STOUT_SENSES	PREDICTIVE_DEBILITATION	DOMINANCE	CORRUPTED_DOSE	DEVIOUS_PLOT
194	IAN_LIGHTFOOT	POWER_BENEVOLENCE	DAMAGE_DEBILITATION	HEALTH_DRAIN	EXHAUSTING_ATTACKS	LACERATE
195	BARLEY_LIGHTFOOT	POWER_BENEVOLENCE	HEALTH_DRAIN	HEAL_SHARE	INVINCIBLE_RETRIBUTION	BOUNTIFUL_GROWTH
196	MANTICORE	PREDICTIVE_DEBILITATION	SPEED_DEBILITATION	POWER_DEBILITATION	LACERATE	AUGMENTED_STUN
197	BAGHEERA	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	SPEED_DEBILITATION	HAUNT	REFLECTIVE_REFUGE
198	BALOO	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	POWER_BENEVOLENCE	BOUNTIFUL_GROWTH	ALLURING_LOYALTY
199	KAA	CLOAKING_ATTACKS	HEALTH_DRAIN	PREDICTIVE_DEBILITATION	ALLURING_LOYALTY	EXHAUSTING_ATTACKS
200	KING_LOUIE	SPEED_DEBILITATION	HEALTH_DRAIN	NIMBLE	DEVASTATING_BLOWS	INVINCIBLE_RETRIBUTION
201	SHERE_KHAN	CRUELTY	DAMAGE_AGGRESSIVE	SUPPORT_AGGRESSIVE	HAUNT	DEVIOUS_PLOT
202	FLIK	PRECISION_BENEVOLENCE	POWER_BENEVOLENCE	DAMAGE_DEBILITATION	INVINCIBLE_RETRIBUTION	LACERATE
203	HOPPER	ARMOR_BLIGHT	REALITY_BLIGHT	TANK_AGGRESSIVE	AUGMENTED_STUN	FRENZIED_VENGEANCE
204	POWERLINE	PREDICTIVE_DEBILITATION	DAMAGE_DEBILITATION	REALITY_DEBILITATION	FREEZE_FRACTURE	FRENZIED_VENGEANCE
205	BASIL	HEALTH_DRAIN	TANK_AGGRESSIVE	SUPPORT_AGGRESSIVE	DEVASTATING_BLOWS	LACERATE
206	ROCKETEER	TANK_AGGRESSIVE	DAUNTLESS	PRECISION_BENEVOLENCE	INVINCIBLE_REJUVENATION	BOUNTIFUL_GROWTH
207	BOLT	ARMOR_BLIGHT	NIMBLE	SILENCING_ATTACKS	EXHAUSTING_ATTACKS	SHREWD_STRIKES
208	THE_HORNED_KING	CLOAKING_ATTACKS	SPEED_DEBILITATION	RELENTLESS	EXHAUSTING_ATTACKS	REFLECTIVE_REFUGE
209	AGENT_P	PRECISION_BENEVOLENCE	HEALTH_DRAIN	NIMBLE	AUGMENTED_STUN	FRENZIED_VENGEANCE
210	TWENTY_TWO	REALITY_BLIGHT	ARMOR_BLIGHT	SILENCING_ATTACKS	DEVASTATING_BLOWS	REFLECTION_WEAKEN
211	MEILIN_LEE	BOLD_STURDINESS	COMPLETE_FORTIFICATION	PRECISION_BENEVOLENCE	BOUNTIFUL_GROWTH	TENDERIZE
212	LUCA_AND_ALBERTO	SHIELD_SHARE	ARMOR_DEBILITATION	REALITY_DEBILITATION	ENABLING_SHIELD	LACERATE
213	BOWLER_HAT_GUY	SPEED_DEBILITATION	POWER_DEBILITATION	DOMINANCE	ALLURING_LOYALTY	SHREWD_STRIKES
214	EDA_CLAWTHORNE	HEAL_SHARE	ARMOR_SHARE	REALITY_SHARE	INVINCIBLE_REJUVENATION	FRUITFUL_REVENGE
215	LUZ_NOCEDA	STOIC_DETERMINATION	CLOAKING_ATTACKS	DEVASTATING_SAP	REFLECTION_WEAKEN	EXHAUSTING_ATTACKS
216	DR_DOOFENSHMIRTZ	SILENCING_ATTACKS	NIMBLE	CLOAKING_ATTACKS	DEVIOUS_PLOT	REFLECTIVE_REFUGE
217	MAX_GOOF	STOIC_DETERMINATION	NIMBLE	CONTROL_AGGRESSIVE	INVINCIBLE_RETRIBUTION	DEVASTATING_BLOWS
218	MCLEACH	SUPPORT_AGGRESSIVE	DAMAGE_AGGRESSIVE	PREDICTIVE_DEBILITATION	FRENZIED_VENGEANCE	EXHAUSTING_ATTACKS
219	CRUELLA	BOLD_STURDINESS	ARMOR_SHARE	TANK_AGGRESSIVE	BOUNTIFUL_GROWTH	DEVASTATING_BLOWS
220	MIRABEL_MADRIGAL	POWER_BENEVOLENCE	REALITY_BLIGHT	PRECISION_BENEVOLENCE	TENDERIZE	ALLURING_LOYALTY
221	HEIMLICH	NIMBLE	HEAL_SHARE	SHIELD_SHARE	ENABLING_SHIELD	INVINCIBLE_MOMENTUM
222	BRUNO_MADRIGAL	REALITY_BLIGHT	REALITY_BENEVOLENCE	SPEED_DEBILITATION	ENABLING_SHIELD	INVINCIBLE_RETRIBUTION
223	ISABELA_MADRIGAL	CRUELTY	DEVASTATING_SAP	SILENCING_ATTACKS	EXHAUSTING_ATTACKS	CORRUPTED_DOSE
224	LADY_AND_TRAMP	NIMBLE	DOMINANCE	STOUT_SENSES	INVINCIBLE_RETRIBUTION	INVINCIBLE_MOMENTUM
225	FRANNY_ROBINSON	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	HEALTH_DRAIN	FRUITFUL_REVENGE	ALLURING_LOYALTY
226	MAMA_ODIE	ARMOR_BLIGHT	PRECISION_BENEVOLENCE	CLOAKING_ATTACKS	ALLURING_LOYALTY	DEVIOUS_PLOT
227	CHICKEN_LITTLE	HEALTH_DRAIN	ARMOR_BLIGHT	SILENCING_ATTACKS	LACERATE	DEVASTATING_BLOWS
228	RATIGAN	HEAL_SHARE	RELENTLESS	POWER_BENEVOLENCE	EXHAUSTING_ATTACKS	ALLURING_LOYALTY
229	JOE_GARDNER	PRECISION_BENEVOLENCE	STOIC_DETERMINATION	NIMBLE	EXTREME_ACCURACY	TENDERIZE
230	ELIZABETH_SWANN	DAMAGE_AGGRESSIVE	ARMOR_BLIGHT	SILENCING_ATTACKS	HAUNT	LACERATE
231	MUFASA	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	HEAL_SHARE	BOUNTIFUL_GROWTH	TIRELESS
232	PENNY_PROUD	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	HEAL_SHARE	FORTIFYING_CLEANSE	INVINCIBLE_REJUVENATION
233	FERB	PREDICTIVE_DEBILITATION	POWER_DEBILITATION	NIMBLE	EXHAUSTING_ATTACKS	FREEZE_FRACTURE
234	ANNE_BOONCHUY	NIMBLE	SILENCING_ATTACKS	STOUT_SENSES	EXHAUSTING_ATTACKS	FRENZIED_VENGEANCE
235	LUISA_MADRIGAL	ARMOR_DEBILITATION	POWER_DEBILITATION	DAMAGE_DEBILITATION	INVINCIBLE_RETRIBUTION	INVINCIBLE_MOMENTUM
236	EMBER_LUMEN	HEALTH_DRAIN	DAMAGE_DEBILITATION	SPEED_DEBILITATION	CORRUPTED_DOSE	DEVASTATING_BLOWS
237	CHERNABOG	REALITY_SHARE	ARMOR_SHARE	DEVASTATING_SAP	EXHAUSTING_ATTACKS	TENDERIZE
238	HUNTSMAN	CRUELTY	DEVASTATING_SAP	CLOAKING_ATTACKS	HAUNT	EXHAUSTING_ATTACKS
239	WADE_RIPPLE	SHIELD_SHARE	PRECISION_BENEVOLENCE	NIMBLE	ENABLING_SHIELD	REFLECTIVE_REFUGE
240	SUGA_MAMA	DOMINANCE	SPEED_DEBILITATION	DAMAGE_DEBILITATION	CORRUPTED_DOSE	REFLECTIVE_REFUGE
241	ANXIETY	SHIELD_SHARE	ARMOR_SHARE	REALITY_SHARE	TENDERIZE	ENABLING_SHIELD
242	REPTILLUS_MAXIMUS	ARMOR_SHARE	COMPLETE_FORTIFICATION	STOUT_SENSES	INVINCIBLE_REJUVENATION	REFLECTIVE_REFUGE
243	THOMAS_O_MALLEY	HEAL_SHARE	DAMAGE_AGGRESSIVE	SPEED_DEBILITATION	AUGMENTED_STUN	ALLURING_LOYALTY
244	ISABELLA_SHAPIRO	SILENCING_ATTACKS	DAMAGE_DEBILITATION	ARMOR_DEBILITATION	CORRUPTED_DOSE	DEVIOUS_PLOT
245	LILITH_CLAWTHORNE	CRUELTY	DAMAGE_DEBILITATION	STOUT_SENSES	CORRUPTED_DOSE	EXHAUSTING_ATTACKS
246	LADY_TREMAINE	PRECISION_BENEVOLENCE	ARMOR_BLIGHT	POWER_BENEVOLENCE	TENDERIZE	FORTIFYING_CLEANSE
247	EDNA_MODE	ARMOR_SHARE	REALITY_SHARE	SELF_PURIFICATION	BOUNTIFUL_GROWTH	INVINCIBLE_RETRIBUTION
248	GANTU	REALITY_BLIGHT	CLOAKING_ATTACKS	DAMAGE_DEBILITATION	DEVASTATING_BLOWS	DEVIOUS_PLOT
249	CANDACE_FLYNN	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	SPEED_DEBILITATION	BOUNTIFUL_GROWTH	INVINCIBLE_MOMENTUM
250	DR_CALICO	DOMINANCE	DAMAGE_DEBILITATION	POWER_DEBILITATION	CORRUPTED_DOSE	EXHAUSTING_ATTACKS
251	PHINEAS	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	PRECISION_BENEVOLENCE	DEVIOUS_PLOT	ALLURING_LOYALTY
252	CARL_THE_ROBOT	TANK_AGGRESSIVE	SUPPORT_AGGRESSIVE	CONTROL_AGGRESSIVE	FRUITFUL_REVENGE	TIRELESS
253	YEN_SID	SHIELD_SHARE	POWER_BENEVOLENCE	SPEED_DEBILITATION	ENABLING_SHIELD	BOUNTIFUL_GROWTH
254	DUCHESS	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	FRUITFUL_REVENGE	ENABLING_SHIELD
255	REUBEN	NIMBLE	DAUNTLESS	HEAL_SHARE	TENDERIZE	BOUNTIFUL_GROWTH
256	ENVY	SUPPORT_AGGRESSIVE	CONTROL_AGGRESSIVE	DAMAGE_AGGRESSIVE	REFLECTIVE_REFUGE	FORTIFYING_CLEANSE
257	HECTOR_RIVERA	SELF_PURIFICATION	SPEED_DEBILITATION	POWER_DEBILITATION	DEVASTATING_BLOWS	EXHAUSTING_ATTACKS
258	SIMEA	PRECISION_BENEVOLENCE	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	BOUNTIFUL_GROWTH	FORTIFYING_CLEANSE
259	GISELLE	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	PRECISION_BENEVOLENCE	ENABLING_SHIELD	FORTIFYING_CLEANSE
260	EMBARRASSMENT	DAUNTLESS	REALITY_SHARE	REALITY_BENEVOLENCE	REFLECTIVE_REFUGE	AUGMENTED_STUN
261	SCAT_CAT	PREDICTIVE_DEBILITATION	NIMBLE	SPEED_DEBILITATION	LACERATE	SHREWD_STRIKES
262	ABBY_MALLARD	ARMOR_SHARE	REALITY_SHARE	HEALTH_DRAIN	DEVASTATING_BLOWS	TIRELESS
263	HEADLESS_HORSEMAN	CRUELTY	REALITY_DEBILITATION	DOMINANCE	HAUNT	DEVIOUS_PLOT
264	ENNUI	PREDICTIVE_DEBILITATION	POWER_DEBILITATION	RELENTLESS	AUGMENTED_STUN	TIRELESS
265	AMITY_BLIGHT	REALITY_BENEVOLENCE	POWER_BENEVOLENCE	ARMOR_BENEVOLENCE	ENABLING_SHIELD	TENDERIZE
266	MARIE	PREDICTIVE_DEBILITATION	POWER_DEBILITATION	SPEED_DEBILITATION	AUGMENTED_STUN	REFLECTIVE_REFUGE
267	ERNESTO_DE_LA_CRUZ	HEALTH_DRAIN	RELENTLESS	NIMBLE	CORRUPTED_DOSE	INVINCIBLE_MOMENTUM
268	GAZELLE	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	TENDERIZE	LACERATE
269	PIGLET	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	DAMAGE_DEBILITATION	TENDERIZE	EXHAUSTING_ATTACKS
270	LIGHTNING_MCQUEEN	SUPPORT_AGGRESSIVE	CONTROL_AGGRESSIVE	DAMAGE_AGGRESSIVE	EXTREME_ACCURACY	SHREWD_STRIKES
271	BAMBI	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	SPEED_BENEVOLENCE	TENDERIZE	INVINCIBLE_RETRIBUTION
272	DARWIN	POWER_DEBILITATION	DAMAGE_DEBILITATION	SPEED_DEBILITATION	TIRELESS	INVINCIBLE_REJUVENATION
273	PINOCCHIO	SHIELD_SHARE	PREDICTIVE_DEBILITATION	POWER_DEBILITATION	ENABLING_SHIELD	FORTIFYING_CLEANSE
274	KING_CANDY	DEVASTATING_SAP	CRUELTY	RELENTLESS	TIRELESS	TENDERIZE
275	PONGO	NIMBLE	DAMAGE_DEBILITATION	POWER_DEBILITATION	CORRUPTED_DOSE	HAUNT
276	HANS	POWER_DEBILITATION	HEALTH_DRAIN	SPEED_DEBILITATION	LACERATE	DEVASTATING_BLOWS
277	LOTSO	POWER_DEBILITATION	PREDICTIVE_DEBILITATION	DAMAGE_DEBILITATION	FRENZIED_VENGEANCE	ALLURING_LOYALTY
278	YOKAI	DOMINANCE	CLOAKING_ATTACKS	DAMAGE_DEBILITATION	DEVIOUS_PLOT	HAUNT
279	MATER	SHIELD_SHARE	POWER_BENEVOLENCE	PRECISION_BENEVOLENCE	ENABLING_SHIELD	INVINCIBLE_REJUVENATION
280	MOLLY_MCGEE	SILENCING_ATTACKS	DAMAGE_DEBILITATION	SPEED_DEBILITATION	INVINCIBLE_MOMENTUM	EXHAUSTING_ATTACKS
281	CAPTAIN_GRIME	POWER_DEBILITATION	DAMAGE_DEBILITATION	HEALTH_DRAIN	DEVASTATING_BLOWS	FRENZIED_VENGEANCE
282	DUMBO	CLOAKING_ATTACKS	SHIELD_SHARE	HEALTH_DRAIN	EXHAUSTING_ATTACKS	BOUNTIFUL_GROWTH
283	BENJAMIN_FRANKLIN_GATES	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	DAMAGE_DEBILITATION	INVINCIBLE_RETRIBUTION	EXHAUSTING_ATTACKS
284	SCUTTLE	HEAL_SHARE	HEALTH_DRAIN	SPEED_DEBILITATION	TIRELESS	SHREWD_STRIKES
285	MOWGLI	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	POWER_BENEVOLENCE	REFLECTIVE_REFUGE	TENDERIZE
