	TIER_1_TAGS	TIER_3_TAGS	TIER_4_TAGS	FRANCHISE	SKILL_1	SKILL_2	SKILL_3	SKILL_4	SKILL_5	PRIME_BADGE	PATCH_TALENT_1	PATCH_TALENT_2	PATCH_TALENT_3	PATCH_TALENT_4	PATCH_TALENT_5
ELSA	DPS_ROLE,BLUE_TEAM,FROZEN,FANTASTIC_DAMAGE,FREEZE,ENERGY_SELF,SKILL_POWER_INCREASE,MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE	SKILL_POWER_INCREASE,SHIELD_SELF	INCREASED_DAMAGE_DEALT,FANTASTIC_DAMAGE,SHATTER	FROZEN	FANTASTIC_DAMAGE	FANTASTIC_DAMAGE,FREEZE	FANTASTIC_DAMAGE,FREEZE		FREEZE,ENERGY_SELF,SKILL_POWER_INCREASE,MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE,FANTASTIC_DAMAGE	SKILL_POWER_INCREASE,SHIELD_SELF	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	FANTASTIC_DAMAGE,SHATTER	
EMBARRASSMENT	TANK_ROLE,YELLOW_TEAM,INSIDE_OUT,NORMAL_DAMAGE,CONFUSION,REALITY_INCREASE,MAX_HP_INCREASE,STUN,HEX,ENDURANCE,CLEANSE,IMMUNITY,DISTRACT,SHIELD_SELF,SHIELD_TEAM,BERSERK,DAMAGE_INCREASE	REFLECT,MAX_HP_INCREASE	IMMUNITY,REALITY_INCREASE,REFLECT,HEAL_SELF,TENACITY_DECREASE,WEAKNESS	INSIDE_OUT	NORMAL_DAMAGE,CONFUSION,REALITY_INCREASE,MAX_HP_INCREASE,STUN,HEX	NORMAL_DAMAGE,ENDURANCE,CLEANSE,IMMUNITY,DISTRACT,ENDURANCE	NORMAL_DAMAGE,SHIELD_SELF,SHIELD_TEAM,REALITY_INCREASE	REALITY_INCREASE	BERSERK,SHIELD_SELF,REALITY_INCREASE,MAX_HP_INCREASE,DAMAGE_INCREASE	REFLECT,MAX_HP_INCREASE	IMMUNITY	REALITY_INCREASE	REALITY_INCREASE	REFLECT,HEAL_SELF	TENACITY_DECREASE,WEAKNESS
EMBER_LUMEN	DPS_ROLE,YELLOW_TEAM,ELEMENTAL,NORMAL_DAMAGE,KNOCKBACK,BLIND,DISTRACT,REDUCED_DAMAGE_TAKEN,IMMUNITY,REVIVE_SELF,ENERGY_SELF,INVINCIBLE,HEAL_SELF,STUN,DAMAGE_OVER_TIME,REMOVE_BUFF,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE	HEAL_SELF,REDUCED_DAMAGE_DEALT,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,CURSE,TRUE_DAMAGE,REMOVE_BUFF,SHATTER,PIERCE	ELEMENTAL	NORMAL_DAMAGE,KNOCKBACK	NORMAL_DAMAGE,BLIND,DISTRACT,REDUCED_DAMAGE_TAKEN	NORMAL_DAMAGE,IMMUNITY	REVIVE_SELF,ENERGY_SELF,INVINCIBLE,HEAL_SELF	NORMAL_DAMAGE,STUN,DAMAGE_OVER_TIME,REMOVE_BUFF,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE	HEAL_SELF	REDUCED_DAMAGE_DEALT	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	CURSE,TRUE_DAMAGE	REMOVE_BUFF,SHATTER,PIERCE
EMPEROR_ZURG	DPS_ROLE,BLUE_TEAM,TOY_STORY,FANTASTIC_DAMAGE,SCARE,ENERGY_REMOVAL,ENERGY_SELF,SKILL_POWER_INCREASE,MAX_HP_INCREASE	SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE	REALITY_DECREASE,INCREASED_DAMAGE_DEALT,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,CURSE,TRUE_DAMAGE	TOY_STORY	FANTASTIC_DAMAGE	SCARE	ENERGY_REMOVAL,ENERGY_SELF	ENERGY_SELF	SKILL_POWER_INCREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE	SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE	REALITY_DECREASE	INCREASED_DAMAGE_DEALT	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	CURSE,TRUE_DAMAGE
ENNUI	CONTROL_ROLE,YELLOW_TEAM,INSIDE_OUT,TRUE_DAMAGE,REDUCED_DAMAGE_TAKEN,FANTASTIC_DAMAGE,BLIND,SILENCE,STUN,NORMAL_DAMAGE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,MAX_HP_DECREASE,DODGE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	ENERGY_SELF,MAX_HP_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,IMMUNITY,WEAKNESS,REMOVE_BUFF	INSIDE_OUT	TRUE_DAMAGE,REDUCED_DAMAGE_TAKEN	FANTASTIC_DAMAGE,BLIND,SILENCE,STUN	NORMAL_DAMAGE,DAMAGE_DECREASE,SKILL_POWER_DECREASE		ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,MAX_HP_DECREASE,DODGE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	ENERGY_SELF,MAX_HP_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	DAMAGE_DECREASE,SKILL_POWER_DECREASE	IMMUNITY	TENACITY_DECREASE,WEAKNESS	IMMUNITY,REMOVE_BUFF
ENVY	DPS_ROLE,YELLOW_TEAM,INSIDE_OUT,FANTASTIC_DAMAGE,COPY_BUFF,REMOVE_BUFF,SKILL_POWER_INCREASE,REDUCED_DAMAGE_DEALT,ENERGY_SELF,TRUE_DAMAGE,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE,MAX_HP_INCREASE	CRIT_DAMAGE_INCREASE,SKILL_POWER_INCREASE	INCREASED_DAMAGE_DEALT,REFLECT,HEAL_SELF,HARDY,REDUCED_DAMAGE_TAKEN	INSIDE_OUT	FANTASTIC_DAMAGE	COPY_BUFF,REMOVE_BUFF,SKILL_POWER_INCREASE	FANTASTIC_DAMAGE,REDUCED_DAMAGE_DEALT,ENERGY_SELF	TRUE_DAMAGE,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	MAX_HP_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	CRIT_DAMAGE_INCREASE,SKILL_POWER_INCREASE	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	REFLECT,HEAL_SELF	HARDY,REDUCED_DAMAGE_TAKEN
ERNESTO_DE_LA_CRUZ	DPS_ROLE,YELLOW_TEAM,COCO,FANTASTIC_DAMAGE,PRECISE,DISTRACT,MOMENTUM,SKILL_POWER_INCREASE,OVERLOAD,IMMUNITY,KNOCKBACK,DETERMINATION,EMPOWERED,HEAL_SELF,SILENCE,ENERGIZE,CLEANSE,HEAL_OVER_TIME_SELF,INVINCIBLE,INCREASED_DAMAGE_DEALT,MAX_HP_INCREASE	REFLECT,SKILL_POWER_INCREASE	HEAL_SELF,IMMUNITY,CURSE,TRUE_DAMAGE,STUN	COCO	FANTASTIC_DAMAGE,PRECISE,DISTRACT,MOMENTUM	SKILL_POWER_INCREASE,OVERLOAD,IMMUNITY	FANTASTIC_DAMAGE,KNOCKBACK,DETERMINATION,EMPOWERED	HEAL_SELF,SILENCE,ENERGIZE	CLEANSE,HEAL_OVER_TIME_SELF,DISTRACT,HEAL_SELF,INVINCIBLE,INCREASED_DAMAGE_DEALT,SKILL_POWER_INCREASE,MAX_HP_INCREASE	REFLECT,SKILL_POWER_INCREASE	HEAL_SELF	IMMUNITY	IMMUNITY	CURSE,TRUE_DAMAGE	TRUE_DAMAGE,STUN
ESMERALDA	SUPPORT_ROLE,YELLOW_TEAM,THE_HUNCHBACK_OF_NOTRE_DAME,ENERGIZE,ATTACK_SPEED_INCREASE,NORMAL_DAMAGE,HARDY,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ENERGY_SELF,HEAL_TEAM,SHIELD_TEAM,DISTRACT,DAMAGE_INCREASE,MAX_HP_INCREASE,TENACITY_INCREASE,EVASION_INCREASE	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,REALITY_INCREASE,SKILL_POWER_INCREASE	IMMUNITY,DAMAGE_INCREASE,SKILL_POWER_INCREASE,PRECISE,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,REMOVE_BUFF,SHATTER,PIERCE	THE_HUNCHBACK_OF_NOTRE_DAME	ENERGIZE,ATTACK_SPEED_INCREASE	NORMAL_DAMAGE,HARDY	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	ENERGY_SELF,HEAL_TEAM	SHIELD_TEAM,DISTRACT,DAMAGE_INCREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,TENACITY_INCREASE,EVASION_INCREASE	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,REALITY_INCREASE,SKILL_POWER_INCREASE	IMMUNITY	DAMAGE_INCREASE,SKILL_POWER_INCREASE	PRECISE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	REMOVE_BUFF,SHATTER,PIERCE
EVE	DPS_ROLE,RED_TEAM,WALLE,NORMAL_DAMAGE,SHIELD_TEAM,STUN,DAMAGE_INCREASE,SKILL_POWER_INCREASE	DAMAGE_INCREASE,ARMOR_INCREASE,ENERGIZE	REDUCED_DAMAGE_DEALT,HEAL_SELF,DAMAGE_DECREASE,SKILL_POWER_DECREASE,TENACITY_DECREASE,WEAKNESS	WALLE	NORMAL_DAMAGE	SHIELD_TEAM	NORMAL_DAMAGE,STUN		STUN,DAMAGE_INCREASE,SKILL_POWER_INCREASE,NORMAL_DAMAGE	DAMAGE_INCREASE,ARMOR_INCREASE,ENERGIZE	REDUCED_DAMAGE_DEALT	HEAL_SELF	DAMAGE_DECREASE,SKILL_POWER_DECREASE	TENACITY_DECREASE,WEAKNESS	
EVIL_QUEEN	DPS_ROLE,BLUE_TEAM,SNOW_WHITE_AND_THE_SEVEN_DWARFS,FANTASTIC_DAMAGE,STUN,TRUE_DAMAGE,CURSE,HEAL_SELF,REMOVE_BUFF,REDUCED_DAMAGE_TAKEN,DAMAGE_INCREASE,SKILL_POWER_INCREASE	REALITY_INCREASE,SKILL_POWER_INCREASE,EVASION_INCREASE	REDUCED_DAMAGE_DEALT,CURSE,TRUE_DAMAGE	SNOW_WHITE_AND_THE_SEVEN_DWARFS	FANTASTIC_DAMAGE,STUN	TRUE_DAMAGE,CURSE,HEAL_SELF			REMOVE_BUFF,REDUCED_DAMAGE_TAKEN,DAMAGE_INCREASE,SKILL_POWER_INCREASE,FANTASTIC_DAMAGE	REALITY_INCREASE,SKILL_POWER_INCREASE,EVASION_INCREASE	REDUCED_DAMAGE_DEALT		CURSE	CURSE,TRUE_DAMAGE	
FAIRY_GODMOTHER	SUPPORT_ROLE,BLUE_TEAM,CINDERELLA,HEAL_TEAM,HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,REALITY_INCREASE,HARDY,ENERGIZE,FANTASTIC_DAMAGE,STUN,ARMOR_INCREASE,CLEANSE,ENERGY_SELF,MAX_HP_INCREASE,EVASION_INCREASE,TENACITY_INCREASE	REALITY_INCREASE,ARMOR_INCREASE,SHIELD_TEAM	ARMOR_INCREASE,IMMUNITY,PRECISE,INVINCIBLE,HEAL_OVER_TIME_SELF,CLEANSE,HEAL_TEAM,REMOVE_BUFF,WEAKNESS,HEX	CINDERELLA	HEAL_TEAM,HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,REALITY_INCREASE	HARDY,ENERGIZE	FANTASTIC_DAMAGE,STUN	ARMOR_INCREASE,CLEANSE,HARDY	ENERGY_SELF,ENERGIZE,MAX_HP_INCREASE,EVASION_INCREASE,TENACITY_INCREASE,ARMOR_INCREASE	REALITY_INCREASE,ARMOR_INCREASE,SHIELD_TEAM	ARMOR_INCREASE	IMMUNITY	PRECISE	IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF	CLEANSE,HEAL_TEAM,REMOVE_BUFF,WEAKNESS,HEX
FEAR	SUPPORT_ROLE,YELLOW_TEAM,INSIDE_OUT,FANTASTIC_DAMAGE,ARMOR_INCREASE,STUN,SCARE,SHIELD_TEAM,REDUCED_DAMAGE_TAKEN,CHARM,FREEZE,BLIND,SILENCE,IMMUNITY,MAX_HP_INCREASE	SKILL_POWER_INCREASE,DAMAGE_INCREASE,INVISIBLE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,REALITY_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,IMMUNITY,REMOVE_BUFF,INVINCIBLE	INSIDE_OUT	FANTASTIC_DAMAGE,ARMOR_INCREASE,STUN	FANTASTIC_DAMAGE,SCARE	SHIELD_TEAM	REDUCED_DAMAGE_TAKEN	CHARM,FREEZE,STUN,BLIND,SILENCE,IMMUNITY,MAX_HP_INCREASE,ARMOR_INCREASE,SHIELD_TEAM	SKILL_POWER_INCREASE,DAMAGE_INCREASE,INVISIBLE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	REALITY_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	IMMUNITY,REMOVE_BUFF	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE
FELIX	TANK_ROLE,BLUE_TEAM,WRECK_IT_RALPH,NORMAL_DAMAGE,STUN,HEAL_TEAM,BLIND,SKILL_POWER_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,REALITY_INCREASE,HEAL_TEAM	ARMOR_INCREASE,REALITY_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,REFLECT,HEAL_SELF,REMOVE_BUFF	WRECK_IT_RALPH	NORMAL_DAMAGE,STUN	HEAL_TEAM	BLIND	SKILL_POWER_INCREASE	HEAL_TEAM,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,REALITY_INCREASE,HEAL_TEAM	ARMOR_INCREASE	REALITY_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	REFLECT,HEAL_SELF	REMOVE_BUFF
FERB	CONTROL_ROLE,RED_TEAM,PHINEAS_AND_FERB,NORMAL_DAMAGE,DECAY,INVISIBLE,REFLECT,STUN,ENERGY_REMOVAL,CLEANSE,SKILL_POWER_INCREASE,DAMAGE_INCREASE,REMOVE_BUFF,FREEZE,ARMOR_INCREASE,REALITY_INCREASE,ATTACK_SPEED_INCREASE,ENERGIZE,INCREASED_DAMAGE_TAKEN,FATIGUE,SILENCE,ENERGY_SELF,MAX_HP_INCREASE	SHIELD_SELF,DAMAGE_INCREASE,MAX_HP_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,IMMUNITY,REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT,FANTASTIC_DAMAGE,SHATTER	PHINEAS_AND_FERB	NORMAL_DAMAGE,DECAY,INVISIBLE,REFLECT	STUN,ENERGY_REMOVAL,CLEANSE,SKILL_POWER_INCREASE,DAMAGE_INCREASE	DAMAGE_INCREASE,REMOVE_BUFF,FREEZE	ARMOR_INCREASE,REALITY_INCREASE,ATTACK_SPEED_INCREASE,ENERGIZE	INCREASED_DAMAGE_TAKEN,FATIGUE,SILENCE,ENERGY_REMOVAL,ENERGY_SELF,DAMAGE_INCREASE,MAX_HP_INCREASE,REALITY_INCREASE	SHIELD_SELF,DAMAGE_INCREASE,MAX_HP_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	DAMAGE_DECREASE,SKILL_POWER_DECREASE	IMMUNITY	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	FANTASTIC_DAMAGE,SHATTER
FINNICK	CONTROL_ROLE,YELLOW_TEAM,ZOOTOPIA,NORMAL_DAMAGE,KNOCKBACK,STUN,FANTASTIC_DAMAGE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,REDUCED_DAMAGE_DEALT,SKILL_POWER_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,REALITY_INCREASE,HARDY	DAMAGE_DECREASE,SKILL_POWER_DECREASE,ARMOR_DECREASE,BLIND,TENACITY_DECREASE,WEAKNESS	ZOOTOPIA	NORMAL_DAMAGE,KNOCKBACK,STUN	FANTASTIC_DAMAGE	NORMAL_DAMAGE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	REDUCED_DAMAGE_DEALT,SKILL_POWER_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,REALITY_INCREASE,HARDY	DAMAGE_DECREASE,SKILL_POWER_DECREASE	ARMOR_DECREASE	BLIND	TENACITY_DECREASE,WEAKNESS	
FLASH	CONTROL_ROLE,YELLOW_TEAM,ZOOTOPIA,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,IMMUNITY,ENERGY_SELF,ATTACK_SPEED_INCREASE,STUN,NORMAL_DAMAGE,BLIND,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,ENERGY_REMOVAL,STUDY,HEAL_SELF,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,MOVE_SPEED_INCREASE,TENACITY_DECREASE,EVASION_DECREASE,EVASION_INCREASE,TENACITY_INCREASE,MAX_HP_INCREASE	EVASION_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,REDUCED_DAMAGE_DEALT,DAMAGE_DECREASE,SKILL_POWER_DECREASE,REFLECT,HEAL_SELF,IMMUNITY,REMOVE_BUFF	ZOOTOPIA	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,IMMUNITY,ENERGY_SELF,ATTACK_SPEED_INCREASE,STUN	NORMAL_DAMAGE,BLIND	NORMAL_DAMAGE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,ENERGY_REMOVAL,STUDY	HEAL_SELF,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	NORMAL_DAMAGE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,TENACITY_DECREASE,EVASION_DECREASE,EVASION_INCREASE,TENACITY_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE	EVASION_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	REDUCED_DAMAGE_DEALT	DAMAGE_DECREASE,SKILL_POWER_DECREASE	REFLECT,HEAL_SELF	IMMUNITY,REMOVE_BUFF
FLIK	SUPPORT_ROLE,RED_TEAM,A_BUGS_LIFE,FANTASTIC_DAMAGE,SCARE,DAMAGE_OVER_TIME,STUDY,ARMOR_DECREASE,HARDY,SHIELD_SELF,SHIELD_TEAM,ARMOR_INCREASE,HEAL_SELF,HEAL_TEAM,ATTACK_SPEED_INCREASE,SKILL_POWER_INCREASE	SHIELD_SELF,SHIELD_TEAM,ARMOR_INCREASE,SKILL_POWER_INCREASE	PRECISE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,REDUCED_DAMAGE_DEALT,INVINCIBLE,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	A_BUGS_LIFE	FANTASTIC_DAMAGE,SCARE,DAMAGE_OVER_TIME	STUDY,ARMOR_DECREASE	HARDY,SHIELD_SELF,SHIELD_TEAM	ARMOR_INCREASE	HEAL_SELF,HEAL_TEAM,STUDY,ARMOR_DECREASE,ARMOR_INCREASE,ATTACK_SPEED_INCREASE,SKILL_POWER_INCREASE,SHIELD_SELF, SHIELD_TEAM	SHIELD_SELF,SHIELD_TEAM,ARMOR_INCREASE,SKILL_POWER_INCREASE	PRECISE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	REDUCED_DAMAGE_DEALT	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
FLYNN_RIDER	CONTROL_ROLE,YELLOW_TEAM,TANGLED,NORMAL_DAMAGE,SAP,ENERGY_REMOVAL,ENERGY_SELF,ENERGY_TEAM,DAMAGE_DECREASE,DAMAGE_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE	REDUCED_DAMAGE_DEALT,DAMAGE_DECREASE,SKILL_POWER_DECREASE,SAP,REMOVE_BUFF,FATIGUE,IMMUNITY	TANGLED	NORMAL_DAMAGE	NORMAL_DAMAGE,SAP,ENERGY_REMOVAL,ENERGY_SELF	SAP,ENERGY_SELF	ENERGY_REMOVAL,ENERGY_SELF	ENERGY_TEAM,DAMAGE_DECREASE,DAMAGE_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,NORMAL_DAMAGE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE	REDUCED_DAMAGE_DEALT	DAMAGE_DECREASE,SKILL_POWER_DECREASE	SAP	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	IMMUNITY,REMOVE_BUFF
FOZZIE	CONTROL_ROLE,BLUE_TEAM,MUPPETS,NORMAL_DAMAGE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,KNOCKBACK,STUN,REVIVE_SELF,HARDY,ENERGY_REMOVAL,REDUCED_DAMAGE_DEALT,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF,TRUE_DAMAGE,STUN	MUPPETS	NORMAL_DAMAGE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	KNOCKBACK,STUN	REVIVE_SELF,HARDY	ENERGY_REMOVAL	ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,REDUCED_DAMAGE_DEALT,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	DAMAGE_DECREASE,SKILL_POWER_DECREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF	TRUE_DAMAGE,STUN
FRANNY_ROBINSON	DPS_ROLE,BLUE_TEAM,MEET_THE_ROBINSONS,TRUE_DAMAGE,ARMOR_DECREASE,REALITY_DECREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,ARMOR_INCREASE,REALITY_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,IMMUNITY,MAX_HP_INCREASE,MAX_HP_DECREASE,EVASION_INCREASE	CRIT_DAMAGE_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	ARMOR_INCREASE,REALITY_INCREASE,HEAL_SELF,CLEANSE,HEAL_TEAM,REMOVE_BUFF,WEAKNESS,HEX,CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	MEET_THE_ROBINSONS	TRUE_DAMAGE,ARMOR_DECREASE,REALITY_DECREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	TRUE_DAMAGE,DAMAGE_DECREASE,SKILL_POWER_DECREASE	TRUE_DAMAGE,ARMOR_INCREASE,REALITY_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	IMMUNITY,ARMOR_INCREASE,REALITY_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,ARMOR_DECREASE,REALITY_DECREASE,MAX_HP_DECREASE,IMMUNITY,EVASION_INCREASE	CRIT_DAMAGE_INCREASE, ARMOR_INCREASE,REALITY_INCREASE	ARMOR_INCREASE	REALITY_INCREASE	HEAL_SELF	CLEANSE,HEAL_TEAM,REMOVE_BUFF,WEAKNESS,HEX	CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE
FRED_FREDERICKSON	TANK_ROLE,RED_TEAM,BIG_HERO_SIX,TRUE_DAMAGE,DAMAGE_OVER_TIME,HARDY,BLIND,NORMAL_DAMAGE,ARMOR_INCREASE,REALITY_INCREASE,HEAL_SELF,CLEANSE,ENERGY_SELF,MAX_HP_INCREASE,TENACITY_INCREASE	BERSERK,MAX_HP_INCREASE,REALITY_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,HEAL_TEAM,HEAL_SELF,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	BIG_HERO_SIX	TRUE_DAMAGE,DAMAGE_OVER_TIME	HARDY,BLIND	NORMAL_DAMAGE,ARMOR_INCREASE,REALITY_INCREASE	HEAL_SELF	TRUE_DAMAGE,CLEANSE,ENERGY_SELF,MAX_HP_INCREASE,TENACITY_INCREASE,NORMAL_DAMAGE	BERSERK,MAX_HP_INCREASE,REALITY_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	HEAL_TEAM	HEAL_SELF	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE
FROZONE	CONTROL_ROLE,RED_TEAM,INCREDIBLES,FREEZE,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,SKILL_POWER_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,FANTASTIC_CRIT_INCREASE	IMMUNITY,INCREASED_DAMAGE_DEALT,INVISIBLE,FANTASTIC_DAMAGE,SHATTER,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	INCREDIBLES	FREEZE	FANTASTIC_DAMAGE	FREEZE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,SKILL_POWER_INCREASE,REALITY_INCREASE,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	SKILL_POWER_INCREASE,FANTASTIC_CRIT_INCREASE	IMMUNITY	INCREASED_DAMAGE_DEALT	INVISIBLE	FANTASTIC_DAMAGE,SHATTER	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
