	02/07/2023	02/01/2023	01/31/2023	01/24/2023	01/10/2023	01/04/2023	01/01/2023	12/31/2022	12/13/2022	12/01/2022	11/30/2022	11/22/2022	11/15/2022	11/01/2022	10/18/2022	10/11/2022	10/01/2022	09/30/2022	09/19/2022	09/01/2022	08/31/2022	08/30/2022	08/16/2022	08/09/2022	08/01/2022	07/31/2022	07/19/2022	07/12/2022	07/01/2022	06/30/2022	06/28/2022	06/27/2022	06/21/2022	06/07/2022	06/01/2022	05/31/2022	05/24/2022	05/17/2022	05/01/2022	04/30/2022	04/26/2022	04/05/2022	04/01/2022	03/31/2022	03/29/2022	03/15/2022	03/01/2022	02/28/2022	02/22/2022	02/01/2022	01/31/2022	01/11/2022	01/04/2022	01/01/2022	12/31/2021	12/22/2021	12/07/2021	12/01/2021	11/30/2021	11/11/2021	11/09/2021	11/01/2021	10/31/2021	10/19/2021	10/12/2021	10/01/2021	09/30/2021	09/28/2021	09/14/2021	09/08/2021	09/01/2021	08/31/2021	08/17/2021	08/01/2021	07/31/2021	07/27/2021	07/20/2021	07/06/2021	07/01/2021	06/30/2021	06/22/2021	06/01/2021	05/31/2021	05/25/2021	05/04/2021	05/01/2021	04/30/2021	04/27/2021	04/13/2021	04/01/2021	03/31/2021	03/30/2021	03/26/2021	03/23/2021	03/02/2021	03/01/2021	02/28/2021	02/09/2021	02/02/2021	02/01/2021	01/31/2021	01/19/2021	01/05/2021	01/01/2021	12/31/2020	12/08/2020	12/01/2020	11/30/2020	11/17/2020	11/10/2020	11/01/2020	10/31/2020	10/27/2020	10/13/2020	10/06/2020	10/01/2020	09/30/2020	09/08/2020	09/01/2020	08/31/2020	08/25/2020	08/18/2020	08/04/2020	08/01/2020	07/31/2020	07/29/2020	07/21/2020	07/14/2020	07/01/2020	06/30/2020	06/23/2020	06/09/2020	06/01/2020	05/31/2020	05/26/2020	05/18/2020	05/12/2020	05/01/2020	04/30/2020	04/28/2020	04/21/2020	04/01/2020	03/31/2020	03/23/2020	03/10/2020	03/03/2020	03/01/2020	02/29/2020	02/25/2020	02/18/2020	02/04/2020	02/01/2020	01/31/2020	01/21/2020	01/07/2020	01/01/2020	12/31/2019	12/17/2019	12/03/2019	12/01/2019	11/30/2019	11/20/2019	11/12/2019	11/01/2019	10/29/2019	10/23/2019	10/02/2019	10/01/2019	08/21/2019
CH_39_NODE_3	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR	JAFAR																																																																																																																
CH_39_NODE_4	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	FLYNN_RIDER	FLYNN_RIDER	FLYNN_RIDER	FLYNN_RIDER	FLYNN_RIDER	FLYNN_RIDER	FLYNN_RIDER	FLYNN_RIDER	FLYNN_RIDER	FLYNN_RIDER	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY																																																																																																																
CH_39_NODE_5	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	FEAR	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	SCROOGE_MCDUCK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	QUACKERJACK	EEYORE	EEYORE																																																																																																																
CH_39_NODE_6	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	EVIL_QUEEN	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU	SHAN_YU																																																																																																																
CH_39_NODE_7	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	KRONK	KRONK																																																																																																																
CH_40_NODE_1	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	QUACKERJACK																																																																																																																				
CH_40_NODE_2	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	HAMM	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	ROCKETEER	GO_GO	GO_GO	GO_GO	GO_GO	LILO																																																																																																																				
CH_40_NODE_3	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT																																																																																																																				
CH_40_NODE_4	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO	GERALD_MARLIN_NEMO																																																																																																																				
CH_40_NODE_5	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	BALOO	BALOO	BALOO	BALOO	BALOO																																																																																																																				
CH_40_NODE_6	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	VINNY_SANTORINI	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER	BUNSEN_AND_BEAKER																																																																																																																				
CH_40_NODE_7	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SYNDROME	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	SHERIFF_OF_NOTTINGHAM	GO_GO	GO_GO	GO_GO	GO_GO	BOLT																																																																																																																				
CH_41_NODE_1	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL																																																																																																																							
CH_41_NODE_2	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS																																																																																																																							
CH_41_NODE_3	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	DR_FACILIER	DR_FACILIER	DR_FACILIER	DR_FACILIER	DR_FACILIER	DR_FACILIER																																																																																																																							
CH_41_NODE_4	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER	FAIRY_GODMOTHER																																																																																																																							
CH_41_NODE_5	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS																																																																																																																							
CH_41_NODE_6	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	ARIEL																																																																																																																							
CH_41_NODE_7	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	ZEUS																																																																																																																							
CH_42_NODE_1	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	VINNY_SANTORINI																																																																																																																										
CH_42_NODE_2	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	MARY_SANDERSON	FRED_FREDERICKSON	FRED_FREDERICKSON	FRED_FREDERICKSON																																																																																																																										
CH_42_NODE_3	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO	LILO																																																																																																																										
CH_42_NODE_4	SIMBA_AND_NALA	SIMBA_AND_NALA	SIMBA_AND_NALA	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	CARL	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT	BOLT																																																																																																																										
CH_42_NODE_5	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL	ARIEL																																																																																																																										
CH_42_NODE_6	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	RAYA	WINIFRED_SANDERSON																																																																																																																										
CH_42_NODE_7	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS	ZEUS																																																																																																																										
CH_43_NODE_1	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA	ESMERALDA																																																																																																																												
