	EQUIP_HERO	GIFTING_HERO	COLOR	TAGS	LEVEL_TAGS	STAR_TAGS
ROBIN_HOOD_STEAL	ROBIN_HOOD	NICK_WILDE	ORANGE	HEAL_SELF,HEAL_TEAM,REALITY_INCREASE,EVASION_INCREASE	HEAL_SELF,HEAL_TEAM,REALITY_INCREASE,EVASION_INCREASE	
GOOFY_SHIELD	GOOFY	MICKEY_MOUSE	RED	SHIELD_TEAM,HEAL_TEAM	SHIELD_TEAM	HEAL_TEAM
GOOFY_BLIND	GOOFY	JESSIE	GOLD	MAX_HP_INCREASE,DAMAGE_INCREASE	MAX_HP_INCREASE,DAMAGE_INCREASE	
DUKE_CABOOM_CONTROL	DUKE_CABOOM	GOOFY	ICE_BLUE	SKILL_POWER_INCREASE,KNOCKBACK,STUN	SKILL_POWER_INCREASE	KNOCKBACK,STUN
DUKE_CABOOM_HEAL	DUKE_CABOOM	WOODY	RED	MAX_HP_INCREASE,ARMOR_INCREASE,HEAL_TEAM	MAX_HP_INCREASE,ARMOR_INCREASE	HEAL_TEAM
DUCKY_AND_BUNNY_CONTROL	DUCKY_AND_BUNNY	TIMON_AND_PUMBAA	ORANGE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ARMOR_INCREASE,STUN,EVASION_INCREASE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ARMOR_INCREASE	STUN,EVASION_INCREASE
DUCKY_AND_BUNNY_ALLY_ROLE	DUCKY_AND_BUNNY	MERLIN	BLUE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	ATTACK_SPEED_INCREASE
JOY_ARMOR	JOY	OLAF	ICE_BLUE	ARMOR_INCREASE,MAX_HP_INCREASE,SKILL_POWER_INCREASE	ARMOR_INCREASE,MAX_HP_INCREASE,SKILL_POWER_INCREASE	
JOY_DISABLE	JOY	ANGER	RED	HEAL_TEAM,MAX_HP_INCREASE,SHIELD_SELF	HEAL_TEAM,MAX_HP_INCREASE,SHIELD_SELF	
ANGER_DAMAGE_ROLE	ANGER	EMPEROR_ZURG	PURPLE	DAMAGE_INCREASE,MAX_HP_INCREASE,ENERGY_SELF,SKILL_POWER_INCREASE,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,MAX_HP_INCREASE,ENERGY_SELF,SKILL_POWER_INCREASE,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE	ATTACK_SPEED_INCREASE
ANGER_DOT	ANGER	HADES	BLUE	NORMAL_DAMAGE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,DAMAGE_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	NORMAL_DAMAGE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,DAMAGE_INCREASE,MOVE_SPEED_INCREASE	ATTACK_SPEED_INCREASE
BO_PEEP_ARMOR_DEBUFF	BO_PEEP	WOODY	RED	ARMOR_DECREASE	ARMOR_DECREASE	
BO_PEEP_HEAL	BO_PEEP	JOY	GOLD	HEAL_SELF	HEAL_SELF	
BEAST_SCARE	BEAST	BELLE	RED	ARMOR_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE,EVASION_INCREASE,TENACITY_INCREASE,DODGE,ATTACK_SPEED_DECREASE	ARMOR_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE,EVASION_INCREASE,TENACITY_INCREASE	DODGE,ATTACK_SPEED_DECREASE
BEAST_DAMAGE_ROLE	BEAST	SULLEY	BLUE	DAMAGE_INCREASE,NORMAL_DAMAGE,MAX_HP_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,ENERGY_SELF,ARMOR_INCREASE	DAMAGE_INCREASE,NORMAL_DAMAGE,MAX_HP_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,ENERGY_SELF	ARMOR_INCREASE
PETER_PAN_SKILL1	PETER_PAN	ROBIN_HOOD	ORANGE	MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE,FANTASTIC_DAMAGE,DODGE	MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE	FANTASTIC_DAMAGE,DODGE
PETER_PAN_SKILL3	PETER_PAN	ALICE	GREEN	HEAL_TEAM,EVASION_INCREASE,TENACITY_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	HEAL_TEAM,EVASION_INCREASE,TENACITY_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE
RAFIKI_DISABLE	RAFIKI	MERLIN	ORANGE	FANTASTIC_DAMAGE	FANTASTIC_DAMAGE	
RAFIKI_HEAL	RAFIKI	JACK_JACK	BLUE	ARMOR_INCREASE,MAX_HP_INCREASE,HEAL_TEAM,HEAL_OVER_TIME_TEAM	ARMOR_INCREASE,MAX_HP_INCREASE	HEAL_TEAM,HEAL_OVER_TIME_TEAM
JAFAR_SKILL1	JAFAR	GASTON	GOLD	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,HEAL_OVER_TIME_SELF,MAX_HP_INCREASE,EVASION_DECREASE,ENERGY_TEAM	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,HEAL_OVER_TIME_SELF,MAX_HP_INCREASE,EVASION_DECREASE	ENERGY_TEAM
JAFAR_ROLES	JAFAR	SCAR	RED	MAX_HP_INCREASE,ARMOR_INCREASE,SKILL_POWER_INCREASE,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,BLIND	MAX_HP_INCREASE,ARMOR_INCREASE,SKILL_POWER_INCREASE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,BLIND
JASMINE_RAJAH_SKILL1	JASMINE	SHANK	RED	DAMAGE_INCREASE,NORMAL_CRIT_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,NORMAL_CRIT_INCREASE	ATTACK_SPEED_INCREASE
JASMINE_ENERGY	JASMINE	ALADDIN	TEAL	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,ENERGY_TEAM	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	ENERGY_TEAM
TIMON_AND_PUMBAA_SKILL2	TIMON_AND_PUMBAA	STITCH	BLUE	SKILL_POWER_INCREASE,DAMAGE_INCREASE,ARMOR_INCREASE,HEAL_OVER_TIME_TEAM	SKILL_POWER_INCREASE,DAMAGE_INCREASE	ARMOR_INCREASE,HEAL_OVER_TIME_TEAM
TIMON_AND_PUMBAA_CONTROL	TIMON_AND_PUMBAA	SCAR	RED	ARMOR_DECREASE,STUN	ARMOR_DECREASE	STUN
SIMBA_AND_NALA_ARMOR	SIMBA_AND_NALA	MIGUEL	GOLD	DAMAGE_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,MAX_HP_INCREASE	
SIMBA_AND_NALA_SILENCE	SIMBA_AND_NALA	HUEY_DEWEY_LOUIE	BLUE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE,SILENCE	SKILL_POWER_INCREASE,MAX_HP_INCREASE	FANTASTIC_DAMAGE,SILENCE
HUEY_DEWEY_LOUIE_TANK_COUNTER	HUEY_DEWEY_LOUIE	JOY	BLUE	TENACITY_DECREASE,EVASION_DECREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE,STUN	TENACITY_DECREASE,EVASION_DECREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE	STUN
HUEY_DEWEY_LOUIE_BEAR_TRAP	HUEY_DEWEY_LOUIE	DONALD_DUCK	BLUE	HEAL_SELF,CLEANSE,MAX_HP_INCREASE,ATTACK_SPEED_INCREASE	HEAL_SELF,CLEANSE,MAX_HP_INCREASE	ATTACK_SPEED_INCREASE
MISS_PIGGY_DISABLE	MISS_PIGGY	GASTON	BLUE	HEAL_SELF,NORMAL_CRIT_INCREASE,DAMAGE_INCREASE,CRIT_DAMAGE_INCREASE,DODGE,ATTACK_SPEED_INCREASE	HEAL_SELF,NORMAL_CRIT_INCREASE,DAMAGE_INCREASE,CRIT_DAMAGE_INCREASE	DODGE,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE
MISS_PIGGY_KNOCK_BACK	MISS_PIGGY	QUEEN_OF_HEARTS	RED	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,DAMAGE_INCREASE,REALITY_INCREASE,ARMOR_INCREASE,ENERGY_SELF	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,DAMAGE_INCREASE,REALITY_INCREASE,ARMOR_INCREASE	ENERGY_SELF
ANIMAL_CHARM_COUNTER	ANIMAL	WALL_E	GOLD	HEAL_SELF,HEAL_TEAM,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	HEAL_SELF,HEAL_TEAM	ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE
ANIMAL_SHIELD	ANIMAL	GONZO	RED	SHIELD_TEAM,ATTACK_SPEED_INCREASE	SHIELD_TEAM	ATTACK_SPEED_INCREASE
YZMA_CURSE	YZMA	URSULA	PINK	ARMOR_DECREASE,ARMOR_INCREASE,CURSE	ARMOR_DECREASE,ARMOR_INCREASE	CURSE
YZMA_SPEED	YZMA	MISS_PIGGY	PURPLE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE,BLIND,CURSE,STUN	DAMAGE_INCREASE,SKILL_POWER_INCREASE	ATTACK_SPEED_INCREASE,BLIND,CURSE,STUN
GONZO_SHIELD_BUFF	GONZO	LAUNCHPAD_MCQUACK	GOLD	MAX_HP_INCREASE,SKILL_POWER_INCREASE	MAX_HP_INCREASE,SKILL_POWER_INCREASE	
GONZO_SPEED_COUNTER	GONZO	DUKE_CABOOM	RED	DAMAGE_DECREASE,DAMAGE_INCREASE	DAMAGE_DECREASE,DAMAGE_INCREASE	
MEGAVOLT_TANK_COUNTER	MEGAVOLT	EMPEROR_ZURG	GREEN	FANTASTIC_DAMAGE,MOVE_SPEED_DECREASE,MAX_HP_INCREASE	FANTASTIC_DAMAGE,MOVE_SPEED_DECREASE,MAX_HP_INCREASE	FANTASTIC_DAMAGE
MEGAVOLT_CONTROL_COUNTER	MEGAVOLT	FINNICK	ORANGE	SKILL_POWER_DECREASE,MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE	SKILL_POWER_DECREASE,MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE	
CAPTAIN_HOOK_SAP	CAPTAIN_HOOK	HECTOR_BARBOSSA	ORANGE	MAX_HP_INCREASE,ATTACK_SPEED_INCREASE,SAP	MAX_HP_INCREASE,ATTACK_SPEED_INCREASE	SAP
CAPTAIN_HOOK_SHIELD	CAPTAIN_HOOK	PETER_PAN	GREEN	SHIELD_TEAM,MAX_HP_INCREASE,REALITY_INCREASE	SHIELD_TEAM,MAX_HP_INCREASE,REALITY_INCREASE	SHIELD_TEAM
RANDALL_BOGGS_TRUE_DMG	RANDALL_BOGGS	YZMA	PINK	TRUE_DAMAGE,MAX_HP_INCREASE,DAMAGE_INCREASE,REMOVE_BUFF	TRUE_DAMAGE,MAX_HP_INCREASE,DAMAGE_INCREASE	REMOVE_BUFF
RANDALL_BOGGS_DODGE	RANDALL_BOGGS	GASTON	RED	SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_INCREASE,TENACITY_INCREASE,DODGE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_INCREASE,TENACITY_INCREASE	DODGE
SCROOGE_MCDUCK_DAMAGE_STUN	SCROOGE_MCDUCK	HERCULES	GOLD	FANTASTIC_DAMAGE,TENACITY_INCREASE,EVASION_INCREASE,STUN	FANTASTIC_DAMAGE,TENACITY_INCREASE,EVASION_INCREASE	STUN
SCROOGE_MCDUCK_PULL_STUN	SCROOGE_MCDUCK	HUEY_DEWEY_LOUIE	GREEN	NORMAL_DAMAGE,REALITY_INCREASE,ARMOR_INCREASE,STUN	NORMAL_DAMAGE,REALITY_INCREASE,ARMOR_INCREASE	STUN
LAUNCHPAD_MCQUACK_FANTASTIC	LAUNCHPAD_MCQUACK	DARKWING_DUCK	PURPLE	DAMAGE_INCREASE,FANTASTIC_DAMAGE	DAMAGE_INCREASE	FANTASTIC_DAMAGE
LAUNCHPAD_MCQUACK_CONTROL	LAUNCHPAD_MCQUACK	HIRO	ORANGE	MAX_HP_INCREASE	MAX_HP_INCREASE	
GIZMODUCK_STEAL	GIZMODUCK	DUKE_CABOOM	RED	MAX_HP_INCREASE,ARMOR_DECREASE,ARMOR_INCREASE,INVINCIBLE	MAX_HP_INCREASE	ARMOR_DECREASE,ARMOR_INCREASE,INVINCIBLE
GIZMODUCK_BUFF	GIZMODUCK	LAUNCHPAD_MCQUACK	ORANGE	MAX_HP_INCREASE,HEAL_TEAM,ARMOR_INCREASE,ENERGY_SELF,ENERGY_TEAM	MAX_HP_INCREASE,HEAL_TEAM	ARMOR_INCREASE,ENERGY_SELF,ENERGY_TEAM
DONALD_DUCK_TRUE	DONALD_DUCK	ANGER	RED	SKILL_POWER_INCREASE,TRUE_DAMAGE	SKILL_POWER_INCREASE	TRUE_DAMAGE
DONALD_DUCK_INVINCIBLE	DONALD_DUCK	SCROOGE_MCDUCK	BLUE	MAX_HP_INCREASE,INVINCIBLE	MAX_HP_INCREASE	INVINCIBLE
MADAM_MIM_ENERGY	MADAM_MIM	MAGICA_DE_SPELL	RED	MAX_HP_INCREASE,NORMAL_CRIT_DECREASE,FANTASTIC_CRIT_DECREASE,ARMOR_DECREASE,HEX,REMOVE_BUFF	MAX_HP_INCREASE,NORMAL_CRIT_DECREASE,FANTASTIC_CRIT_DECREASE,ARMOR_DECREASE	HEX,REMOVE_BUFF
MADAM_MIM_DAMAGE	MADAM_MIM	OOGIE_BOOGIE	ORANGE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,CRIT_DAMAGE_INCREASE,DAMAGE_INCREASE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,CRIT_DAMAGE_INCREASE	MAX_HP_INCREASE,DAMAGE_INCREASE
OOGIE_BOOGIE_SCARE	OOGIE_BOOGIE	RANDALL_BOGGS	PURPLE	MAX_HP_INCREASE,ATTACK_SPEED_DECREASE	MAX_HP_INCREASE	ATTACK_SPEED_DECREASE
OOGIE_BOOGIE_POWER	OOGIE_BOOGIE	CAPTAIN_HOOK	GREEN	MAX_HP_INCREASE,REALITY_INCREASE,ARMOR_INCREASE,SKILL_POWER_INCREASE	MAX_HP_INCREASE,REALITY_INCREASE,ARMOR_INCREASE	SKILL_POWER_INCREASE
FLYNN_RIDER_CHARM	FLYNN_RIDER	RAPUNZEL	PINK	MAX_HP_INCREASE,REALITY_INCREASE,ARMOR_INCREASE,MAX_HP_DECREASE,CHARM	MAX_HP_INCREASE,REALITY_INCREASE,ARMOR_INCREASE,MAX_HP_DECREASE	CHARM
FLYNN_RIDER_SKILL2_BUFF	FLYNN_RIDER	ALADDIN	ORANGE	MAX_HP_INCREASE,DAMAGE_INCREASE,NORMAL_CRIT_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	MAX_HP_INCREASE,DAMAGE_INCREASE,NORMAL_CRIT_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	
MAGICA_DE_SPELL_INVISIBLE	MAGICA_DE_SPELL	MEGAVOLT	PURPLE	MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,REDUCED_DAMAGE_DEALT	MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE	REDUCED_DAMAGE_DEALT
MAGICA_DE_SPELL_KO_BUFF	MAGICA_DE_SPELL	JAFAR	RED	SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_DECREASE,STUN	SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_DECREASE	STUN
KIDA_SKILL1_BUFF	KIDA	HERCULES	TEAL	MAX_HP_INCREASE,DAMAGE_INCREASE,ARMOR_INCREASE,FANTASTIC_DAMAGE	MAX_HP_INCREASE,DAMAGE_INCREASE,ARMOR_INCREASE	ARMOR_INCREASE,FANTASTIC_DAMAGE
KIDA_ENERGY	KIDA	JASMINE	GREEN	SKILL_POWER_INCREASE,REALITY_INCREASE,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	SKILL_POWER_INCREASE,REALITY_INCREASE,DAMAGE_INCREASE	ATTACK_SPEED_INCREASE
RAPUNZEL_SHIELD_COUNTER	RAPUNZEL	JASMINE	ICE_BLUE	DAMAGE_DECREASE,MAX_HP_INCREASE	DAMAGE_DECREASE,MAX_HP_INCREASE	
RAPUNZEL_SKILL1_BUFF	RAPUNZEL	BO_PEEP	PINK	FANTASTIC_DAMAGE,MAX_HP_INCREASE,FANTASTIC_CRIT_DECREASE,MOVE_SPEED_DECREASE	FANTASTIC_DAMAGE,MAX_HP_INCREASE,FANTASTIC_CRIT_DECREASE	MOVE_SPEED_DECREASE
TRON_TANK	TRON	GIZMODUCK	TEAL	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,HARDY	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	HARDY
TRON_ENERGY	TRON	KEVIN_FLYNN	ORANGE	DAMAGE_INCREASE,MAX_HP_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,ENERGY_SELF	DAMAGE_INCREASE,MAX_HP_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	ENERGY_SELF
COLETTE_SKILL1_BUFF	COLETTE	SALLY	PURPLE	MAX_HP_INCREASE,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,BLIND,ENERGY_SELF	MAX_HP_INCREASE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,BLIND,ENERGY_SELF
COLETTE_SKILL2_BUFF	COLETTE	MEGARA	PINK	MAX_HP_INCREASE,TENACITY_DECREASE,STUN	MAX_HP_INCREASE,TENACITY_DECREASE	STUN
LINGUINI_AND_REMY_HARDY	LINGUINI_AND_REMY	MISS_PIGGY	PINK	MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE,ATTACK_SPEED_INCREASE	MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE	ATTACK_SPEED_INCREASE
LINGUINI_AND_REMY_SUPPORT	LINGUINI_AND_REMY	COLETTE	ORANGE	MAX_HP_INCREASE,EVASION_INCREASE	MAX_HP_INCREASE,EVASION_INCREASE	
GERALD_MARLIN_NEMO_INVINCIBLE	GERALD_MARLIN_NEMO	HANK_AND_DORY	GOLD	MAX_HP_INCREASE	MAX_HP_INCREASE	
GERALD_MARLIN_NEMO_ARMOR	GERALD_MARLIN_NEMO	SIMBA_AND_NALA	RED	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,SHIELD_TEAM	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	SHIELD_TEAM
HANK_AND_DORY_HARDY	HANK_AND_DORY	WINNIE_THE_POOH	ORANGE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,HARDY	MAX_HP_INCREASE,SKILL_POWER_INCREASE	HARDY
HANK_AND_DORY_DISABLE	HANK_AND_DORY	RAFIKI	TEAL	MAX_HP_INCREASE,EVASION_DECREASE	MAX_HP_INCREASE,EVASION_DECREASE	
POWERLINE_BLIND	POWERLINE	GOOFY	GREEN	SKILL_POWER_INCREASE,ATTACK_SPEED_DECREASE	SKILL_POWER_INCREASE	ATTACK_SPEED_DECREASE
POWERLINE_DEBUFF_CLEAR	POWERLINE	DUCKY_AND_BUNNY	RED	MAX_HP_INCREASE,CLEANSE,ENERGY_TEAM	MAX_HP_INCREASE	CLEANSE,ENERGY_TEAM
DR_FACILIER_SKILL1_BUFF	DR_FACILIER	JAFAR	RED	SKILL_POWER_INCREASE,DAMAGE_INCREASE,SHIELD_SELF	SKILL_POWER_INCREASE,DAMAGE_INCREASE	SHIELD_SELF
DR_FACILIER_SKILL3_BUFF	DR_FACILIER	MALEFICENT	GREEN	REALITY_INCREASE,DAMAGE_INCREASE,ATTACK_SPEED_DECREASE,FANTASTIC_DAMAGE	REALITY_INCREASE,DAMAGE_INCREASE	ATTACK_SPEED_DECREASE,FANTASTIC_DAMAGE
TIGGER_KNOCKBACK	TIGGER	DUCKY_AND_BUNNY	PURPLE	MAX_HP_DECREASE,NORMAL_CRIT_INCREASE,CRIT_DAMAGE_INCREASE,KNOCKBACK,STUN,ENERGY_SELF	MAX_HP_DECREASE,NORMAL_CRIT_INCREASE,CRIT_DAMAGE_INCREASE	KNOCKBACK,STUN,ENERGY_SELF
TIGGER_ENERGY	TIGGER	ROBIN_HOOD	TEAL	HEAL_SELF,INCREASE_DAMAGE_DEALT,ATTACK_SPEED_INCREASE,MOVEMENT_SPEED_INCREASE,ENERGY_SELF	HEAL_SELF,INCREASE_DAMAGE_DEALT,ATTACK_SPEED_INCREASE,MOVEMENT_SPEED_INCREASE,ENERGY_SELF	ENERGY_SELF
KRISTOFF_AND_SVEN_MOST_WANTED	KRISTOFF_AND_SVEN	FLYNN_RIDER	ORANGE	MAX_HP_INCREASE,INCREASE_DAMAGE_DEALT,REDUCE_DAMAGE_DEALT,EVASION_DECREASE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	MAX_HP_INCREASE,INCREASE_DAMAGE_DEALT,REDUCE_DAMAGE_DEALT,EVASION_DECREASE	ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE
KRISTOFF_AND_SVEN_HEAL	KRISTOFF_AND_SVEN	KIDA	ICE_BLUE	MAX_HP_INCREASE,ARMOR_INCREASE,EVASION_INCREASE,TENACITY_INCREASE,HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,INVINCIBLE	MAX_HP_INCREASE,ARMOR_INCREASE,EVASION_INCREASE,TENACITY_INCREASE	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,INVINCIBLE
WINNIE_THE_POOH_HEALING	WINNIE_THE_POOH	GOOFY	ORANGE	MAX_HP_INCREASE,SHIELD_SELF,SHIELD_TEAM,REDUCE_DAMAGE_TAKEN,HEAL_TEAM	MAX_HP_INCREASE,SHIELD_SELF,SHIELD_TEAM,REDUCE_DAMAGE_TAKEN	HEAL_TEAM
WINNIE_THE_POOH_HUNNY	WINNIE_THE_POOH	TIGGER	GOLD	MAX_HP_INCREASE,DECREASE_DAMAGE_DEALT	MAX_HP_INCREASE,DECREASE_DAMAGE_DEALT	
SHAN_YU_STUDY	SHAN_YU	DR_FACILIER	PURPLE	DAMAGE_INCREASE,MAX_HP_INCREASE,DAMAGE_DECREASE,STUDY	DAMAGE_INCREASE,MAX_HP_INCREASE,DAMAGE_DECREASE	STUDY
SHAN_YU_SHIELD	SHAN_YU	RANDALL_BOGGS	TEAL	SKILL_POWER_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,NORMAL_CRIT_DECREASE,FANTASTIC_CRIT_DECREASE,ENERGY_SELF,SILENCE	SKILL_POWER_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,NORMAL_CRIT_DECREASE,FANTASTIC_CRIT_DECREASE	ENERGY_SELF,SILENCE
GOLIATH_KNOCKBACK	GOLIATH	BEAST	ICE_BLUE	EVASION_INCREASE,MAX_HP_INCREASE,ENERGY_SELF	EVASION_INCREASE,MAX_HP_INCREASE	ENERGY_SELF
GOLIATH_ARMOR	GOLIATH	CHIEF_BOGO	GREEN	MAX_HP_INCREASE,REALITY_INCREASE,HEAL_OVER_TIME_SELF,ARMOR_INCREASE	MAX_HP_INCREASE,REALITY_INCREASE,HEAL_OVER_TIME_SELF	ARMOR_INCREASE
EEYORE_DISABLE_STUN	EEYORE	MINNIE_MOUSE	RED	MAX_HP_INCREASE,SHIELD_SELF,STUN	MAX_HP_INCREASE,SHIELD_SELF	STUN
EEYORE_SKILL4_BUFF	EEYORE	WINNIE_THE_POOH	ICE_BLUE	FANTASTIC_DAMAGE,ENERGY_SELF,STUN	FANTASTIC_DAMAGE,ENERGY_SELF	STUN
MUSHU_BLIND	MUSHU	MULAN	PINK	MAX_HP_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,REALITY_INCREASE	REALITY_INCREASE
MUSHU_CRIT	MUSHU	GERALD_MARLIN_NEMO	TEAL	SKILL_POWER_INCREASE,MAX_HP_INCREASE,REALITY_INCREASE,ARMOR_INCREASE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,REALITY_INCREASE,ARMOR_INCREASE	
MULAN_HEAL_ON_CRIT	MULAN	BO_PEEP	BLUE	HEAL_SELF,ARMOR_INCREASE,SHIELD_SELF	HEAL_SELF,ARMOR_INCREASE	SHIELD_SELF
MULAN_KNOCKBACK	MULAN	COLETTE	GREEN	MAX_HP_INCREASE,KNOCKBACK,NORMAL_DAMAGE	MAX_HP_INCREASE	KNOCKBACK,NORMAL_DAMAGE
KIM_POSSIBLE_STUDY	KIM_POSSIBLE	JOY	GOLD	MAX_HP_INCREASE,ENERGY_SELF,ATTACK_SPEED_DECREASE,DAMAGE_INCREASE	MAX_HP_INCREASE,ENERGY_SELF	ATTACK_SPEED_DECREASE,DAMAGE_INCREASE
KIM_POSSIBLE_SCARE	KIM_POSSIBLE	DARKWING_DUCK	PURPLE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,DAMAGE_INCREASE	ATTACK_SPEED_INCREASE
BELLE_SPEED	BELLE	QUORRA	BLUE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,DODGE,SAP	DAMAGE_INCREASE,SKILL_POWER_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE	DODGE,SAP
BELLE_SAP	BELLE	MIGUEL	RED	MAX_HP_INCREASE,ENERGY_SELF,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE	MAX_HP_INCREASE,ENERGY_SELF,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE	ENERGY_SELF
MINNIE_MOUSE_CHARM	MINNIE_MOUSE	MISS_PIGGY	TEAL	DAMAGE_INCREASE,MAX_HP_INCREASE,EVASION_DECREASE,CHARM,SAP	DAMAGE_INCREASE,MAX_HP_INCREASE,EVASION_DECREASE	CHARM,SAP
MINNIE_MOUSE_STUN	MINNIE_MOUSE	MICKEY_MOUSE	PINK	MAX_HP_INCREASE,EVASION_DECREASE	MAX_HP_INCREASE,EVASION_DECREASE	
SYNDROME_STUDY	SYNDROME	MAGICA_DE_SPELL	TEAL	SKILL_POWER_INCREASE,ARMOR_DECREASE,STUN	SKILL_POWER_INCREASE,ARMOR_DECREASE	STUN
SYNDROME_SLOW	SYNDROME	YZMA	GOLD	SKILL_POWER_INCREASE,MAX_HP_INCREASE	SKILL_POWER_INCREASE,MAX_HP_INCREASE	
EVIL_QUEEN_STUN	EVIL_QUEEN	GASTON	TEAL	DAMAGE_INCREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE,STUN	DAMAGE_INCREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE	STUN
