	UNIT_TYPE	DEFAULT_STAT_1	DEFAULT_STAT_2	DEFAULT_STAT_3	DEFAULT_STAT_4	DEFAULT_STAT_5
231	MUFASA	EVASION	TENACITY	ARMOR_NEGATION	CRIT_DAMAGE	REALITY_NEGATION
232	PENNY_PROUD	TENACITY	EVASION	FANTASTIC_CRIT	REALITY_NEGATION	CRIT_DAMAGE
233	FERB	TENACITY	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE
234	LUISA_MADRIGAL	ARMOR_NEGATION	TENACITY	EVASION	NORMAL_CRIT	CRIT_DAMAGE
235	EMBER_LUMEN	ARMOR_NEGATION	EVASION	TENACITY	NORMAL_CRIT	CRIT_DAMAGE
236	ANNE_BOONCHUY	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION
237	CHERNABOG	FANTASTIC_CRIT	REALITY_NEGATION	CRIT_DAMAGE	NORMAL_CRIT	ARMOR_NEGATION
238	HUNTSMAN	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	EVASION	TENACITY
239	WADE_RIPPLE	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY
240	SUGA_MAMA	EVASION	TENACITY	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE
241	ANXIETY	TENACITY	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE
242	REPTILLUS_MAXIMUS	TENACITY	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE
243	THOMAS_O_MALLEY	TENACITY	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION
244	ISABELLA_SHAPIRO	TENACITY	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE
245	LILITH_CLAWTHORNE	TENACITY	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION
246	LADY_TREMAINE	NORMAL_CRIT	CRIT_DAMAGE	TENACITY	EVASION	ARMOR_NEGATION
247	EDNA_MODE	TENACITY	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE
248	GANTU	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION
249	CANDACE_FLYNN	TENACITY	EVASION	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
250	DR_CALICO	TENACITY	EVASION	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
251	PHINEAS	EVASION	TENACITY	CRIT_DAMAGE	NORMAL_CRIT	FANTASTIC_CRIT
252	CARL_THE_ROBOT	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION
253	YEN_SID	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	REALITY_NEGATION
254	DUCHESS	TENACITY	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION
255	REUBEN	EVASION	IMPROVED_HEALING	CRIT_DAMAGE	ARMOR_NEGATION	NORMAL_CRIT
256	ENVY	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	TENACITY	EVASION
257	HECTOR_RIVERA	TENACITY	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE
258	SIMEA	IMPROVED_HEALING	TENACITY	EVASION	ARMOR_NEGATION	REALITY_NEGATION
259	GISELLE	IMPROVED_HEALING	EVASION	TENACITY	REALITY_NEGATION	FANTASTIC_CRIT
260	EMBARRASSMENT	EVASION	TENACITY	CRIT_DAMAGE	NORMAL_CRIT	ARMOR_NEGATION
261	SCAT_CAT	CRIT_DAMAGE	FANTASTIC_CRIT	REALITY_NEGATION	TENACITY	EVASION
262	ABBY_MALLARD	TENACITY	EVASION	IMPROVED_HEALING	FANTASTIC_CRIT	CRIT_DAMAGE
263	HEADLESS_HORSEMAN	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	TENACITY	EVASION
264	ENNUI	TENACITY	EVASION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE
265	AMITY_BLIGHT	IMPROVED_HEALING	EVASION	TENACITY	REALITY_NEGATION	FANTASTIC_CRIT
266	MARIE	TENACITY	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE
267	ERNESTO_DE_LA_CRUZ	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	TENACITY	EVASION
268	GAZELLE	IMPROVED_HEALING	EVASION	TENACITY	REALITY_NEGATION	FANTASTIC_CRIT
269	PIGLET	IMPROVED_HEALING	TENACITY	EVASION	ARMOR_NEGATION	REALITY_NEGATION
270	LIGHTNING_MCQUEEN	ARMOR_NEGATION	CRIT_DAMAGE	NORMAL_CRIT	TENACITY	EVASION
271	BAMBI	IMPROVED_HEALING	EVASION	TENACITY	NORMAL_CRIT	ARMOR_NEGATION
272	DARWIN	TENACITY	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE
273	PINOCCHIO	TENACITY	EVASION	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
274	KING_CANDY	TENACITY	EVASION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE
275	PONGO	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION
276	HANS	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION
277	LOTSO	TENACITY	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE
278	YOKAI	TENACITY	EVASION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE
279	MATER	TENACITY	EVASION	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
280	MOLLY_MCGEE	NORMAL_CRIT	REALITY_NEGATION	TENACITY	EVASION	ARMOR_NEGATION
281	DUMBO	TENACITY	EVASION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE
282	BENJAMIN_FRANKLIN_GATES	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	TENACITY	EVASION
283	CAPTAIN_GRIME	TENACITY	EVASION	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
284	SCUTTLE	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	TENACITY	EVASION
285	MOWGLI	IMPROVED_HEALING	EVASION	TENACITY	ARMOR_NEGATION	NORMAL_CRIT
