	UPGRADE_COST	CONTENT_GL	CONTENT_TL	VALUE
WAR_CAR_SIZE_5:1	200,000	0	1	1
WAR_CAR_SIZE_5:2	350,000	0	1	2
WAR_CAR_SIZE_5:3	550,000	0	1	3
WAR_CAR_SIZE_5:4	750,000	3	1	4
WAR_CAR_SIZE_6:1	200,000	0	1	1
WAR_CAR_SIZE_6:2	350,000	0	1	2
WAR_CAR_SIZE_6:3	550,000	0	1	3
WAR_CAR_SIZE_6:4	750,000	3	1	4
WAR_CAR_SIZE_7:1	250,000	0	1	1
WAR_CAR_SIZE_7:2	400,000	0	1	2
WAR_CAR_SIZE_7:3	600,000	0	1	3
WAR_CAR_SIZE_7:4	800,000	3	1	4
WAR_CAR_SIZE_8:1	250,000	0	1	1
WAR_CAR_SIZE_8:2	400,000	0	1	2
WAR_CAR_SIZE_8:3	600,000	0	1	3
WAR_CAR_SIZE_8:4	800,000	3	1	4
WAR_CAR_SIZE_9:1	250,000	0	1	1
WAR_CAR_SIZE_9:2	400,000	0	1	2
WAR_CAR_SIZE_9:3	600,000	0	1	3
WAR_CAR_SIZE_9:4	800,000	3	1	4
WAR_CAR_BONUS_1:0	-1	0	1	1,700
WAR_CAR_BONUS_1:1	250,000	0	45	2,000
WAR_CAR_BONUS_1:2	300,000	0	50	2,500
WAR_CAR_BONUS_1:3	350,000	0	55	3,000
WAR_CAR_BONUS_1:4	400,000	0	60	3,500
WAR_CAR_BONUS_1:5	450,000	0	65	4,000
WAR_CAR_BONUS_1:6	500,000	0	70	4,500
WAR_CAR_BONUS_1:7	550,000	0	75	5,000
WAR_CAR_BONUS_1:8	600,000	0	80	5,500
WAR_CAR_BONUS_1:9	650,000	3	85	6,000
WAR_CAR_BONUS_1:10	700,000	3	90	6,500
WAR_CAR_BONUS_1:11	750,000	3	95	7,000
WAR_CAR_BONUS_1:12	800,000	3	100	7,500
WAR_CAR_BONUS_1:13	850,000	3	105	8,000
WAR_CAR_BONUS_1:14	900,000	3	110	8,500
WAR_CAR_BONUS_1:15	950,000	3	115	9,000
WAR_CAR_BONUS_1:16	1,000,000	3	120	9,500
WAR_CAR_BONUS_2:0	-1	0	1	85
WAR_CAR_BONUS_2:1	250,000	0	45	100
WAR_CAR_BONUS_2:2	300,000	0	50	120
WAR_CAR_BONUS_2:3	350,000	0	55	140
WAR_CAR_BONUS_2:4	400,000	0	60	160
WAR_CAR_BONUS_2:5	450,000	0	65	180
WAR_CAR_BONUS_2:6	500,000	0	70	200
WAR_CAR_BONUS_2:7	550,000	0	75	220
WAR_CAR_BONUS_2:8	600,000	0	80	240
WAR_CAR_BONUS_2:9	650,000	3	85	260
WAR_CAR_BONUS_2:10	700,000	3	90	280
WAR_CAR_BONUS_2:11	750,000	3	95	300
WAR_CAR_BONUS_2:12	800,000	3	100	320
WAR_CAR_BONUS_2:13	850,000	3	105	340
WAR_CAR_BONUS_2:14	900,000	3	110	360
WAR_CAR_BONUS_2:15	950,000	3	115	380
WAR_CAR_BONUS_2:16	1,000,000	3	120	400
WAR_CAR_BONUS_3:0	-1	0	1	125
WAR_CAR_BONUS_3:1	250,000	0	45	200
WAR_CAR_BONUS_3:2	300,000	0	50	250
WAR_CAR_BONUS_3:3	350,000	0	55	300
WAR_CAR_BONUS_3:4	400,000	0	60	350
WAR_CAR_BONUS_3:5	450,000	0	65	400
WAR_CAR_BONUS_3:6	500,000	0	70	450
WAR_CAR_BONUS_3:7	550,000	0	75	500
WAR_CAR_BONUS_3:8	600,000	0	80	550
WAR_CAR_BONUS_3:9	650,000	3	85	600
WAR_CAR_BONUS_3:10	700,000	3	90	650
WAR_CAR_BONUS_3:11	750,000	3	95	700
WAR_CAR_BONUS_3:12	800,000	3	100	750
WAR_CAR_BONUS_3:13	850,000	3	105	800
WAR_CAR_BONUS_3:14	900,000	3	110	850
WAR_CAR_BONUS_3:15	950,000	3	115	900
WAR_CAR_BONUS_3:16	1,000,000	3	120	950
WAR_CAR_BONUS_4:0	-1	0	1	75
WAR_CAR_BONUS_4:1	250,000	0	45	100
WAR_CAR_BONUS_4:2	300,000	0	50	125
WAR_CAR_BONUS_4:3	350,000	0	55	150
WAR_CAR_BONUS_4:4	400,000	0	60	175
WAR_CAR_BONUS_4:5	450,000	0	65	200
WAR_CAR_BONUS_4:6	500,000	0	70	225
WAR_CAR_BONUS_4:7	550,000	0	75	250
WAR_CAR_BONUS_4:8	600,000	0	80	275
WAR_CAR_BONUS_4:9	650,000	3	85	300
WAR_CAR_BONUS_4:10	700,000	3	90	325
WAR_CAR_BONUS_4:11	750,000	3	95	350
WAR_CAR_BONUS_4:12	800,000	3	100	375
WAR_CAR_BONUS_4:13	850,000	3	105	400
WAR_CAR_BONUS_4:14	900,000	3	110	425
WAR_CAR_BONUS_4:15	950,000	3	115	450
WAR_CAR_BONUS_4:16	1,000,000	3	120	475
WAR_CAR_BONUS_5:0	-1	0	1	40
WAR_CAR_BONUS_5:1	250,000	0	45	100
WAR_CAR_BONUS_5:2	300,000	0	50	120
WAR_CAR_BONUS_5:3	350,000	0	55	140
WAR_CAR_BONUS_5:4	400,000	0	60	160
WAR_CAR_BONUS_5:5	450,000	0	65	180
WAR_CAR_BONUS_5:6	500,000	0	70	200
WAR_CAR_BONUS_5:7	550,000	0	75	220
WAR_CAR_BONUS_5:8	600,000	0	80	240
WAR_CAR_BONUS_5:9	650,000	3	85	260
WAR_CAR_BONUS_5:10	700,000	3	90	280
WAR_CAR_BONUS_5:11	750,000	3	95	300
WAR_CAR_BONUS_5:12	800,000	3	100	320
WAR_CAR_BONUS_5:13	850,000	3	105	340
WAR_CAR_BONUS_5:14	900,000	3	110	360
WAR_CAR_BONUS_5:15	950,000	3	115	380
WAR_CAR_BONUS_5:16	1,000,000	3	120	400
WAR_CAR_BONUS_6:0	-1	0	1	170
WAR_CAR_BONUS_6:1	250,000	0	45	200
WAR_CAR_BONUS_6:2	300,000	0	50	250
WAR_CAR_BONUS_6:3	350,000	0	55	300
WAR_CAR_BONUS_6:4	400,000	0	60	350
WAR_CAR_BONUS_6:5	450,000	0	65	400
WAR_CAR_BONUS_6:6	500,000	0	70	450
WAR_CAR_BONUS_6:7	550,000	0	75	500
WAR_CAR_BONUS_6:8	600,000	0	80	550
WAR_CAR_BONUS_6:9	650,000	3	85	600
WAR_CAR_BONUS_6:10	700,000	3	90	650
WAR_CAR_BONUS_6:11	750,000	3	95	700
WAR_CAR_BONUS_6:12	800,000	3	100	750
WAR_CAR_BONUS_6:13	850,000	3	105	800
WAR_CAR_BONUS_6:14	900,000	3	110	850
WAR_CAR_BONUS_6:15	950,000	3	115	900
WAR_CAR_BONUS_6:16	1,000,000	3	120	950
WAR_CAR_BONUS_7:0	-1	0	1	5
WAR_CAR_BONUS_7:1	350,000	0	1	10
WAR_CAR_BONUS_7:2	450,000	0	1	15
WAR_CAR_BONUS_7:3	700,000	3	1	20
WAR_CAR_BONUS_7:4	1,000,000	3	1	25
WAR_CAR_BONUS_8:0	-1	0	1	1
WAR_CAR_BONUS_8:1	350,000	0	1	2
WAR_CAR_BONUS_8:2	450,000	0	1	3
WAR_CAR_BONUS_8:3	700,000	3	1	4
WAR_CAR_BONUS_8:4	1,000,000	3	1	5
WAR_CAR_BONUS_9:0	-1	0	1	5
WAR_CAR_BONUS_9:1	350,000	0	1	10
WAR_CAR_BONUS_9:2	450,000	0	1	15
WAR_CAR_BONUS_9:3	700,000	3	1	20
WAR_CAR_BONUS_9:4	1,000,000	3	1	25
WAR_CHAT:1	100,000	0	1	1
WAR_CHAT:2	200,000	0	1	2
CONTEST_CITY_RAID:1	100,000	0	1	1
CONTEST_CITY_RAID:2	100,000	0	1	2
CONTEST_CITY_RAID:3	100,000	0	1	3
CONTEST_SURGE_RAID:1	100,000	0	1	1
CONTEST_SURGE_RAID:2	100,000	0	1	2
CONTEST_SURGE_RAID:3	100,000	0	1	3
CONTEST_SURGE_RAID:4	100,000	0	1	4
CONTEST_SURGE_RAID:5	250,000	0	500	5
CONTEST_SURGE_RAID:6	250,000	0	550	6
CONTEST_EXTRA_MERCS:1	100,000	0	1	1
CONTEST_EXTRA_MERCS:2	100,000	0	1	2
CONTEST_SKILL_POINT_STORAGE:1	100,000	0	1	1
CONTEST_SKILL_POINT_STORAGE:2	100,000	0	1	2
CONTEST_SKILL_POINT_STORAGE:3	100,000	0	1	3
CONTEST_SKILL_POINT_STORAGE:4	100,000	0	1	4
CONTEST_SKILL_POINT_STORAGE:5	100,000	0	1	5
CONTEST_SKILL_POINT_STORAGE:5	100,000	0	1	6
CONTEST_SKILL_POINT_STORAGE:6	100,000	0	1	10
CONTEST_SKILL_POINT_STORAGE:7	100,000	0	1	14
CONTEST_SKILL_POINT_STORAGE:8	100,000	0	1	18
CONTEST_SKILL_POINT_STORAGE:9	100,000	0	1	24
CONTEST_SKILL_POINT_STORAGE:10	250,000	0	1	30
CONTEST_SKILL_POINT_STORAGE:11	250,000	0	410	40
CONTEST_SKILL_POINT_STORAGE:12	250,000	0	425	50
CONTEST_SKILL_POINT_STORAGE:13	250,000	0	450	60
CONTEST_SKILL_POINT_STORAGE:14	250,000	0	475	70
CONTEST_SKILL_POINT_STORAGE:15	250,000	0	500	80
CONTEST_STAMINA_STORAGE:1	100,000	0	1	5
CONTEST_STAMINA_STORAGE:2	100,000	0	1	10
CONTEST_STAMINA_STORAGE:3	100,000	0	1	15
CONTEST_STAMINA_STORAGE:4	100,000	0	1	20
CONTEST_STAMINA_STORAGE:5	100,000	0	1	40
CONTEST_STAMINA_STORAGE:6	100,000	0	1	80
CONTEST_STAMINA_STORAGE:7	100,000	0	1	120
CONTEST_STAMINA_STORAGE:8	100,000	0	1	180
CONTEST_STAMINA_STORAGE:9	100,000	0	1	250
CONTEST_STAMINA_STORAGE:10	100,000	0	1	350
CONTEST_STAMINA_STORAGE:11	100,000	0	1	450
CONTEST_STAMINA_STORAGE:12	100,000	0	1	550
CONTEST_STAMINA_STORAGE:13	100,000	0	400	650
CONTEST_STAMINA_STORAGE:14	100,000	0	415	750
CONTEST_STAMINA_STORAGE:15	100,000	0	430	850
CONTEST_STAMINA_STORAGE:16	100,000	0	455	950
CONTEST_STAMINA_STORAGE:17	100,000	0	470	1,050
CONTEST_STAMINA_STORAGE:18	100,000	0	485	1,150
CONTEST_STAMINA_STORAGE:19	100,000	0	500	1,250
CONTEST_STAMINA_STORAGE:20	250,000	0	510	2,000,000
CONTEST_STAMINA_STORAGE:21	250,000	0	525	3,000,000
CONTEST_STAMINA_STORAGE:22	250,000	0	550	4,000,000
CONTEST_STAMINA_STORAGE:23	250,000	0	575	5,000,000
CONTEST_STAMINA_STORAGE:24	250,000	0	600	6,000,000
CONTEST_STAMINA_STORAGE:25	250,000	0	625	7,000,000
CONTEST_INVASION_BREAKERS:1	100,000	0	1	5
CONTEST_INVASION_BREAKERS:2	100,000	0	1	6
CONTEST_INVASION_BREAKERS_2:1	100,000	0	500	1
CONTEST_INVASION_BREAKERS_2:2	100,000	0	510	2
CONTEST_INVASION_BREAKERS_2:3	100,000	0	520	3
CONTEST_INVASION_BREAKERS_2:4	100,000	0	530	4
CONTEST_INVASION_REVIVES:1	100,000	0	1	5
CONTEST_INVASION_REVIVES_2:1	100,000	0	500	1
CONTEST_INVASION_REVIVES_2:2	100,000	0	510	2
CONTEST_INVASION_REVIVES_2:3	100,000	0	520	3
CONTEST_INVASION_REVIVES_2:4	100,000	0	530	4
CONTEST_INVASION_REVIVES_2:5	100,000	0	540	5
CONTEST_EXTRA_WAR_ATTACKS:1	100,000	0	1	1
CONTEST_EXTRA_WAR_ATTACKS:2	100,000	0	1	2
CONTEST_EXTRA_WAR_ATTACKS:3	100,000	0	1	3
HEIST_ATTACK_BONUS:1	500,000	3	9,999	5
HEIST_ATTACK_BONUS:2	550,000	3	9,999	10
HEIST_ATTACK_BONUS:3	600,000	3	9,999	15
HEIST_ATTACK_BONUS:4	650,000	3	9,999	20
HEIST_ATTACK_BONUS:5	700,000	3	9,999	25
HEIST_SKILL_POWER_BONUS:1	400,000	3	9,999	5
HEIST_SKILL_POWER_BONUS:2	450,000	3	9,999	10
HEIST_SKILL_POWER_BONUS:3	500,000	3	9,999	15
HEIST_SKILL_POWER_BONUS:4	550,000	3	9,999	20
HEIST_SKILL_POWER_BONUS:5	600,000	3	9,999	25
HEIST_MAX_HP_BONUS:1	350,000	3	9,999	5
HEIST_MAX_HP_BONUS:2	400,000	3	9,999	10
HEIST_MAX_HP_BONUS:3	450,000	3	9,999	15
HEIST_MAX_HP_BONUS:4	500,000	3	9,999	20
HEIST_MAX_HP_BONUS:5	550,000	3	9,999	25
HEIST_MOVE_SPEED_BONUS:1	300,000	3	9,999	5
HEIST_MOVE_SPEED_BONUS:2	350,000	3	9,999	10
HEIST_MOVE_SPEED_BONUS:3	400,000	3	9,999	15
HEIST_MOVE_SPEED_BONUS:4	450,000	5	9,999	20
HEIST_MOVE_SPEED_BONUS:5	500,000	5	9,999	25
HEIST_SEARCH_SPEED_BONUS:1	250,000	3	9,999	5
HEIST_SEARCH_SPEED_BONUS:2	300,000	3	9,999	10
HEIST_SEARCH_SPEED_BONUS:3	350,000	3	9,999	15
HEIST_SEARCH_SPEED_BONUS:4	400,000	5	9,999	20
HEIST_SEARCH_SPEED_BONUS:5	450,000	5	9,999	25
GL4:1	300,000	4	1	4
GL4_STAMINA_QUEST_BONUS:1	450,000	4	1	20
GL4_STAMINA_QUEST_BONUS:2	550,000	4	1	40
GL4_STAMINA_QUEST_BONUS:3	650,000	4	1	60
GL4_STAMINA_QUEST_BONUS:4	800,000	4	1	80
GL4_STAMINA_QUEST_BONUS:5	1,000,000	4	1	120
GL4_STAMINA_QUEST_BONUS:6	10,000,000	6	500	240
GL4_STAMINA_QUEST_BONUS:7	25,000,000	6	500	480
GL4_STAMINA_QUEST_BONUS:8	75,000,000	6	500	2,000
GL4_STAMINA_QUEST_BONUS:9	125,000,000	6	500	4,000
GL4_STAMINA_QUEST_BONUS:10	250,000,000	6	500	8,000
GL4_STAMINA_QUEST_BONUS:11	300,000,000	6	500	16,000
GL4_STAMINA_QUEST_BONUS:12	350,000,000	6	500	32,000
GL4_STAMINA_QUEST_BONUS:13	400,000,000	6	500	64,000
GL4_STAMINA_QUEST_BONUS:14	500,000,000	6	500	128,000
GL4_STAMINA_QUEST_BONUS:15	750,000,000	6	500	250,000
GL4_STAMINA_QUEST_BONUS:16	1,000,000,000	6	500	300,000
GL4_STAMINA_QUEST_BONUS:17	1,250,000,000	6	525	350,000
GL4_STAMINA_QUEST_BONUS:18	1,500,000,000	6	550	500,000
GL4_STAMINA_QUEST_BONUS:19	3,000,000,000	6	600	1,000,000
GL4_STAMINA_QUEST_BONUS:20	5,000,000,000	6	650	1,500,000
GL4_ENHANCEMENT_DISCOUNT:1	350,000	4	1	2
GL4_ENHANCEMENT_DISCOUNT:2	400,000	4	1	4
GL4_ENHANCEMENT_DISCOUNT:3	450,000	4	1	6
BADGE_LEVEL_DISCOUNT:1	500,000,000	6	500	1
BADGE_LEVEL_DISCOUNT:2	600,000,000	6	500	2
BADGE_LEVEL_DISCOUNT:3	700,000,000	6	500	3
BADGE_LEVEL_DISCOUNT:4	800,000,000	6	500	4
BADGE_LEVEL_DISCOUNT:5	1,000,000,000	6	500	5
GL4_EXTRA_TRIAL_CHANCES:1	400,000	4	1	1
GL4_DOUBLE_DROP_CHAPTERS:1	50,000	4	1	1
GL4_DOUBLE_DROP_CHAPTERS:2	50,000	4	1	2
GL4_DOUBLE_DROP_CHAPTERS:3	50,000	4	1	3
GL4_DOUBLE_DROP_CHAPTERS:4	100,000	4	1	4
GL4_DOUBLE_DROP_CHAPTERS:5	100,000	4	1	5
GL4_DOUBLE_DROP_CHAPTERS:6	100,000	4	1	6
GL4_DOUBLE_DROP_CHAPTERS:7	150,000	4	1	7
GL4_DOUBLE_DROP_CHAPTERS:8	150,000	4	1	8
GL4_DOUBLE_DROP_CHAPTERS:9	150,000	4	1	9
GL4_DOUBLE_DROP_CHAPTERS:10	200,000	4	1	10
GL4_DOUBLE_DROP_CHAPTERS:11	200,000	4	1	11
GL4_DOUBLE_DROP_CHAPTERS:12	200,000	4	1	12
GL4_DOUBLE_DROP_CHAPTERS:13	250,000	4	1	13
GL4_DOUBLE_DROP_CHAPTERS:14	250,000	4	1	14
GL4_DOUBLE_DROP_CHAPTERS:15	250,000	4	1	15
GL4_DOUBLE_DROP_CHAPTERS:16	300,000	4	1	16
GL4_DOUBLE_DROP_CHAPTERS:17	300,000	4	1	17
GL4_DOUBLE_DROP_CHAPTERS:18	300,000	4	1	18
GL4_DOUBLE_DROP_CHAPTERS:19	350,000	4	1	19
GL4_DOUBLE_DROP_CHAPTERS:20	350,000	4	1	20
GL4_DOUBLE_DROP_CHAPTERS:21	350,000	4	1	21
GL4_DOUBLE_DROP_CHAPTERS:22	400,000	4	1	22
GL4_DOUBLE_DROP_CHAPTERS:23	500,000	4	1	30
GL4_DOUBLE_DROP_CHAPTERS:24	600,000	4	1	35
GL4_DOUBLE_DROP_CHAPTERS:25	800,000	4	1	40
GL4_DOUBLE_DROP_CHAPTERS:26	1,100,000	4	1	45
GL4_DOUBLE_DROP_CHAPTERS:27	1,500,000	4	1	50
GL4_DOUBLE_DROP_CHAPTERS:28	2,000,000	4	1	55
GL4_DOUBLE_DROP_CHAPTERS:29	2,500,000	4	1	60
GL4_DOUBLE_DROP_CHAPTERS:30	3,000,000	4	1	65
GL4_DOUBLE_DROP_CHAPTERS:31	5,500,000	4	450	70
GL4_DOUBLE_DROP_CHAPTERS:32	8,000,000	4	470	75
GL4_DOUBLE_DROP_CHAPTERS:33	10,500,000	4	490	80
GL4_DOUBLE_DROP_CHAPTERS:34	100,000,000	6	500	81
GL4_DOUBLE_DROP_CHAPTERS:35	200,000,000	6	500	82
GL4_DOUBLE_DROP_CHAPTERS:36	300,000,000	6	500	83
GL4_DOUBLE_DROP_CHAPTERS:37	400,000,000	6	500	84
GL4_DOUBLE_DROP_CHAPTERS:38	500,000,000	6	505	85
GL4_DOUBLE_DROP_CHAPTERS:39	600,000,000	6	510	86
GL4_DOUBLE_DROP_CHAPTERS:40	700,000,000	6	515	87
GL4_DOUBLE_DROP_CHAPTERS:41	800,000,000	6	520	88
GL4_DOUBLE_DROP_CHAPTERS:42	900,000,000	6	525	89
GL4_DOUBLE_DROP_CHAPTERS:43	1,000,000,000	6	530	90
GL4_DOUBLE_DROP_CHAPTERS:44	1,100,000,000	6	535	91
GL4_DOUBLE_DROP_CHAPTERS:45	1,200,000,000	6	540	92
GL4_DOUBLE_DROP_CHAPTERS:46	1,300,000,000	6	545	93
GL4_DOUBLE_DROP_CHAPTERS:47	1,400,000,000	6	550	94
GL4_DOUBLE_DROP_CHAPTERS:48	1,500,000,000	6	555	95
GL4_DOUBLE_DROP_CHAPTERS:49	1,600,000,000	6	560	96
GL4_DOUBLE_DROP_CHAPTERS:50	1,700,000,000	6	565	97
GL4_DOUBLE_DROP_CHAPTERS:51	1,800,000,000	6	570	98
GL4_DOUBLE_DROP_CHAPTERS:52	1,900,000,000	6	575	99
GL4_DOUBLE_DROP_CHAPTERS:53	2,000,000,000	6	580	100
GL4_DOUBLE_DROP_CHAPTERS:54	2,100,000,000	6	585	101
GL4_DOUBLE_DROP_CHAPTERS:55	2,200,000,000	6	590	102
GL4_DOUBLE_DROP_CHAPTERS:56	2,300,000,000	6	595	103
GL4_DOUBLE_DROP_CHAPTERS:57	2,400,000,000	6	600	104
CHAPTER_STAMINA_DISCOUNT:1	50,000,000	6	500	5
CHAPTER_STAMINA_DISCOUNT:2	75,000,000	6	500	10
CHAPTER_STAMINA_DISCOUNT:3	100,000,000	6	500	15
CHAPTER_STAMINA_DISCOUNT:4	125,000,000	6	500	20
CHAPTER_STAMINA_DISCOUNT:5	150,000,000	6	500	25
CHAPTER_STAMINA_DISCOUNT:6	175,000,000	6	500	30
CHAPTER_STAMINA_DISCOUNT:7	200,000,000	6	500	35
CHAPTER_STAMINA_DISCOUNT:8	225,000,000	6	500	40
CHAPTER_STAMINA_DISCOUNT:9	250,000,000	6	500	45
CHAPTER_STAMINA_DISCOUNT:10	275,000,000	6	500	50
CHAPTER_STAMINA_DISCOUNT:11	500,000,000	6	500	55
CHAPTER_STAMINA_DISCOUNT:12	600,000,000	6	500	60
CHAPTER_STAMINA_DISCOUNT:13	700,000,000	6	500	65
CHAPTER_STAMINA_DISCOUNT:14	800,000,000	6	500	70
CHAPTER_STAMINA_DISCOUNT:15	900,000,000	6	500	75
CHAPTER_STAMINA_DISCOUNT:16	1,000,000,000	6	500	80
CHAPTER_STAMINA_DISCOUNT:17	1,100,000,000	6	505	85
CHAPTER_STAMINA_DISCOUNT:18	1,200,000,000	6	510	86
CHAPTER_STAMINA_DISCOUNT:19	1,300,000,000	6	515	87
CHAPTER_STAMINA_DISCOUNT:20	1,400,000,000	6	520	88
CHAPTER_STAMINA_DISCOUNT:21	1,500,000,000	6	525	89
CHAPTER_STAMINA_DISCOUNT:22	1,600,000,000	6	530	90
CHAPTER_STAMINA_DISCOUNT:23	1,700,000,000	6	535	91
CHAPTER_STAMINA_DISCOUNT:24	1,800,000,000	6	540	92
CHAPTER_STAMINA_DISCOUNT:25	1,900,000,000	6	545	93
CHAPTER_STAMINA_DISCOUNT:26	2,000,000,000	6	550	94
CHAPTER_STAMINA_DISCOUNT:27	2,100,000,000	6	555	95
CHAPTER_STAMINA_DISCOUNT:28	2,200,000,000	6	560	96
CHAPTER_STAMINA_DISCOUNT:29	2,300,000,000	6	565	97
CHAPTER_STAMINA_DISCOUNT:30	2,400,000,000	6	570	98
CHAPTER_STAMINA_DISCOUNT:31	2,500,000,000	6	575	99
CHAPTER_STAMINA_DISCOUNT:32	2,600,000,000	6	580	100
CHAPTER_STAMINA_DISCOUNT:33	2,700,000,000	6	585	101
CHAPTER_STAMINA_DISCOUNT:34	2,800,000,000	6	590	102
CHAPTER_STAMINA_DISCOUNT:35	2,900,000,000	6	595	103
CHAPTER_STAMINA_DISCOUNT:36	3,000,000,000	6	600	104
INVASION_EXTRA_GUILD_BOSS:1	1,500,000	5	1	1
INVASION_EXTRA_HERO_REVIVES:1	400,000	4	1	2
INVASION_EXTRA_HERO_REVIVES:2	450,000	4	1	4
INVASION_EXTRA_HERO_REVIVES:3	500,000	4	1	6
INVASION_EXTRA_BOOST_ITEMS:1	500,000	4	1	2
INVASION_EXTRA_BOOST_ITEMS:2	550,000	4	1	4
INVASION_EXTRA_BOOST_ITEMS:3	600,000	4	1	6
INVASION_EXTRA_POWER_UPS:1	500,000	4	1	1
INVASION_EXTRA_POWER_UPS:2	550,000	4	1	2
INVASION_EXTRA_POWER_UPS:3	600,000	4	1	3
INVASION_BREAKERWARD_QUICK_FIGHT:0	-1	4	1	10
INVASION_BREAKERWARD_QUICK_FIGHT:1	600,000	4	1	20
INVASION_BREAKERWARD_QUICK_FIGHT:2	650,000	4	1	30
INVASION_BREAKERWARD_QUICK_FIGHT:3	700,000	4	1	40
INVASION_BREAKERWARD_QUICK_FIGHT:4	750,000	4	1	50
INVASION_BREAKERWARD_QUICK_FIGHT:5	800,000	4	1	60
INVASION_BREAKERWARD_QUICK_FIGHT:6	850,000	4	1	80
INVASION_BREAKERWARD_QUICK_FIGHT:7	900,000	4	1	100
INVASION_BREAKERWARD_QUICK_FIGHT:8	950,000	4	1	120
INVASION_BREAKERWARD_QUICK_FIGHT:9	1,000,000	4	1	140
INVASION_BREAKERWARD_QUICK_FIGHT:10	1,050,000	4	1	160
INVASION_BOSS_QUICK_FIGHT:1	700,000	4	1	50
INVASION_BOSS_QUICK_FIGHT:2	750,000	4	1	75
INVASION_BOSS_QUICK_FIGHT:3	800,000	4	1	100
INVASION_BOSS_QUICK_FIGHT:4	950,000	4	1	150
INVASION_BOSS_QUICK_FIGHT:5	1,250,000	4	1	200
EXTRA_MISSIONS_SLOT:1	1,000,000,000	6	500	1
EXTRA_MISSIONS_SLOT:2	2,000,000,000	6	500	2
EXTRA_MISSIONS_SLOT:3	3,000,000,000	6	525	3
EXTRA_MISSIONS_SLOT:4	4,000,000,000	6	550	4
EXTRA_MISSIONS_SLOT:5	5,000,000,000	6	575	5
GL4_EXTRA_SKILL_HELP:0	-1	4	1	1
GL4_EXTRA_SKILL_HELP:1	450,000	4	1	2
GL4_EXTRA_SKILL_HELP:2	500,000	4	1	3
GL4_EXTRA_SKILL_HELP:3	550,000	4	1	4
GL4_EXTRA_SKILL_HELP:4	600,000	4	1	5
GL4_EXTRA_SKILL_HELP:5	800,000	4	1	6
GL4_EXTRA_SKILL_HELP:6	1,000,000	4	1	7
GL4_EXTRA_SKILL_HELP:7	1,200,000	4	1	8
GL4_EXTRA_SKILL_HELP:8	1,400,000	4	1	9
GL4_EXTRA_SKILL_HELP:9	1,600,000	4	1	10
GL4_EXTRA_XP_HELP:0	-1	4	1	1
GL4_EXTRA_XP_HELP:1	450,000	4	1	2
GL4_EXTRA_XP_HELP:2	500,000	4	1	3
GL4_EXTRA_XP_HELP:3	550,000	4	1	4
GL4_EXTRA_XP_HELP:4	600,000	4	1	5
GL4_EXTRA_XP_HELP:5	500,000,000	6	500	6
GL4_EXTRA_XP_HELP:6	1,000,000,000	6	500	7
GL4_EXTRA_XP_HELP:7	1,500,000,000	6	525	8
GL4_EXTRA_XP_HELP:8	3,000,000,000	6	550	9
GL4_EXTRA_XP_HELP:9	5,000,000,000	6	575	10
GL4_EXTRA_STAMINA_HELP:0	-1	4	1	1
GL4_EXTRA_STAMINA_HELP:1	450,000	4	1	2
GL4_EXTRA_STAMINA_HELP:2	500,000	4	1	3
GL4_EXTRA_STAMINA_HELP:3	850,000	4	1	4
GL4_EXTRA_STAMINA_HELP:4	1,200,000	4	1	5
GL4_EXTRA_STAMINA_HELP:5	1,550,000	4	1	6
GL4_EXTRA_STAMINA_HELP:6	1,000,000,000	6	500	7
GL4_EXTRA_STAMINA_HELP:7	1,500,000,000	6	525	8
GL4_EXTRA_STAMINA_HELP:8	3,000,000,000	6	550	9
GL4_EXTRA_STAMINA_HELP:9	5,000,000,000	6	575	10
STAMINA_AID_BOOST:1	100,000,000	6	500	2
STAMINA_AID_BOOST:2	150,000,000	6	500	3
STAMINA_AID_BOOST:3	200,000,000	6	500	3
STAMINA_AID_BOOST:4	250,000,000	6	500	4
STAMINA_AID_BOOST:5	300,000,000	6	500	4
STAMINA_AID_BOOST:6	350,000,000	6	500	5
STAMINA_AID_BOOST:7	400,000,000	6	500	5
STAMINA_AID_BOOST:8	450,000,000	6	500	8
STAMINA_AID_BOOST:9	500,000,000	6	500	10
STAMINA_AID_BOOST:10	550,000,000	6	500	13
STAMINA_AID_BOOST:11	600,000,000	6	500	15
STAMINA_AID_BOOST:12	650,000,000	6	500	18
STAMINA_AID_BOOST:13	700,000,000	6	500	20
STAMINA_AID_BOOST:14	750,000,000	6	500	25
STAMINA_AID_BOOST:15	800,000,000	6	500	30
STAMINA_AID_BOOST:16	850,000,000	6	500	40
STAMINA_AID_BOOST:17	900,000,000	6	515	50
STAMINA_AID_BOOST:18	950,000,000	6	530	60
STAMINA_AID_BOOST:19	1,000,000,000	6	545	70
STAMINA_AID_BOOST:20	1,050,000,000	6	560	80
STAMINA_AID_BOOST:21	1,100,000,000	6	575	90
STAMINA_AID_BOOST:22	1,150,000,000	6	600	100
GL5:1	1,000,000	5	1	1
GL5_GUILD_CRATE_GOLD:1	500,000	5	1	1
GL5_GUILD_CRATE_GOLD:2	750,000	5	1	50
GL5_GUILD_CRATE_XP:1	500,000	5	1	0
GL5_GUILD_CRATE_XP:2	600,000	5	1	0
GL5_GUILD_CRATE_XP:3	750,000	5	1	50
GL5_GUILD_CRATE_XP:4	900,000	5	1	75
