	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	HP_MAX	BASIC_DAMAGE	SKILL_POWER	HP_REGEN	ENERGY_REGEN	ARMOR	REALITY	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	CONSERVATION	IMPROVED_HEALING	EVASION	CRIT_DAMAGE	POWER	NORMAL_CRIT_NEGATION	FANTASTIC_CRIT_NEGATION
LOVE_POTION	GEAR	ORANGE	100	R9	44,781	17,912,463	168	19,320	275				125										0	0			37.5		
MAGICA_SHADOW	GEAR	PURPLE	95	R9	47,547	19,018,980	178	20,470	300					650		750							0	0			156.5		
THUMBSUCKERS_CROWN	GEAR	PURPLE	96	R9	59,354	23,741,917	223	25,645	375					650			750						0	0			156.5		
COLOR_WHEEL	GEAR	PURPLE	97	R9	39,884	15,953,890	150	17,250	250						75								0	0			37.5		
PENTHOUSE_CASTLE	GEAR	PURPLE	98	R9	50,178	20,071,520	188	21,620	325						75								0	0			37.5		
TIN_TOY	GEAR	PURPLE	99	R9	46,911	18,764,519	176	20,240	300					650	75								0	0			44		
SKELETON_DANCE	GEAR	PURPLE	100	R9	61,494	24,597,829	231	26,565	400							250	250						0	0			100		
BADGE_OF_SWEETNESS	GEAR	PURPLE	100	R10	12,212	4,884,867	46	5,290	75							775							0	0			155		
BADGE_OF_ACCOMPLISHMENT	GEAR	PURPLE	100	R10	12,212	4,884,867	46	5,290	75								775						0	0			155		
HAPPY_THOUGHTS	GEAR	PURPLE	100	R10	24,424	9,769,733	92	10,580	150							906	906						0	0			362.4		
FANTASOUND	GEAR	ORANGE	101	R10	15,267	6,107,047	57	6,555	75							1200							0	0			240		
ILL_WISHING_WELL	GEAR	ORANGE	103	R10	15,267	6,107,047	57	6,555	75								1200						0	0			240		
MOUSERCIZE	GEAR	ORANGE	105	R10	15,267	6,107,047	57	6,555	75			150											0	0			90		
SHEPHERDS_JOURNAL	GEAR	ORANGE	101	R10	30,535	12,214,094	114	13,110	175							1000	1000						0	0			400		
ON_A_ROLL	GEAR	ORANGE	102	R10	30,535	12,214,094	114	13,110	175			150											0	0			90		
WEIRD_WEBSITE	GEAR	ORANGE	103	R10	30,535	12,214,094	114	13,110	175				150										0	0			45		
HEROES_NIGHT_OUT	GEAR	ORANGE	105	R10	30,535	12,214,094	114	13,110	175		1000												0	0			40		
KAWAII_EXE	GEAR	PURPLE	104	R10	51,961	20,784,780	195	22,425	325					500		200	200						0	0			85		
POOH_STICKS	GEAR	PURPLE	101	R10	53,465	21,386,232	200	23,000	350								500						0	0			100		
STAR_CASE	GEAR	PURPLE	102	R10	51,335	20,534,175	192	22,080	325		1200	250											0	0			198		
WILD_RIDE	GEAR	PURPLE	103	R10	57,562	23,024,802	216	24,840	375		1200		250										0	0			123		
TRUE_LAVA	GEAR	PURPLE	100	R10	56,974	22,789,619	214	24,610	350														0	0			0		
POWER_UP	GEAR	PURPLE	105	R10	53,436	21,374,665	200	23,000	350			120	150	750									0	0			124.5		
BECAUSE_WE_CARE	GEAR	ORANGE	105	R11	12,212	4,884,867	46	5,290	75		1000												0	0			40		
BREAKFAST_PORRIDGE	GEAR	ORANGE	105	R11	12,212	4,884,867	46	5,290	75							1000							0	0			200		
GOLDEN_SUN	GEAR	ORANGE	105	R11	24,424	9,769,733	92	10,580	150		1000					1000							0	0			240		
MARVELOUS_TOY	GEAR	PURPLE	105	R11	84,492	33,796,954	317	36,455	550			500	500										0	0			450		
MORNING_FUEL	GEAR	PURPLE	106	R11	90,188	36,075,531	338	38,870	575		777						606						0	0			152.28		
PAPEL_PICADO	GEAR	PURPLE	107	R11	73,668	29,467,274	276	31,740	475							678							0	0			135.6		
PERKIS_POWER	GEAR	PURPLE	108	R11	76,511	30,604,634	287	33,005	500								789						0	0			157.8		
SUIT_UP	GEAR	PURPLE	109	R11	88,386	35,354,560	331	38,065	575														0	0			0		
TIMELESS_CLASSIC	GEAR	PURPLE	110	R11	103,846	41,538,716	389	44,735	675			499											0	0			299.4		
TINY_TERRARIUM	GEAR	ORANGE	106	R11	38,438	15,375,571	144	16,560	250		796	177	222										0	0			204.64		
SAN_FRANSOKYO_SEWER	GEAR	ORANGE	106	R11	39,084	15,633,887	147	16,905	250					650		445	653						0	0			226.1		
NEST_EGG	GEAR	ORANGE	107	R11	48,029	19,211,753	180	20,700	300		1000		355				703						0	0			287.1		
RETURN_TO_THE_FOLD	GEAR	ORANGE	108	R11	51,084	20,433,933	192	22,080	325		799	314					715						0	0			363.36		
SIDS_TOY	GEAR	ORANGE	110	R11	53,667	21,467,196	201	23,115	350		1200		440	350		502							0	0			283.9		
SUPER_FAN	GEAR	ORANGE	109	R11	48,858	19,543,322	183	21,045	300		1200	275		500		654							0	0			348.8		
AUTO	GEAR	PURPLE	105	R11	9,156	3,662,686	34	3,910	50		389	150											0	0			105.56		
BLUE_UMBRELLA	GEAR	PURPLE	105	R11	9,156	3,662,686	34	3,910	50		389		155										0	0			62.06		
MAGIC_MIRROR	GEAR	PURPLE	105	R11	9,156	3,662,686	34	3,910	50								652						0	0			130.4		
DRIVING_WITH_STYLE	GEAR	PURPLE	105	R11	9,156	3,662,686	34	3,910	50					333		444							0	0			92.13		
UNLEADOSAURUS	GEAR	ORANGE	110	R12	12,212	4,884,867	46	5,290	75			250											0	0			150		
NOPE	GEAR	ORANGE	110	R12	12,212	4,884,867	46	5,290	75								777						0	0			155.4		
LEAGUE_CHEW_TOY	GEAR	ORANGE	110	R12	24,424	9,769,733	92	10,580	150			365					1001						0	0			419.2		
IRRESISTIBLY_SHINY	GEAR	PURPLE	110	R12	45,802	18,321,142	172	19,780	300				800			656							0	0			371.2		
SPRINGTIME_FLOWERS	GEAR	PURPLE	111	R12	45,802	18,321,142	172	19,780	300		3000												0	0			120		
IN_THE_DOGHOUSE	GEAR	PURPLE	112	R12	45,802	18,321,142	172	19,780	300								1077						0	0			215.4		
SPINACH_PUFFS	GEAR	PURPLE	113	R12	45,802	18,321,142	172	19,780	300		1530	269		555									0	0			228.15		
CHEESE_WHEEL	GEAR	PURPLE	114	R12	45,802	18,321,142	172	19,780	300		888			350									0	0			39.02		
COMMANDERS_CREST	GEAR	PURPLE	115	R12	45,802	18,321,142	172	19,780	300				888										0	0			266.4		
ANGRY_EYES	GEAR	PURPLE	113	R12	45,802	18,321,142	172	19,780	300		1254	105	500										0	0			263.16		
GOLDEN_HARP	GEAR	ORANGE	111	R12	79,624	31,849,948	299	34,385	500		3456												0	0			138.24		
LOCKED_DOOR	GEAR	ORANGE	112	R12	58,728	23,491,312	220	25,300	375			369											0	0			221.4		
RED_UMBRELLA	GEAR	ORANGE	113	R12	55,952	22,380,940	210	24,150	350				805										0	0			241.5		
TEDDY_BEAR	GEAR	ORANGE	114	R12	78,603	31,441,269	295	33,925	500		1305												0	0			52.2		
FOUR_POSTER_BED	GEAR	ORANGE	115	R12	93,388	37,355,543	350	40,250	600							1300							0	0			260		
WIND_UP_MOUSE	GEAR	ORANGE	112	R12	85,118	34,047,559	319	36,685	550				450				1700						0	0			475		
GEORGETTES_BOWL	GEAR	PURPLE	110	R12	9,156	3,662,686	34	3,910	50		500	250											0	0			170		
SAFARI_HAT	GEAR	PURPLE	110	R12	9,156	3,662,686	34	3,910	50			250	250										0	0			225		
DINOSAUR_EGG	GEAR	PURPLE	110	R12	9,156	3,662,686	34	3,910	50							750							0	0			150		
MAGICAL_BREAKFAST	GEAR	PURPLE	110	R12	9,156	3,662,686	34	3,910	50								750						0	0			150		
PIT_STOP	GEAR	ORANGE	115	R13	12,212	4,884,867	46	5,290	75				444										0	0			133.2		
VICTORIOUS_URN	GEAR	ORANGE	115	R13	12,212	4,884,867	46	5,290	75								729						0	0			145.8		
SKY_PIRATES	GEAR	ORANGE	115	R13	24,424	9,769,733	92	10,580	150				699				1297						0	0			469.1		
SWEETER_TOOTH	GEAR	PURPLE	115	R13	45,802	18,321,142	172	19,780	300		1111	202				316							0	0			228.84		
BADGE_OF_TRAVELING	GEAR	PURPLE	116	R13	45,802	18,321,142	172	19,780	300							450	650						0	0			220		
BIRDS_OF_A_FEATHER	GEAR	PURPLE	117	R13	45,802	18,321,142	172	19,780	300		963		399				899						0	0			338.02		
GARDEN_SONG	GEAR	PURPLE	118	R13	45,802	18,321,142	172	19,780	300		1111					999							0	0			244.24		
BREAD_AND_BUTTERFLIES	GEAR	PURPLE	119	R13	45,802	18,321,142	172	19,780	300					333		322							0	0			67.73		
TICK_TOCK	GEAR	PURPLE	120	R13	45,802	18,321,142	172	19,780	300		800	245											0	0			179		
CAKE_OF_GOOD_INTENTIONS	GEAR	PURPLE	118	R13	45,802	18,321,142	172	19,780	300			199											0	0			119.4		
GOOSE_CROSSING	GEAR	ORANGE	116	R13	55,055	22,022,382	206	23,690	350		1001												0	0			40.04		
RED_BALLOON	GEAR	ORANGE	117	R13	65,350	26,140,013	245	28,175	425				576			300							0	0			232.8		
TRIPLEDENT_GUN	GEAR	ORANGE	118	R13	58,776	23,510,590	220	25,300	375			303	608										0	0			364.2		
BABY_BRIBE	GEAR	ORANGE	119	R13	61,947	24,779,036	232	26,680	400		750	225	450										0	0			300		
TEMPTING_SWITCH	GEAR	ORANGE	120	R13	62,593	25,037,351	235	27,025	400			120				325							0	0			137		
HAPPY_PANCAKE	GEAR	ORANGE	117	R13	49,108	19,643,564	184	21,160	300		250	100	222	648			455						0	0			234.08		
HAPPY_MILKSHAKE	GEAR	PURPLE	115	R13	9,156	3,662,686	34	3,910	50							400							0	0			80		
UNICORN_DREAMS	GEAR	PURPLE	115	R13	9,156	3,662,686	34	3,910	50		500		300										0	0			110		
BOB	GEAR	PURPLE	115	R13	9,156	3,662,686	34	3,910	50			100					350						0	0			130		
LUCKY_CRICKET	GEAR	PURPLE	115	R13	9,156	3,662,686	34	3,910	50		600												0	0			24		
CONFUZZLE_BALLOON	GEAR	ORANGE	120	R14	12,212	4,884,867	46	5,290	75							800							0	0			160		
ROYAL_DIARY	GEAR	ORANGE	120	R14	12,212	4,884,867	46	5,290	75				400										0	0			120		
ROCKET_POP	GEAR	ORANGE	120	R14	24,424	9,769,733	92	10,580	150				650			1200							0	0			435		
MR_CARROT	GEAR	PURPLE	120	R14	55,268	22,107,202	207	23,805	350		1750	300	600										0	0			430		
DRAGON_SWING	GEAR	PURPLE	121	R14	56,337	22,535,158	211	24,265	350		2575												0	0			103		
DARING_DISGUISE	GEAR	PURPLE	122	R14	36,829	14,731,709	138	15,870	225			280					890						0	0			346		
FRIENDLY_SURVIVOR	GEAR	PURPLE	123	R14	37,484	14,993,880	141	16,215	225		1150						750						0	0			196		
HYPNOTIC_MELODY	GEAR	PURPLE	124	R14	41,918	16,767,392	157	18,055	250		2065					1550							0	0			392.6		
ANIMAL_AURORA	GEAR	PURPLE	125	R14	47,557	19,022,835	178	20,470	300			190	460										0	0			252		
BADGE_OF_SORROW	GEAR	PURPLE	123	R14	44,973	17,989,572	169	19,435	275			240	420										0	0			270		
LOST_PETS	GEAR	ORANGE	121	R14	67,644	27,057,612	254	29,210	425		1700												0	0			68		
ANDYS_GAME	GEAR	ORANGE	122	R14	76,665	30,666,322	287	33,005	500			265				1600							0	0			479		
THE_GREY_STUFF	GEAR	ORANGE	123	R14	67,586	27,034,479	253	29,095	425			275					850						0	0			335		
HOUSE_OF_CARDS	GEAR	ORANGE	124	R14	52,087	20,834,901	195	22,425	325		2350		650										0	0			289		
EXPLORE	GEAR	ORANGE	125	R14	71,422	28,568,952	268	30,820	450		2105					1400							0	0			364.2		
ACTION_FIGURE	GEAR	ORANGE	122	R14	76,974	30,789,696	289	33,235	500		2600												0	0			104		
ENTHUSIASTIC_DISHWARE	GEAR	PURPLE	120	R14	9,156	3,662,686	34	3,910	50		1200												0	0			48		
BULLIES_ARE_GROSS	GEAR	PURPLE	120	R14	9,156	3,662,686	34	3,910	50			200											0	0			120		
SEADUCK	GEAR	PURPLE	120	R14	9,156	3,662,686	34	3,910	50				500										0	0			150		
BAYOU_BOOGIE	GEAR	PURPLE	120	R14	9,156	3,662,686	34	3,910	50							600	600						0	0			240		
DIMENSIONAL_SCISSORS	GEAR	ORANGE	125	R15	14,245	5,698,369	53	6,095	75		1800												0	0			72		
UNBEWEAVEABLE_RETURNS	GEAR	ORANGE	125	R15	14,245	5,698,369	53	6,095	75				550										0	0			165		
BADGE_OF_DELIGHT	GEAR	ORANGE	125	R15	28,501	11,400,593	107	12,305	175		4500		700										0	0			390		
MICKEY_PRETZEL	GEAR	PURPLE	125	R15	73,918	29,567,516	277	31,855	475		2222		500										0	0			238.88		
PRACTICE_SLED	GEAR	PURPLE	126	R15	64,212	25,685,068	241	27,715	400							1300							0	0			260		
HOLD_THE_LINE	GEAR	PURPLE	127	R15	63,451	25,380,487	238	27,370	400							1600							0	0			320		
TSUMDERE	GEAR	PURPLE	128	R15	63,104	25,241,691	237	27,255	400			350	260										0	0			288		
SUPER_TEAM_ASSEMBLE	GEAR	PURPLE	129	R15	68,501	27,400,748	257	29,555	425			350					1700						0	0			550		
REFRESHING_FRUIT	GEAR	PURPLE	130	R15	65,234	26,093,747	245	28,175	425				650	1500		2500							0	0			710		
SUN_CROWN	GEAR	PURPLE	127	R15	79,808	31,923,201	299	34,385	500		11222												0	0			448.88		
CHOCOLATE_BAR	GEAR	ORANGE	126	R15	64,974	25,989,650	244	28,060	425		6888	570	966										0	0			907.32		
BROKEN_NECKLACE	GEAR	ORANGE	127	R15	74,256	29,702,457	278	31,970	475		8555	749											0	0			791.6		
POM_POM_SHOES	GEAR	ORANGE	127	R15	65,610	26,244,110	246	28,290	425				326			999	855						0	0			468.6		
BADGE_OF_DISGUISE	GEAR	ORANGE	129	R15	76,704	30,681,743	288	33,120	500			422											0	0			253.2		
HERCULADE	GEAR	ORANGE	128	R15	72,713	29,085,583	273	31,395	475		2288	366	566										0	0			480.92		
BEIGNETS	GEAR	ORANGE	128	R15	74,622	29,848,964	280	32,200	475		789			1221			444						0	0			132.57		
TIGHT_SQUEEZE	GEAR	PURPLE	125	R15	10,689	4,275,704	40	4,600	50		999												0	0			39.96		
ROMANTIC_BOAT_RIDE	GEAR	PURPLE	125	R15	10,689	4,275,704	40	4,600	50			265											0	0			159		
LOST_AND_FOUND	GEAR	PURPLE	125	R15	10,689	4,275,704	40	4,600	50							1011							0	0			202.2		
NEW_CAR_SMELL	GEAR	PURPLE	125	R15	10,689	4,275,704	40	4,600	50				333				564						0	0			212.7		
BADGE_OF_INTIMIDATION	GEAR	ORANGE	130	R16	14,245	5,698,369	53	6,095	75		2000												0	0			80		
MAN_IN_THE_MOON	GEAR	ORANGE	130	R16	14,245	5,698,369	53	6,095	75							1200							0	0			240		
SPINNING_WHEEL	GEAR	ORANGE	130	R16	28,501	11,400,593	107	12,305	175		2800					1500							0	0			412		
POLKA_DOTS	GEAR	ORANGE	130	R16	58,207	23,283,117	218	25,070	375			399											0	0			239.4		
ESCAPAY	GEAR	ORANGE	131	R16	58,853	23,541,433	221	25,415	375		3500												0	0			140		
GUMMI_MEDALION	GEAR	ORANGE	132	R16	63,297	25,318,800	237	27,255	400		4000												0	0			160		
BLACK_FLAME_CANDLE	GEAR	ORANGE	133	R16	66,352	26,540,980	249	28,635	425		2333						462						0	0			185.72		
INFINITY_SIDED_DIE	GEAR	ORANGE	134	R16	68,935	27,574,243	258	29,670	450		3653		599										0	0			325.82		
LOCKED_AWAY_MEMORIES	GEAR	ORANGE	135	R16	64,125	25,650,369	240	27,600	400		8999	750											0	0			809.96		
SELINES_ORB	GEAR	ORANGE	132	R16	63,297	25,318,800	237	27,255	400			612	866			1950							0	0			1017		
ANOTHER_BADGE_OF_FRIENDSHIP	GEAR	RED	131	R16	106,670	42,668,366	400	46,000	700		9001		926										0	0			637.84		
PRESTO	GEAR	RED	132	R16	116,203	46,481,415	436	50,140	750		4555	535											0	0			503.2		
CHRISTMAS_TREE	GEAR	RED	132	R16	120,155	48,062,153	450	51,750	775		2711	225		900									0	0			252.44		
CUDDLE_PARTY	GEAR	RED	134	R16	117,764	47,105,999	442	50,830	750				750	800									0	0			233		
GRAND_FINALE	GEAR	RED	133	R16	103,123	41,249,557	387	44,505	675		4450	370	610										0	0			583		
ABSTRACT_THOUGHT	GEAR	RED	133	R16	105,254	42,101,613	395	45,425	675							1400	1400						0	0			560		
NO_LLAMAS	GEAR	PURPLE	130	R16	14,245	5,698,369	53	6,095	75								850						0	0			170		
TOUR_BUS	GEAR	PURPLE	130	R16	14,245	5,698,369	53	6,095	75		2600												0	0			104		
IM_LATE	GEAR	PURPLE	130	R16	14,245	5,698,369	53	6,095	75		2700												0	0			108		
CURIOUS_MAZE	GEAR	PURPLE	130	R16	14,245	5,698,369	53	6,095	75			375											0	0			225		
BATH_TIME	GEAR	ORANGE	135	R17	14,245	5,698,369	53	6,095	75			421											0	0			252.6		
DOGGONE_DEADLINES	GEAR	ORANGE	135	R17	14,245	5,698,369	53	6,095	75				623										0	0			186.9		
SMALL_FRY	GEAR	ORANGE	135	R17	28,501	11,400,593	107	12,305	175			650	840										0	0			642		
WAMPY	GEAR	ORANGE	135	R17	77,465	30,986,325	290	33,350	500		9909	909											0	0			941.76		
MODEL_CITY	GEAR	ORANGE	136	R17	67,027	26,810,863	251	28,865	425		8650		1111										0	0			679.3		
MORE_TAMALES	GEAR	ORANGE	137	R17	65,639	26,255,676	246	28,290	425				1300										0	0			390		
CLOUD_KICKER	GEAR	ORANGE	138	R17	76,964	30,785,841	289	33,235	500			419		1999									0	0			271.39		
GROTTO_GIFT	GEAR	ORANGE	139	R17	84,357	33,742,978	316	36,340	550				888				1888						0	0			644		
SAIL_THE_STARS	GEAR	ORANGE	140	R17	80,222	32,088,986	301	34,615	525		6052	652											0	0			633.28		
PEAS_IN_A_POD	GEAR	ORANGE	137	R17	74,304	29,721,734	279	32,085	475		4120	421		1420									0	0			431.6		
FLUTTERBY	GEAR	RED	136	R17	142,430	56,972,119	534	61,410	925		9624												0	0			384.96		
PRINCELY_FORTUNE	GEAR	RED	137	R17	136,733	54,693,543	513	58,995	875				999			1450							0	0			589.7		
LOWEST_PRICES_IN_TOWN	GEAR	RED	137	R17	140,223	56,089,219	526	60,490	900							2100							0	0			420		
MEGA_DORIS	GEAR	RED	139	R17	134,613	53,845,342	505	58,075	875								2665						0	0			533		
CAMPING_SITCH	GEAR	RED	138	R17	135,654	54,261,731	509	58,535	875		4777	277	577										0	0			530.38		
FEARAMID	GEAR	RED	138	R17	143,423	57,369,231	538	61,870	925		3456	123	456	7890									0	0			427.74		
PLUCKED_PELICAN	GEAR	ORANGE	135	R17	14,245	5,698,369	53	6,095	75							1005	1555						0	0			512		
PISTON_CUP	GEAR	ORANGE	135	R17	14,245	5,698,369	53	6,095	75		4500	350											0	0			390		
THE_PACIFIER	GEAR	ORANGE	135	R17	14,245	5,698,369	53	6,095	75		5000												0	0			200		
GREAT_STAR	GEAR	ORANGE	135	R17	14,245	5,698,369	53	6,095	75		5000												0	0			200		
MISSION_FORCE_ONE	GEAR	ORANGE	140	R18	14,245	5,698,369	53	6,095	75		9623												0	0			384.92		
WEATHER_THE_STORM	GEAR	ORANGE	140	R18	14,245	5,698,369	53	6,095	75														0	0			0		
SHEER_PERFECTION	GEAR	ORANGE	140	R18	28,501	11,400,593	107	12,305	175		10364												0	0			414.56		
DISNEY_ON_ICE	GEAR	ORANGE	140	R18	74,304	29,721,734	279	32,085	475		14289	799	1352			2200							0	0			1896.56		
HISSY_FIT	GEAR	ORANGE	141	R18	74,304	29,721,734	279	32,085	475			809	1645				2300						0	0			1438.9		
FORGOTTEN_SPELLBOOK	GEAR	ORANGE	142	R18	74,304	29,721,734	279	32,085	475								3200						0	0			640		
CRYSTAL_PURE	GEAR	ORANGE	143	R18	74,304	29,721,734	279	32,085	475							2900							0	0			580		
PHOENIX_GATE	GEAR	ORANGE	144	R18	83,547	33,419,119	313	35,995	525		9000	450		3600									0	0			666		
SHEARED	GEAR	ORANGE	145	R18	91,094	36,437,944	342	39,330	575		5665												0	0			226.6		
FLY_AWAY_HOME	GEAR	ORANGE	142	R18	77,610	31,044,157	291	33,465	500				455	4200			2222						0	0			622.9		
CLASSIC_CAR	GEAR	RED	141	R18	128,261	51,304,594	481	55,315	825		13555	699	1199			2133	1891						0	0			2126.1		
JUNIOR_WOODCHUCK	GEAR	RED	142	R18	141,138	56,455,488	529	60,835	925		18888					3600							0	0			1475.52		
FACETED	GEAR	RED	142	R18	121,938	48,775,413	457	52,555	775		13542	303					2500						0	0			1223.48		
HUNDRED_ACRE_MAP	GEAR	RED	144	R18	141,138	56,455,488	529	60,835	925		9000			3333		1600							0	0			713.33		
MONSTER_MAIL	GEAR	RED	143	R18	132,155	52,862,200	495	56,925	850		7000		720										0	0			496		
FOREST_SPIRIT	GEAR	RED	143	R18	147,615	59,046,356	553	63,595	950		4000	222				405							0	0			374.2		
WATCH_FOR_SPIT	GEAR	ORANGE	140	R18	14,245	5,698,369	53	6,095	75		3500												0	0			140		
RING_OF_FIRE	GEAR	ORANGE	140	R18	14,245	5,698,369	53	6,095	75		3500												0	0			140		
BADGE_OF_AGILITY	GEAR	ORANGE	140	R18	14,245	5,698,369	53	6,095	75		3000												0	0			120		
SQUISHY	GEAR	ORANGE	140	R18	14,245	5,698,369	53	6,095	75				686										0	0			205.8		
WATER_MUSIC	GEAR	ORANGE	145	R19	14,245	5,698,369	53	6,095	75			500											0	0			300		
INNER_BEAUTY	GEAR	ORANGE	145	R19	14,245	5,698,369	53	6,095	75		9009												0	0			360.36		
SNAKE_BALLOON	GEAR	ORANGE	145	R19	28,501	11,400,593	107	12,305	175		10001	550											0	0			730.04		
CLEAN_SWEAP	GEAR	ORANGE	145	R19	96,145	38,458,204	360	41,400	625		20001	763	1103										0	0			1588.74		
PROGRAM_SCANNER	GEAR	ORANGE	146	R19	105,167	42,066,914	394	45,310	675			756	1023				2800						0	0			1320.5		
CALL_THE_SUPER	GEAR	ORANGE	147	R19	96,087	38,435,072	360	41,400	625		18963		1056										0	0			1075.32		
SMART_HOUSE	GEAR	ORANGE	148	R19	80,588	32,235,493	302	34,730	525		16353		952										0	0			939.72		
HORSE_WITH_TWO_REAR_ENDS	GEAR	ORANGE	149	R19	99,923	39,969,544	375	43,125	650		15236	332											0	0			808.64		
LOST_NANNY	GEAR	ORANGE	150	R19	105,475	42,190,289	395	45,425	675		13226	423				1252							0	0			1033.24		
SPOONFUL_OF_SUGAR	GEAR	ORANGE	147	R19	83,769	33,507,795	314	36,110	525				452	852									0	0			144.12		
ROYAL_DOULTON_BOWL	GEAR	RED	146	R19	136,483	54,593,301	512	58,880	875		19002	825	1325										0	0			1652.58		
MYSTICAL_MONKEY_POWER	GEAR	RED	147	R19	146,777	58,710,931	550	63,250	950		22222	1000											0	0			1488.88		
SORORITY_SISTERS	GEAR	RED	147	R19	143,374	57,349,954	538	61,870	925			752	966										0	0			741		
DOGS_IN_DISGUISE	GEAR	RED	149	R19	146,035	58,414,061	547	62,905	950							1600	2210						0	0			762		
WADDLES	GEAR	RED	148	R19	154,073	61,629,514	578	66,470	1000		10200		620				1100						0	0			814		
SUNKEN_SHIP	GEAR	RED	148	R19	136,454	54,581,734	512	58,880	875					3963		1450							0	0			329.63		
SMOOTH_JAZZ	GEAR	ORANGE	145	R19	17,812	7,124,888	67	7,705	100			600											0	0			360		
DAYDREAM_HUNTER	GEAR	ORANGE	145	R19	17,812	7,124,888	67	7,705	100			650											0	0			390		
THINGS_FALL_APART	GEAR	ORANGE	145	R19	17,812	7,124,888	67	7,705	100			650											0	0			390		
LITTLE_HELPER	GEAR	ORANGE	145	R19	17,812	7,124,888	67	7,705	100			550											0	0			330		
SEWER_SHARK	GEAR	ORANGE	150	R20	14,245	5,698,369	53	6,095	75		11505		502										0	0			610.8		
FIXER_UPPER	GEAR	ORANGE	150	R20	14,245	5,698,369	53	6,095	75			450		12000									0	0			390		
MOVEABLE_COAT_RACK	GEAR	ORANGE	150	R20	28,501	11,400,593	107	12,305	175		14200	562	952	12000									0	0			1310.8		
PEA_SOUP	GEAR	ORANGE	150	R20	109,543	43,817,293	411	47,265	700			1100	1300										0	0			1050		
CAT_FAMILY_PORTRAIT	GEAR	ORANGE	151	R20	100,598	40,239,427	377	43,355	650			960	1450										0	0			1011		
MICKEY_WAFFLES	GEAR	ORANGE	152	R20	109,880	43,952,234	412	47,380	700		13200		1060										0	0			846		
CAT_IN_A_BOX	GEAR	ORANGE	153	R20	101,234	40,493,887	380	43,700	650				920			2701							0	0			816.2		
ANGRY_CHIPMUNKS	GEAR	ORANGE	154	R20	112,328	44,931,520	421	48,415	725		12200	792					3200						0	0			1603.2		
PRETEND_PRINCE	GEAR	ORANGE	155	R20	108,338	43,335,360	406	46,690	700		10500			8008									0	0			500.08		
BOTTOMLESS_BAG	GEAR	ORANGE	152	R20	110,246	44,098,741	413	47,495	700		8520	320	565										0	0			702.3		
AZTEC_SKULL	GEAR	RED	151	R20	136,695	54,678,121	512	58,880	875		15606	920	1520			2605	2905						0	0			2734.24		
INTERDIMENSIONAL_DOOR	GEAR	RED	152	R20	137,765	55,106,077	516	59,340	900		13200		1120				2700						0	0			1404		
ADVENTURE_JAMIE	GEAR	RED	152	R20	118,911	47,564,799	446	51,290	775				1550										0	0			465		
OREILLY_LUCKY_COIN	GEAR	RED	154	R20	123,345	49,338,310	462	53,130	800							3000	3000						0	0			1200		
OLD_SCALIWAG	GEAR	RED	153	R20	128,984	51,593,754	484	55,660	825			530				1865							0	0			691		
WIND_CAN_DO_IT	GEAR	RED	153	R20	126,401	50,560,491	474	54,510	825		8605			6900		808							0	0			574.8		
MELODYS_NECKLACE	GEAR	ORANGE	150	R20	17,812	7,124,888	67	7,705	100		12000	600											0	0			840		
TRUSTY_BIKE	GEAR	ORANGE	150	R20	17,812	7,124,888	67	7,705	100		12000	750											0	0			930		
DONT_BAT_AN_EYE	GEAR	ORANGE	150	R20	17,812	7,124,888	67	7,705	100				808			1500	1500						0	0			842.4		
BAO	GEAR	ORANGE	150	R20	17,812	7,124,888	67	7,705	100		12000												0	0			480		
CAT_ON_A_LAPTOP	GEAR	RED	155	R21	14,245	5,698,369	53	6,095	75		16666												0	0			666.64		
GRUESOME_GRAVE	GEAR	RED	155	R21	14,245	5,698,369	53	6,095	75								3600						0	0			720		
ESCAPE	GEAR	RED	155	R21	28,501	11,400,593	107	12,305	175		19876						4200						0	0			1635.04		
PIXY_PARADE	GEAR	ORANGE	155	R21	93,832	37,532,894	352	40,480	600		24000		2800										0	0			1800		
BABY_PROOF	GEAR	ORANGE	156	R21	94,478	37,791,210	354	40,710	600		20335	1050											0	0			1443.4		
ARLOS_ROCK	GEAR	ORANGE	157	R21	98,921	39,568,577	371	42,665	625		23255	755	1952										0	0			1968.8		
PERCYS_BATH_TIME	GEAR	ORANGE	158	R21	101,976	40,790,757	382	43,930	650							4999							0	0			999.8		
ARLOS_BERRIES	GEAR	ORANGE	159	R21	104,560	41,824,020	392	45,080	675								6555						0	0			1311		
JANES_SKETCH	GEAR	ORANGE	160	R21	99,750	39,900,146	374	43,010	650		17005		1563	5300									0	0			1202.1		
FISH_IN_A_BOWL	GEAR	ORANGE	157	R21	98,921	39,568,577	371	42,665	625		9005			15300									0	0			513.2		
DANCING_MUSHROOMS	GEAR	RED	156	R21	171,770	68,708,137	644	74,060	1125		22222					5620							0	0			2012.88		
BUG_JUICE	GEAR	RED	157	R21	177,524	71,009,846	666	76,590	1150		20000					4200	4201						0	0			2480.2		
