	EXP_TO_NEXT_LEVEL	MAX_HERO_LEVEL	MAX_STAMINA	STAMINA_GAIN_ON_LEVEL	POOL_EXP_PER_STAMINA
720	16,252,000	720	60,936,507,630	242,405	144
721	16,313,000	721	61,667,745,720	242,415	145
722	16,374,000	722	62,407,758,670	242,415	145
723	16,435,000	723	63,156,651,770	242,415	145
724	16,497,000	724	63,914,531,590	242,415	145
725	16,559,000	725	64,681,505,970	242,415	145
726	16,621,000	726	65,457,684,040	242,425	146
727	16,683,000	727	66,243,176,250	242,425	146
728	16,745,000	728	67,038,094,370	242,425	146
729	16,807,000	729	67,842,551,500	242,425	146
730	16,869,000	730	68,656,662,120	242,425	146
731	16,932,000	731	69,480,542,070	242,435	147
732	16,995,000	732	70,314,308,570	242,435	147
733	17,058,000	733	71,158,080,270	242,435	147
734	17,121,000	734	72,011,977,230	242,435	147
735	17,184,000	735	72,876,120,960	242,435	147
736	17,247,000	736	73,750,634,410	242,445	148
737	17,310,000	737	74,635,642,020	242,445	148
738	17,374,000	738	75,531,269,720	242,445	148
739	17,438,000	739	76,437,644,960	242,445	148
740	17,502,000	740	77,354,896,700	242,445	148
741	17,566,000	741	78,283,155,460	242,455	149
742	17,630,000	742	79,222,553,330	242,455	149
743	17,694,000	743	80,173,223,970	242,455	149
744	17,758,000	744	81,135,302,660	242,455	149
745	17,823,000	745	82,108,926,290	242,455	149
746	17,888,000	746	83,094,233,410	242,465	150
747	17,953,000	747	84,091,364,210	242,465	150
748	18,018,000	748	85,100,460,580	242,465	150
749	18,083,000	749	86,121,666,110	242,465	150
750	18,148,000	750	87,155,126,100	242,465	150
