	BOOK_ID	CONTENT_RELEASE	CATEGORY	DIFFICULTY	COST	DURATION	MAX_PROGRESS	IMPLEMENTATION_CLASS	IMPLEMENTATION_EXTRA	STARTER	TOKEN_REWARD
DOWNLOAD_COMPLETE	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Easy	200	7 d	5	HireMercenariesChallenge	neededCollection=WRECK_IT_RALPH		500
HERO_FOR_HIRE	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Easy	200	7 d	5	HireMercenariesChallenge	neededCollection=INCREDIBLES		500
MAYOR_FOR_A_DAY	WEEKLY_CHALLENGES_SUMMER_2018	R15	city watch	Hard	200	7 d	4	MultiExpeditionChallenge	uniqueDifficulties=true		500
HEXEPTIONAL	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Medium	200	7 d	10	WinFightsChallenge	gameMode=INVASION_BREAKER, gameMode2=INVASION_WARD, neededModifier=ITEM_HEX		500
NOT_SO_FAST	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Medium	200	7 d	50	WinFightsChallenge	checkLosses=true, gameMode=INVASION_BREAKER, gameMode2=INVASION_WARD, gameMode3=INVASION_BOSS, neededModifier=ITEM_SLOW		500
TIME_TO_SHRED	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Medium	200	7 d	60	WinFightsChallenge	checkLosses=true, gameMode=INVASION_BREAKER, gameMode2=INVASION_WARD, gameMode3=INVASION_BOSS, neededModifier=ITEM_ARMOR_SHRED, neededModifier2=ITEM_REALITY_SHRED, countModifiers=true		500
EVERYTHING_MUST_GO	WEEKLY_CHALLENGES_SUMMER_2018	R1	merchants	Easy	200	7 d	3	MerchantPurchaseChallenge	merchant=NORMAL, neededSlots=6		500
TIDYING_UP	WEEKLY_CHALLENGES_SUMMER_2018	R1	inventory	Easy	200	7 d	300	SellItemChallenge	category_1=SHARD, category_2=REEL		500
DONATION_STATION	WEEKLY_CHALLENGES_SUMMER_2018	R1	guild	Easy	200	7 d	35	GuildDonationChallenge	requiredType=HERO_XP		500
GOLDEN_GIVER	WEEKLY_CHALLENGES_SUMMER_2018	R1	guild	Easy	200	7 d	35	GuildDonationChallenge	requiredType=SKILL_LEVEL		500
UNBEATABLE	WEEKLY_CHALLENGES_SUMMER_2018	R1	friends	Easy	200	7 d	30	WinFightsChallenge	requireFast=true, resetOnLoss=true, withoutGameMode=INVASION_BOSS		500
MASTER_PIECES	WEEKLY_CHALLENGES_SUMMER_2018	R9000	collections	Hard	200	7 d	150	EarnMasteryChallenge			500
CROSSING_BORDERS	WEEKLY_CHALLENGES_SUMMER_2018	R3	collections	Easy	200	7 d	7	AvatarChangeChallenge	oncePerDay=true, requireNewBorder=true		500
HELP_ME_UP	WEEKLY_CHALLENGES_SUMMER_2018	R1	guild	Easy	200	7 d	5	GuildDonationChallenge	sameRecipiant=true		500
RAIDING_PARTY	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Medium	200	7 d	1500	RaidChallenge			500
FRIENDS_FOREVER	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Medium	200	7 d	30	WinFightsChallenge	requireFriends=true, withoutGameMode=FRIEND_CAMPAIGN		500
TURTLE_UP	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	500	CombatStatsChallenge	countAttackers=true, stat=SHIELDS_CREATED		500
BAD_LUCK	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	50	CombatStatsChallenge	countDefenders=true, stat=TIMES_CURSED, allowQuickFights=false		500
NOT_A_PEEP	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	50	CombatStatsChallenge	countDefenders=true, stat=TIMES_SILENCED, allowQuickFights=false		500
SIGHT_UNSEEN	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	50	CombatStatsChallenge	countDefenders=true, stat=TIMES_BLINDED, allowQuickFights=false		500
DAUNTLESS	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	50	CombatStatsChallenge	countAttackers=true, stat=TIMES_INVINCIBLE, allowQuickFights=false		500
TEA_PARTY	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Easy	200	7 d	30	WinFightsChallenge	checkLosses=true, requriredAttacker=MAD_HATTER		500
LINKED_UP	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Easy	200	7 d	30	WinFightsChallenge	checkLosses=true, requriredAttacker=MEGARA		500
STAR_STUDDED	WEEKLY_CHALLENGES_SUMMER_2018	R1	heroes	Easy	200	7 d	3	EvolveHeroesChallenge	sumEvolutions=true		500
FAST_TRACKED	WEEKLY_CHALLENGES_SUMMER_2018	R1	heroes	Easy	200	7 d	10	PromoteHeroesChallenge			500
DESSERT_FIRST	WEEKLY_CHALLENGES_SUMMER_2018	R17	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=VANELLOPE, requiredDefender=SOULLESS_ONION, countRequriedDefenders=true		500
DEAD_CHEST_MAN	WEEKLY_CHALLENGES_SUMMER_2018	R11	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=JACK_SPARROW, requiredDefender=SOULLESS_TREASURE, countRequriedDefenders=true		500
FUSSY_FLORA	WEEKLY_CHALLENGES_SUMMER_2018	R16	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=FINNICK, requiredDefender=SOULLESS_CACTUS_N, requiredDefender2=SOULLESS_CACTUS_F, countRequriedDefenders=true		500
HERO_S_DUTY	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=CALHOUN, requiredDefender=SOULLESS_BUG_N, requiredDefender2=SOULLESS_BUG_F, countRequriedDefenders=true		500
LONG_HORNS_OF_THE_LAW	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=CHIEF_BOGO, requiredDefender=CAT_BURGLAR, countRequriedDefenders=true		500
BUCKET_OF_BOLTS	WEEKLY_CHALLENGES_SUMMER_2018	R14	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=REX, requiredDefender=SOULLESS_DINOSAUR, requiredDefender2=SOULLESS_DINOSAUR_F, countRequriedDefenders=true		500
VANISHING_ACT	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=VIOLET, requiredDefender=SOULLESS_MAGE_N, requiredDefender2=SOULLESS_MAGE_F, countRequriedDefenders=true		500
SPARE_PARTS	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=HIRO, requiredDefender=SOULLESS_GLASS_CANNON_N, requiredDefender2=SOULLESS_GLASS_CANNON_F, countRequriedDefenders=true		500
KILLING_WITH_KINDNESS	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=FELIX, requiredDefender=SOULLESS_BRUTE, countRequriedDefenders=true		500
CROSS_BONES	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=JACK_SPARROW, requiredDefender=SOULLESS_SKELETON, countRequriedDefenders=true		500
SPIRIT_CLEANSE	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=YAX, requiredDefender=SOULLESS_GHOUL_N, requiredDefender2=SOULLESS_GHOUL_F, countRequriedDefenders=true		500
GLASS_CANNON	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=HECTOR_BARBOSSA, requiredDefender=SOULLESS_CANNON, countRequriedDefenders=true		500
FAILED_EXPERIMENTS	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=STITCH, requiredDefender=SOULLESS_SPLASH_N, requiredDefender2=SOULLESS_SPLASH_F, countRequriedDefenders=true		500
PACIFIER	WEEKLY_CHALLENGES_SUMMER_2018	R18	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=JACK_JACK, requiredDefender=SOULLESS_FROST_MONSTER, countRequriedDefenders=true		500
FREEZE_FRAME	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ENEMY_FREEZE, countDefenders=true		500
SLOW_YOUR_ROLL	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ENEMY_DEBUFF_MOVEMENT, countDefenders=true		500
SLUGGISH_SLUGGERS	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ENEMY_DEBUFF_ATTACK_SPEED, countDefenders=true		500
SPRING_TRAINING	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ALLY_BUFF_MOVEMENT, countAttackers=true		500
PUMPED_UP	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ALLY_BUFF_ATTACK_SPEED, countAttackers=true		500
COUCH_POTATO	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ENEMY_DEBUFF_BASIC_DAMAGE, countDefenders=true		500
FORCE_MULTIPLIER	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ALLY_BUFF_BASIC_DAMAGE, countAttackers=true		500
GET_REAL	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ALLY_BUFF_REALITY, countAttackers=true		500
PURE_FANTASY	WEEKLY_CHALLENGES_SUMMER_2018	R9000	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ENEMY_DEBUFF_REALITY, countDefenders=true		500
HARD_SHELL	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ALLY_BUFF_ARMOR, countAttackers=true		500
TAKE_A_LOAD_OFF	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ENEMY_DEBUFF_ARMOR, countDefenders=true		500
LOW_BATTERY	WEEKLY_CHALLENGES_SUMMER_2018	R9000	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ENEMY_DEBUFF_SKILL_POWER, countDefenders=true		500
MAGIC_WAND	WEEKLY_CHALLENGES_SUMMER_2018	R2	combat	Medium	200	7 d	50	CombatStatsChallenge	stat=ALLY_BUFF_SKILL_POWER, countAttackers=true		500
ON_THE_LOOSE	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Easy	200	7 d	30	WinFightsChallenge	checkLosses=true, requriredAttacker=STITCH		500
DOUBLE_TROUBLE	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Easy	200	7 d	30	WinFightsChallenge	checkLosses=true, requriredAttacker=RALPH, requriredAttacker2=VANELLOPE, minRequriredAttackers=2		500
CHILL_OUT	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Easy	200	7 d	30	WinFightsChallenge	checkLosses=true, requriredAttacker=FROZONE		500
TRUE_BLUE	WEEKLY_CHALLENGES_SUMMER_2018	R3	mercenaries	Easy	200	7 d	20	HireMercenariesChallenge	neededTeam=BLUE		500
YOUVE_GOT_MAIL	WEEKLY_CHALLENGES_SUMMER_2018	R1	chat	Medium	200	7 d	10	ChatChallenge	chatRoom=PERSONAL_MESSAGE, friend=true, unique=true, receive=true		500
CRATE_CRACKER	WEEKLY_CHALLENGES_SUMMER_2018	R1	chests	Medium	200	7 d	200	OpenChestsChallenge			500
MAXIMUM_MOXIE	WEEKLY_CHALLENGES_SUMMER_2018	R9000	guild	Easy	200	7 d	25	GuildDonationChallenge	requiredType=STAMINA		500
YELLOW_FELLOWS	WEEKLY_CHALLENGES_SUMMER_2018	R3	mercenaries	Medium	200	7 d	30	HireMercenariesChallenge	neededTeam=YELLOW		500
UNVALID_INVADERS	WEEKLY_CHALLENGES_SUMMER_2018	R7	invasion	Medium	200	7 d	30	WinFightsChallenge	gameMode=INVASION_BOSS, neededMultiplier=1		500
NO_NO_INDIGO	WEEKLY_CHALLENGES_SUMMER_2018	R3	surge	Easy	200	7 d	15	WinFightsChallenge	gameMode=SURGE, withoutTeamColor=BLUE		500
THE_BIGGER_THEY_ARE	WEEKLY_CHALLENGES_SUMMER_2018	R1	arena	Hard	200	7 d	7	WinFightsChallenge	gameMode=FIGHT_PIT, underPowered=10000		500
BIG_AND_BEEFY	WEEKLY_CHALLENGES_SUMMER_2018	R7	combat	Medium	200	7 d	100	CombatStatsChallenge	stat=TIMES_HARDIED, countAttackers=true		500
MAROONED	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Easy	200	7 d	15	SingleExpeditionChallenge	withoutHeroTeam=RED		500
CRIMSON_CRUSADERS	WEEKLY_CHALLENGES_SUMMER_2018	R3	mercenaries	Medium	200	7 d	40	HireMercenariesChallenge	neededTeam=RED		500
JOIN_THE_FIGHT	WEEKLY_CHALLENGES_SUMMER_2018	R7	invasion	Easy	200	7 d	30	InvasionBossRewardChallenge	rewardType=PARTICIPANT, foundByGuildOnly=true		500
BADGENSTEIN	WEEKLY_CHALLENGES_SUMMER_2018	R3	enhancement	Medium	200	7 d	500	EnchantItemsDailyChallenge	oncePerDay=false, trackPartialEnchantment=true, progressOnItemsUsed=true		500
ALCHEMY_MACHINE	WEEKLY_CHALLENGES_SUMMER_2018	R3	shops	Easy	200	7 d	1000000	SellItemChallenge	category_0=GEAR, category_1=SHARD, category_2=REEL, countGoldValue=true		500
EMOJI_BONANZA	WEEKLY_CHALLENGES_SUMMER_2018	R3	chat	Easy	200	7 d	7	ChatChallenge	requireEmoji=DISNEY, oncePerDay=true		500
SUPER_SERUM	WEEKLY_CHALLENGES_SUMMER_2018	R7	invasion	Hard	200	7 d	200	EmpowerHeroChallenge	singleHero=true		500
FREQUENT_SHOPPER	WEEKLY_CHALLENGES_SUMMER_2018	R3	shops	Easy	200	7 d	5	MerchantPurchaseChallenge	merchant=FIGHT_PIT, triggersPerDay=1		500
FREE_CLIMBING	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Medium	200	7 d	15	SingleExpeditionChallenge	withoutHeroRole=SUPPORT		500
WARRIORS_ONLY	WEEKLY_CHALLENGES_SUMMER_2018	R7	invasion	Medium	200	7 d	10	WinFightsChallenge	gameMode=INVASION_BOSS, withoutHeroRole=SUPPORT		500
LOSING_CONTROL	WEEKLY_CHALLENGES_SUMMER_2018	R7	invasion	Medium	200	7 d	20	WinFightsChallenge	gameMode=INVASION_BREAKER, withoutHeroRole=CONTROL		500
DUCK_BLUR	WEEKLY_CHALLENGES_SUMMER_2018	R3	mercenaries	Easy	200	7 d	5	HireMercenariesChallenge	neededCollection=DUCKTALES		500
REWRITE_HISTORY	WEEKLY_CHALLENGES_SUMMER_2018	R3	campaign	Medium	200	7 d	10	WinFightsChallenge	gameMode=CAMPAIGN, chapter=22, neededCollection=DUCKTALES		500
SOLVE_A_MYSTERY	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Hard	200	7 d	15	WinFightsChallenge	gameMode=EXPEDITION, neededCollection=DUCKTALES		500
WATCH_OUT	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Medium	200	7 d	15	SingleExpeditionChallenge	withoutHeroTeam=BLUE		500
ON_NOTICE	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Medium	200	7 d	15	SingleExpeditionChallenge	withoutHeroTeam=YELLOW		500
PRINCESS_POWER	WEEKLY_CHALLENGES_SUMMER_2018	R3	campaign	Medium	200	7 d	10	WinFightsChallenge	gameMode=CAMPAIGN, chapter=22, neededCollection=PRINCESS		500
ROYAL_GUARD	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Medium	200	7 d	15	WinFightsChallenge	gameMode=EXPEDITION, neededCollection=PRINCESS		500
BATTLE_ROYALE	WEEKLY_CHALLENGES_SUMMER_2018	R3	combat	Easy	200	7 d	50	WinFightsChallenge	neededCollection=PRINCESS, maxNeededInCollection=1		500
WINDS_OF_CHANGE	WEEKLY_CHALLENGES_SUMMER_2018	R3	combat	Easy	200	7 d	50	WinFightsChallenge	withoutAttacker=RANDALL_BOGGS		500
BEAT_DOWN	WEEKLY_CHALLENGES_SUMMER_2018	R3	combat	Easy	200	7 d	50	WinFightsChallenge	withoutAttacker=ANIMAL		500
HELPING_HAND	WEEKLY_CHALLENGES_SUMMER_2018	R3	mercenaries	Easy	200	7 d	7	PostMercenariesChallenge	oncePerDay=true		500
IN_SECURITY	WEEKLY_CHALLENGES_SUMMER_2018	R9000	heist	Medium	200	7 d	10	HeistCombatChallenge	requiredSubtype=BODYGUARD_AMBUSH		500
GOON_B_GONE	WEEKLY_CHALLENGES_SUMMER_2018	R9000	heist	Medium	200	7 d	10	HeistCombatChallenge	requiredSubtype=ACCOMPLICE_AMBUSH		500
FIRECRACKERS	WEEKLY_CHALLENGES_SUMMER_2018	R3	combat	Easy	200	7 d	30	WinFightsChallenge	requireFast=true		500
FIREWORKS	WEEKLY_CHALLENGES_SUMMER_2018	R3	combat	Medium	200	7 d	50	WinFightsChallenge	requireFast=true		500
PATCH_NOTE	WEEKLY_CHALLENGES_SUMMER_2018	R22	combat	Medium	200	7 d	20	WinFightsChallenge	requriredAttacker=KEVIN_FLYNN, requiredDefender=SOULLESS_RED_DOT, countRequriedDefenders=true		500
INSERT_CREDIT	WEEKLY_CHALLENGES_SUMMER_2018	R3	mercenaries	Easy	200	7 d	7	PostMercenariesChallenge	oncePerDay=true, neededCollection=WRECK_IT_RALPH		500
HEROIC_HELPERS	WEEKLY_CHALLENGES_SUMMER_2018	R3	mercenaries	Easy	200	7 d	7	PostMercenariesChallenge	oncePerDay=true, neededCollection=INCREDIBLES		500
CROWNING_ACHIEVEMENT	WEEKLY_CHALLENGES_SUMMER_2018	R3	mercenaries	Easy	200	7 d	5	HireMercenariesChallenge	neededCollection=PRINCESS		500
