	SHARD_GIGANTIC_PEACH	SHARD_LOVE_BUG	SHARD_AIR_HERCS	SHARD_UNBIRTHDAY_HAT	SHARD_REEL_KIMMUNICATOR	SHARD_SHRINK_RAY	SHARD_REEL_MYSTERIOUS_JOURNAL	SHARD_LOVE_BIRDS	SHARD_MERLINS_BAG	SHARD_REEL_LOVE_POTION	SHARD_REEL_HEROES_NIGHT_OUT	SHARD_UNLEADOSAURUS	SHARD_DINOSAUR_EGG	SHARD_HAPPY_MILKSHAKE	SHARD_CONFUZZLE_BALLOON	SHARD_LOST_AND_FOUND	SHARD_IM_LATE	SHARD_BATH_TIME	SHARD_RING_OF_FIRE	SHARD_THINGS_FALL_APART	SHARD_SEWER_SHARK	SHARD_BINGO_IS_HIS_NAMEO	SHARD_TIME_OF_LEARNING	SHARD_FREEMAN_OF_THE_CITY	SHARD_BUSTER	SHARD_WHAT_A_VIEW	SHARD_OWL_CREST	SHARD_SQUEAKER_SQUEAK	SHARD_WATER_HORSE	SHARD_MYSTERIOUS_MAILBOX	SHARD_TOBY	SHARD_SALTY_THE_SEAL	SHARD_BADGE_OF_BEAUTY	SHARD_BNL_NEW_BLUE	SHARD_KNITTING_IN	SHARD_STORM_RHINO	SHARD_MADE_FOR_PUDDLES	SHARD_EMOTIONALLY_DRIVEN	SHARD_HEART_THINGAMABOB	SHARD_EYEWITNESS_DESCRIPTION	SHARD_CREW_22S	SHARD_BOUN_GOES_THE_DYNAMITE	SHARD_STAR_BUTTERFLY	SHARD_SKIPPY_HAT	SHARD_DOWNTOWN	SHARD_HI_DAD_SOUP	SHARD_GIGGLE_MCDIMPLES	SHARD_NOT_DOG_FOOD	SHARD_WARRIORS_IN_TRAINING	SHARD_CONFUSED_CHICKEN	SHARD_HEART_OF_ATLANTIS	SHARD_NEVER_LOST	SHARD_HYDROS	SHARD_MICROBOT	SHARD_TAE_YOUNG	SHARD_BAGUETTE_KNIGHT	SHARD_PLATINUM_CRAB_CAKE	SHARD_PLATINUM_IMAGINATION_SHIP	SHARD_PLATINUM_IMPRACTICAL_CUFFLINKS	SHARD_PLATINUM_TIME_SINK	SHARD_PLATINUM_LAST_RESORT	SHARD_PLATINUM_SAFETY_HELMET	SHARD_PLATINUM_ITS_DUCKY_MOMO	SHARD_PLATINUM_KING_OF_BALD_MOUNTAIN	SHARD_PLATINUM_ARTISTS_PORTRAIT	SHARD_PLATINUM_NACO	SHARD_PLATINUM_IRRESISTIBLY_SHINY	SHARD_PLATINUM_SKY_PIRATES	SHARD_PLATINUM_ANIMAL_AURORA	SHARD_PLATINUM_SUN_CROWN	SHARD_PLATINUM_SELINES_ORB	SHARD_PLATINUM_SMALL_FRY	SHARD_PLATINUM_WATER_MUSIC	SHARD_PLATINUM_HORSE_WITH_TWO_REAR_ENDS	SHARD_PLATINUM_LITTLE_HELPER	SHARD_PLATINUM_PRETEND_PRINCE	SHARD_PLATINUM_ESCAPE	SHARD_PLATINUM_FISH_IN_A_BOWL	SHARD_PLATINUM_CALAMITY_BOX	SHARD_PLATINUM_SAILOR_STRIPES	SHARD_PLATINUM_CAR_FLOATY	SHARD_PLATINUM_SUNKEN_CITY	SHARD_PLATINUM_PIP	SHARD_PLATINUM_BUSTER	SHARD_PLATINUM_KING_OWL	SHARD_PLATINUM_MARIGOLD_PETAL	SHARD_PLATINUM_HIGHER_FOR_HIRE	SHARD_PLATINUM_I_WIN	SHARD_PLATINUM_PEEPHOLE	SHARD_PLATINUM_FLOWER_CROWN	SHARD_PLATINUM_TARZAN_PARROTS	SHARD_PLATINUM_UNPLEASANT_UNICORN	SHARD_PLATINUM_HIT_THE_LIGHTS	SHARD_PLATINUM_MANLY_URGES	SHARD_PLATINUM_RUTT_AND_TUKE	SHARD_PLATINUM_FROG_BAND	SHARD_PLATINUM_BADGE_OF_PRIDE	SHARD_PLATINUM_PERSEPHONE	SHARD_PLATINUM_STRAWBERRY_CHEESE	SHARD_PLATINUM_HYPNOTIZED_COWS	SHARD_
42	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
43	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
44	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
45	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
46	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
47	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
48	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
49	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
50	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
51	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
52	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
53	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
54	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
55	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
56	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
57	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
58	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
59	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
60	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
61	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
62	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
63	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
64	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
65	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
66	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
67	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
68	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
69	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
70	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
71	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
72	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
73	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
74	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
75	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
76	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
77	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
78	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	5-6	4-5	3-4	2-3	1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-6
