	CATEGORY	RARITY
GOOFY_BASE_AVATAR	HERO_AVATAR	UNCOMMON
DUKE_CABOOM_BASE_AVATAR	HERO_AVATAR	UNCOMMON
DUCKY_AND_BUNNY_BASE_AVATAR	HERO_AVATAR	UNCOMMON
BO_PEEP_BASE_AVATAR	HERO_AVATAR	UNCOMMON
PETER_PAN_BASE_AVATAR	HERO_AVATAR	UNCOMMON
RAFIKI_BASE_AVATAR	HERO_AVATAR	UNCOMMON
JAFAR_BASE_AVATAR	HERO_AVATAR	UNCOMMON
JASMINE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
SIMBA_AND_NALA_BASE_AVATAR	HERO_AVATAR	UNCOMMON
TIMON_AND_PUMBAA_BASE_AVATAR	HERO_AVATAR	UNCOMMON
TRON_BASE_AVATAR	HERO_AVATAR	UNCOMMON
HUEY_DEWEY_LOUIE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
MISS_PIGGY_BASE_AVATAR	HERO_AVATAR	UNCOMMON
ANIMAL_BASE_AVATAR	HERO_AVATAR	UNCOMMON
SCROOGE_MCDUCK_BASE_AVATAR	HERO_AVATAR	UNCOMMON
GONZO_BASE_AVATAR	HERO_AVATAR	UNCOMMON
YZMA_BASE_AVATAR	HERO_AVATAR	UNCOMMON
MADAM_MIM_BASE_AVATAR	HERO_AVATAR	UNCOMMON
MEGAVOLT_BASE_AVATAR	HERO_AVATAR	UNCOMMON
RANDALL_BOGGS_BASE_AVATAR	HERO_AVATAR	UNCOMMON
LAUNCHPAD_MCQUACK_BASE_AVATAR	HERO_AVATAR	UNCOMMON
CAPTAIN_HOOK_BASE_AVATAR	HERO_AVATAR	UNCOMMON
GIZMODUCK_BASE_AVATAR	HERO_AVATAR	UNCOMMON
DONALD_DUCK_BASE_AVATAR	HERO_AVATAR	UNCOMMON
OOGIE_BOOGIE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
FLYNN_RIDER_BASE_AVATAR	HERO_AVATAR	UNCOMMON
MAGICA_DE_SPELL_BASE_AVATAR	HERO_AVATAR	UNCOMMON
RAPUNZEL_BASE_AVATAR	HERO_AVATAR	UNCOMMON
KIDA_BASE_AVATAR	HERO_AVATAR	UNCOMMON
COLETTE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
LINGUINI_AND_REMY_BASE_AVATAR	HERO_AVATAR	UNCOMMON
HANK_AND_DORY_BASE_AVATAR	HERO_AVATAR	UNCOMMON
DR_FACILIER_BASE_AVATAR	HERO_AVATAR	UNCOMMON
GERALD_MARLIN_NEMO_BASE_AVATAR	HERO_AVATAR	UNCOMMON
POWERLINE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
KRISTOFF_AND_SVEN_BASE_AVATAR	HERO_AVATAR	UNCOMMON
GOLIATH_BASE_AVATAR	HERO_AVATAR	UNCOMMON
TIGGER_BASE_AVATAR	HERO_AVATAR	UNCOMMON
WINNIE_THE_POOH_BASE_AVATAR	HERO_AVATAR	UNCOMMON
MUSHU_BASE_AVATAR	HERO_AVATAR	UNCOMMON
SHAN_YU_BASE_AVATAR	HERO_AVATAR	UNCOMMON
EEYORE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
MULAN_BASE_AVATAR	HERO_AVATAR	UNCOMMON
JAFAR_SMILE	DISNEY_EMOJI	COMMON
JAFAR_EXCITE	DISNEY_EMOJI	COMMON
JAFAR_GROSS	DISNEY_EMOJI	RARE
JAFAR_LOVE	DISNEY_EMOJI	UNCOMMON
JAFAR_POWER	DISNEY_EMOJI	LEGENDARY
JAFAR_SCARED	DISNEY_EMOJI	UNCOMMON
JAFAR_SLEEP	DISNEY_EMOJI	RARE
JAFAR_SURPRISE	DISNEY_EMOJI	UNCOMMON
JAFAR_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
QUEEN_OF_HEARTS_SMILE	DISNEY_EMOJI	COMMON
QUEEN_OF_HEARTS_EXCITE	DISNEY_EMOJI	COMMON
QUEEN_OF_HEARTS_GROSS	DISNEY_EMOJI	RARE
QUEEN_OF_HEARTS_LOVE	DISNEY_EMOJI	UNCOMMON
QUEEN_OF_HEARTS_POWER	DISNEY_EMOJI	LEGENDARY
QUEEN_OF_HEARTS_SCARED	DISNEY_EMOJI	UNCOMMON
QUEEN_OF_HEARTS_SLEEP	DISNEY_EMOJI	RARE
QUEEN_OF_HEARTS_SURPRISE	DISNEY_EMOJI	UNCOMMON
QUEEN_OF_HEARTS_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
BEAST_SMILE	DISNEY_EMOJI	COMMON
BEAST_EXCITE	DISNEY_EMOJI	COMMON
BEAST_GROSS	DISNEY_EMOJI	RARE
BEAST_LOVE	DISNEY_EMOJI	UNCOMMON
BEAST_POWER	DISNEY_EMOJI	LEGENDARY
BEAST_SCARED	DISNEY_EMOJI	UNCOMMON
BEAST_SLEEP	DISNEY_EMOJI	RARE
BEAST_SURPRISE	DISNEY_EMOJI	UNCOMMON
BEAST_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
LAUNCHPAD_MCQUACK_SMILE	DISNEY_EMOJI	COMMON
LAUNCHPAD_MCQUACK_EXCITE	DISNEY_EMOJI	COMMON
LAUNCHPAD_MCQUACK_GROSS	DISNEY_EMOJI	RARE
LAUNCHPAD_MCQUACK_LOVE	DISNEY_EMOJI	UNCOMMON
LAUNCHPAD_MCQUACK_POWER	DISNEY_EMOJI	LEGENDARY
LAUNCHPAD_MCQUACK_SCARED	DISNEY_EMOJI	UNCOMMON
LAUNCHPAD_MCQUACK_SLEEP	DISNEY_EMOJI	RARE
LAUNCHPAD_MCQUACK_SURPRISE	DISNEY_EMOJI	UNCOMMON
LAUNCHPAD_MCQUACK_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
GIZMODUCK_SMILE	DISNEY_EMOJI	COMMON
GIZMODUCK_EXCITE	DISNEY_EMOJI	COMMON
GIZMODUCK_GROSS	DISNEY_EMOJI	RARE
GIZMODUCK_LOVE	DISNEY_EMOJI	UNCOMMON
GIZMODUCK_POWER	DISNEY_EMOJI	LEGENDARY
GIZMODUCK_SCARED	DISNEY_EMOJI	UNCOMMON
GIZMODUCK_SLEEP	DISNEY_EMOJI	RARE
GIZMODUCK_SURPRISE	DISNEY_EMOJI	UNCOMMON
GIZMODUCK_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
RAPUNZEL_SMILE	DISNEY_EMOJI	COMMON
RAPUNZEL_EXCITE	DISNEY_EMOJI	COMMON
RAPUNZEL_GROSS	DISNEY_EMOJI	RARE
RAPUNZEL_LOVE	DISNEY_EMOJI	UNCOMMON
RAPUNZEL_POWER	DISNEY_EMOJI	LEGENDARY
RAPUNZEL_SCARED	DISNEY_EMOJI	UNCOMMON
RAPUNZEL_SLEEP	DISNEY_EMOJI	RARE
RAPUNZEL_SURPRISE	DISNEY_EMOJI	UNCOMMON
RAPUNZEL_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
FLYNN_RIDER_SMILE	DISNEY_EMOJI	COMMON
FLYNN_RIDER_EXCITE	DISNEY_EMOJI	COMMON
FLYNN_RIDER_GROSS	DISNEY_EMOJI	RARE
FLYNN_RIDER_LOVE	DISNEY_EMOJI	UNCOMMON
FLYNN_RIDER_POWER	DISNEY_EMOJI	LEGENDARY
FLYNN_RIDER_SCARED	DISNEY_EMOJI	UNCOMMON
FLYNN_RIDER_SLEEP	DISNEY_EMOJI	RARE
FLYNN_RIDER_SURPRISE	DISNEY_EMOJI	UNCOMMON
FLYNN_RIDER_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
RAFIKI_SMILE	DISNEY_EMOJI	COMMON
RAFIKI_EXCITE	DISNEY_EMOJI	COMMON
RAFIKI_GROSS	DISNEY_EMOJI	RARE
RAFIKI_LOVE	DISNEY_EMOJI	UNCOMMON
RAFIKI_POWER	DISNEY_EMOJI	LEGENDARY
RAFIKI_SCARED	DISNEY_EMOJI	UNCOMMON
RAFIKI_SLEEP	DISNEY_EMOJI	RARE
RAFIKI_SURPRISE	DISNEY_EMOJI	UNCOMMON
RAFIKI_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
KEVIN_FLYNN_SMILE	DISNEY_EMOJI	COMMON
KEVIN_FLYNN_EXCITE	DISNEY_EMOJI	COMMON
KEVIN_FLYNN_GROSS	DISNEY_EMOJI	RARE
KEVIN_FLYNN_LOVE	DISNEY_EMOJI	UNCOMMON
KEVIN_FLYNN_POWER	DISNEY_EMOJI	LEGENDARY
KEVIN_FLYNN_SCARED	DISNEY_EMOJI	UNCOMMON
KEVIN_FLYNN_SLEEP	DISNEY_EMOJI	RARE
KEVIN_FLYNN_SURPRISE	DISNEY_EMOJI	UNCOMMON
KEVIN_FLYNN_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
WINNIE_THE_POOH_SMILE	DISNEY_EMOJI	COMMON
WINNIE_THE_POOH_EXCITE	DISNEY_EMOJI	COMMON
WINNIE_THE_POOH_GROSS	DISNEY_EMOJI	RARE
WINNIE_THE_POOH_LOVE	DISNEY_EMOJI	UNCOMMON
WINNIE_THE_POOH_POWER	DISNEY_EMOJI	LEGENDARY
WINNIE_THE_POOH_SCARED	DISNEY_EMOJI	UNCOMMON
WINNIE_THE_POOH_SLEEP	DISNEY_EMOJI	RARE
WINNIE_THE_POOH_SURPRISE	DISNEY_EMOJI	UNCOMMON
WINNIE_THE_POOH_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
TIGGER_SMILE	DISNEY_EMOJI	COMMON
TIGGER_EXCITE	DISNEY_EMOJI	COMMON
TIGGER_GROSS	DISNEY_EMOJI	RARE
TIGGER_LOVE	DISNEY_EMOJI	UNCOMMON
TIGGER_POWER	DISNEY_EMOJI	LEGENDARY
TIGGER_SCARED	DISNEY_EMOJI	UNCOMMON
TIGGER_SLEEP	DISNEY_EMOJI	RARE
TIGGER_SURPRISE	DISNEY_EMOJI	UNCOMMON
TIGGER_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
EEYORE_SMILE	DISNEY_EMOJI	COMMON
EEYORE_EXCITE	DISNEY_EMOJI	COMMON
EEYORE_GROSS	DISNEY_EMOJI	RARE
EEYORE_LOVE	DISNEY_EMOJI	UNCOMMON
EEYORE_POWER	DISNEY_EMOJI	LEGENDARY
EEYORE_SCARED	DISNEY_EMOJI	UNCOMMON
EEYORE_SLEEP	DISNEY_EMOJI	RARE
EEYORE_SURPRISE	DISNEY_EMOJI	UNCOMMON
EEYORE_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
MAGICA_DE_SPELL_SMILE	DISNEY_EMOJI	COMMON
MAGICA_DE_SPELL_EXCITE	DISNEY_EMOJI	COMMON
MAGICA_DE_SPELL_GROSS	DISNEY_EMOJI	RARE
MAGICA_DE_SPELL_LOVE	DISNEY_EMOJI	UNCOMMON
MAGICA_DE_SPELL_POWER	DISNEY_EMOJI	LEGENDARY
MAGICA_DE_SPELL_SCARED	DISNEY_EMOJI	UNCOMMON
MAGICA_DE_SPELL_SLEEP	DISNEY_EMOJI	RARE
MAGICA_DE_SPELL_SURPRISE	DISNEY_EMOJI	UNCOMMON
MAGICA_DE_SPELL_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
RAJAH_SMILE	DISNEY_EMOJI	COMMON
RAJAH_EXCITE	DISNEY_EMOJI	COMMON
RAJAH_GROSS	DISNEY_EMOJI	RARE
RAJAH_LOVE	DISNEY_EMOJI	UNCOMMON
RAJAH_POWER	DISNEY_EMOJI	LEGENDARY
RAJAH_SCARED	DISNEY_EMOJI	UNCOMMON
RAJAH_SLEEP	DISNEY_EMOJI	RARE
RAJAH_SURPRISE	DISNEY_EMOJI	UNCOMMON
KRISTOFF_AND_SVEN_SMILE	DISNEY_EMOJI	COMMON
KRISTOFF_AND_SVEN_EXCITE	DISNEY_EMOJI	COMMON
KRISTOFF_AND_SVEN_GROSS	DISNEY_EMOJI	RARE
KRISTOFF_AND_SVEN_LOVE	DISNEY_EMOJI	UNCOMMON
KRISTOFF_AND_SVEN_POWER	DISNEY_EMOJI	LEGENDARY
KRISTOFF_AND_SVEN_SCARED	DISNEY_EMOJI	UNCOMMON
KRISTOFF_AND_SVEN_SLEEP	DISNEY_EMOJI	RARE
KRISTOFF_AND_SVEN_SURPRISE	DISNEY_EMOJI	UNCOMMON
SVEN_SMILE	DISNEY_EMOJI	COMMON
SVEN_EXCITE	DISNEY_EMOJI	COMMON
SVEN_GROSS	DISNEY_EMOJI	RARE
SVEN_LOVE	DISNEY_EMOJI	UNCOMMON
SVEN_POWER	DISNEY_EMOJI	LEGENDARY
SVEN_SCARED	DISNEY_EMOJI	UNCOMMON
SVEN_SLEEP	DISNEY_EMOJI	RARE
SVEN_SURPRISE	DISNEY_EMOJI	UNCOMMON
GERALD_SMILE	DISNEY_EMOJI	COMMON
GERALD_EXCITE	DISNEY_EMOJI	COMMON
GERALD_GROSS	DISNEY_EMOJI	RARE
GERALD_LOVE	DISNEY_EMOJI	UNCOMMON
GERALD_SCARED	DISNEY_EMOJI	UNCOMMON
GERALD_SURPRISE	DISNEY_EMOJI	UNCOMMON
MARLIN_SMILE	DISNEY_EMOJI	COMMON
MARLIN_EXCITE	DISNEY_EMOJI	COMMON
MARLIN_GROSS	DISNEY_EMOJI	RARE
MARLIN_LOVE	DISNEY_EMOJI	UNCOMMON
MARLIN_SCARED	DISNEY_EMOJI	UNCOMMON
MARLIN_SURPRISE	DISNEY_EMOJI	UNCOMMON
NEMO_SMILE	DISNEY_EMOJI	COMMON
NEMO_EXCITE	DISNEY_EMOJI	COMMON
NEMO_GROSS	DISNEY_EMOJI	RARE
NEMO_LOVE	DISNEY_EMOJI	UNCOMMON
NEMO_POWER	DISNEY_EMOJI	LEGENDARY
NEMO_SCARED	DISNEY_EMOJI	UNCOMMON
NEMO_SLEEP	DISNEY_EMOJI	RARE
NEMO_SURPRISE	DISNEY_EMOJI	UNCOMMON
TIMON_SMILE	DISNEY_EMOJI	COMMON
TIMON_EXCITE	DISNEY_EMOJI	COMMON
TIMON_GROSS	DISNEY_EMOJI	RARE
TIMON_LOVE	DISNEY_EMOJI	UNCOMMON
TIMON_POWER	DISNEY_EMOJI	LEGENDARY
TIMON_SCARED	DISNEY_EMOJI	UNCOMMON
TIMON_SLEEP	DISNEY_EMOJI	RARE
TIMON_SURPRISE	DISNEY_EMOJI	UNCOMMON
PUMBAA_SMILE	DISNEY_EMOJI	COMMON
PUMBAA_EXCITE	DISNEY_EMOJI	COMMON
PUMBAA_GROSS	DISNEY_EMOJI	RARE
PUMBAA_LOVE	DISNEY_EMOJI	UNCOMMON
PUMBAA_POWER	DISNEY_EMOJI	LEGENDARY
PUMBAA_SCARED	DISNEY_EMOJI	UNCOMMON
PUMBAA_SLEEP	DISNEY_EMOJI	RARE
PUMBAA_SURPRISE	DISNEY_EMOJI	UNCOMMON
SIMBA_SMILE	DISNEY_EMOJI	COMMON
SIMBA_EXCITE	DISNEY_EMOJI	COMMON
SIMBA_GROSS	DISNEY_EMOJI	RARE
SIMBA_LOVE	DISNEY_EMOJI	UNCOMMON
SIMBA_POWER	DISNEY_EMOJI	LEGENDARY
SIMBA_SCARED	DISNEY_EMOJI	UNCOMMON
SIMBA_SLEEP	DISNEY_EMOJI	RARE
SIMBA_SURPRISE	DISNEY_EMOJI	UNCOMMON
NALA_SMILE	DISNEY_EMOJI	COMMON
NALA_EXCITE	DISNEY_EMOJI	COMMON
NALA_GROSS	DISNEY_EMOJI	RARE
NALA_LOVE	DISNEY_EMOJI	UNCOMMON
NALA_SCARED	DISNEY_EMOJI	UNCOMMON
NALA_SURPRISE	DISNEY_EMOJI	UNCOMMON
HANK_SMILE	DISNEY_EMOJI	COMMON
HANK_EXCITE	DISNEY_EMOJI	COMMON
HANK_GROSS	DISNEY_EMOJI	RARE
HANK_LOVE	DISNEY_EMOJI	UNCOMMON
HANK_POWER	DISNEY_EMOJI	LEGENDARY
HANK_SCARED	DISNEY_EMOJI	UNCOMMON
HANK_SLEEP	DISNEY_EMOJI	RARE
HANK_SURPRISE	DISNEY_EMOJI	UNCOMMON
DORY_SMILE	DISNEY_EMOJI	COMMON
DORY_EXCITE	DISNEY_EMOJI	COMMON
DORY_GROSS	DISNEY_EMOJI	RARE
DORY_LOVE	DISNEY_EMOJI	UNCOMMON
DORY_POWER	DISNEY_EMOJI	LEGENDARY
DORY_SCARED	DISNEY_EMOJI	UNCOMMON
DORY_SLEEP	DISNEY_EMOJI	RARE
DORY_SURPRISE	DISNEY_EMOJI	UNCOMMON
LI_SHANG_BASE_AVATAR	HERO_AVATAR	UNCOMMON
LI_SHANG_WHITE_AVATAR	SKILL_AVATAR	COMMON
LI_SHANG_GREEN_AVATAR	SKILL_AVATAR	COMMON
LI_SHANG_BLUE_AVATAR	SKILL_AVATAR	COMMON
LI_SHANG_PURPLE_AVATAR	SKILL_AVATAR	COMMON
LI_SHANG_RED_AVATAR	SKILL_AVATAR	RARE
SYNDROME_BASE_AVATAR	HERO_AVATAR	UNCOMMON
SYNDROME_WHITE_AVATAR	SKILL_AVATAR	COMMON
SYNDROME_GREEN_AVATAR	SKILL_AVATAR	COMMON
SYNDROME_BLUE_AVATAR	SKILL_AVATAR	COMMON
SYNDROME_PURPLE_AVATAR	SKILL_AVATAR	COMMON
SYNDROME_RED_AVATAR	SKILL_AVATAR	RARE
MINNIE_MOUSE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
MINNIE_MOUSE_WHITE_AVATAR	SKILL_AVATAR	COMMON
MINNIE_MOUSE_GREEN_AVATAR	SKILL_AVATAR	COMMON
MINNIE_MOUSE_BLUE_AVATAR	SKILL_AVATAR	COMMON
MINNIE_MOUSE_PURPLE_AVATAR	SKILL_AVATAR	COMMON
MINNIE_MOUSE_RED_AVATAR	SKILL_AVATAR	RARE
EVIL_QUEEN_BASE_AVATAR	HERO_AVATAR	UNCOMMON
EVIL_QUEEN_WHITE_AVATAR	SKILL_AVATAR	COMMON
EVIL_QUEEN_GREEN_AVATAR	SKILL_AVATAR	COMMON
EVIL_QUEEN_BLUE_AVATAR	SKILL_AVATAR	COMMON
EVIL_QUEEN_PURPLE_AVATAR	SKILL_AVATAR	COMMON
EVIL_QUEEN_RED_AVATAR	SKILL_AVATAR	RARE
DAVY_JONES_BASE_AVATAR	HERO_AVATAR	UNCOMMON
DAVY_JONES_WHITE_AVATAR	SKILL_AVATAR	COMMON
DAVY_JONES_GREEN_AVATAR	SKILL_AVATAR	COMMON
DAVY_JONES_BLUE_AVATAR	SKILL_AVATAR	COMMON
DAVY_JONES_PURPLE_AVATAR	SKILL_AVATAR	COMMON
DAVY_JONES_RED_AVATAR	SKILL_AVATAR	RARE
KIM_POSSIBLE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
KIM_POSSIBLE_WHITE_AVATAR	SKILL_AVATAR	COMMON
KIM_POSSIBLE_GREEN_AVATAR	SKILL_AVATAR	COMMON
KIM_POSSIBLE_BLUE_AVATAR	SKILL_AVATAR	COMMON
KIM_POSSIBLE_PURPLE_AVATAR	SKILL_AVATAR	COMMON
KIM_POSSIBLE_RED_AVATAR	SKILL_AVATAR	RARE
DAVY_JONES_SMILE	DISNEY_EMOJI	COMMON
DAVY_JONES_EXCITE	DISNEY_EMOJI	COMMON
DAVY_JONES_GROSS	DISNEY_EMOJI	RARE
DAVY_JONES_LOVE	DISNEY_EMOJI	UNCOMMON
DAVY_JONES_POWER	DISNEY_EMOJI	LEGENDARY
DAVY_JONES_SCARED	DISNEY_EMOJI	UNCOMMON
DAVY_JONES_SLEEP	DISNEY_EMOJI	RARE
DAVY_JONES_SURPRISE	DISNEY_EMOJI	UNCOMMON
DAVY_JONES_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
BELLE_SMILE	DISNEY_EMOJI	COMMON
BELLE_EXCITE	DISNEY_EMOJI	COMMON
BELLE_GROSS	DISNEY_EMOJI	RARE
BELLE_LOVE	DISNEY_EMOJI	UNCOMMON
BELLE_POWER	DISNEY_EMOJI	LEGENDARY
BELLE_SCARED	DISNEY_EMOJI	UNCOMMON
BELLE_SLEEP	DISNEY_EMOJI	RARE
BELLE_SURPRISE	DISNEY_EMOJI	UNCOMMON
BELLE_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
BALOO_BASE_AVATAR	HERO_AVATAR	UNCOMMON
BALOO_WHITE_AVATAR	SKILL_AVATAR	COMMON
BALOO_GREEN_AVATAR	SKILL_AVATAR	COMMON
BALOO_BLUE_AVATAR	SKILL_AVATAR	COMMON
BALOO_PURPLE_AVATAR	SKILL_AVATAR	COMMON
BALOO_RED_AVATAR	SKILL_AVATAR	RARE
KING_LOUIE_BASE_AVATAR	HERO_AVATAR	UNCOMMON
KING_LOUIE_WHITE_AVATAR	SKILL_AVATAR	COMMON
KING_LOUIE_GREEN_AVATAR	SKILL_AVATAR	COMMON
KING_LOUIE_BLUE_AVATAR	SKILL_AVATAR	COMMON
KING_LOUIE_PURPLE_AVATAR	SKILL_AVATAR	COMMON
KING_LOUIE_RED_AVATAR	SKILL_AVATAR	RARE
BASIL_BASE_AVATAR	HERO_AVATAR	UNCOMMON
BASIL_WHITE_AVATAR	SKILL_AVATAR	COMMON
BASIL_GREEN_AVATAR	SKILL_AVATAR	COMMON
BASIL_BLUE_AVATAR	SKILL_AVATAR	COMMON
BASIL_PURPLE_AVATAR	SKILL_AVATAR	COMMON
BASIL_RED_AVATAR	SKILL_AVATAR	RARE
MAXIMUS_BASE_AVATAR	HERO_AVATAR	UNCOMMON
MAXIMUS_WHITE_AVATAR	SKILL_AVATAR	COMMON
MAXIMUS_GREEN_AVATAR	SKILL_AVATAR	COMMON
MAXIMUS_BLUE_AVATAR	SKILL_AVATAR	COMMON
MAXIMUS_PURPLE_AVATAR	SKILL_AVATAR	COMMON
MAXIMUS_RED_AVATAR	SKILL_AVATAR	RARE
CHESHIRE_CAT_BASE_AVATAR	HERO_AVATAR	UNCOMMON
CHESHIRE_CAT_WHITE_AVATAR	SKILL_AVATAR	COMMON
CHESHIRE_CAT_GREEN_AVATAR	SKILL_AVATAR	COMMON
CHESHIRE_CAT_BLUE_AVATAR	SKILL_AVATAR	COMMON
CHESHIRE_CAT_PURPLE_AVATAR	SKILL_AVATAR	COMMON
CHESHIRE_CAT_RED_AVATAR	SKILL_AVATAR	RARE
MAXIMUS_SMILE	DISNEY_EMOJI	COMMON
MAXIMUS_EXCITE	DISNEY_EMOJI	COMMON
MAXIMUS_GROSS	DISNEY_EMOJI	RARE
MAXIMUS_LOVE	DISNEY_EMOJI	UNCOMMON
MAXIMUS_POWER	DISNEY_EMOJI	LEGENDARY
MAXIMUS_SCARED	DISNEY_EMOJI	UNCOMMON
MAXIMUS_SLEEP	DISNEY_EMOJI	RARE
MAXIMUS_SURPRISE	DISNEY_EMOJI	UNCOMMON
MAXIMUS_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
CHESHIRE_CAT_SMILE	DISNEY_EMOJI	COMMON
CHESHIRE_CAT_EXCITE	DISNEY_EMOJI	COMMON
CHESHIRE_CAT_GROSS	DISNEY_EMOJI	RARE
CHESHIRE_CAT_LOVE	DISNEY_EMOJI	UNCOMMON
CHESHIRE_CAT_POWER	DISNEY_EMOJI	LEGENDARY
CHESHIRE_CAT_SCARED	DISNEY_EMOJI	UNCOMMON
CHESHIRE_CAT_SLEEP	DISNEY_EMOJI	RARE
CHESHIRE_CAT_SURPRISE	DISNEY_EMOJI	UNCOMMON
CHESHIRE_CAT_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
JUMBA_BASE_AVATAR	HERO_AVATAR	UNCOMMON
JUMBA_WHITE_AVATAR	SKILL_AVATAR	COMMON
JUMBA_GREEN_AVATAR	SKILL_AVATAR	COMMON
JUMBA_BLUE_AVATAR	SKILL_AVATAR	COMMON
JUMBA_PURPLE_AVATAR	SKILL_AVATAR	COMMON
JUMBA_RED_AVATAR	SKILL_AVATAR	RARE
PLEAKLEY_BASE_AVATAR	HERO_AVATAR	UNCOMMON
PLEAKLEY_WHITE_AVATAR	SKILL_AVATAR	COMMON
PLEAKLEY_GREEN_AVATAR	SKILL_AVATAR	COMMON
PLEAKLEY_BLUE_AVATAR	SKILL_AVATAR	COMMON
PLEAKLEY_PURPLE_AVATAR	SKILL_AVATAR	COMMON
PLEAKLEY_RED_AVATAR	SKILL_AVATAR	RARE
ANGEL_BASE_AVATAR	HERO_AVATAR	UNCOMMON
ANGEL_WHITE_AVATAR	SKILL_AVATAR	COMMON
ANGEL_GREEN_AVATAR	SKILL_AVATAR	COMMON
ANGEL_BLUE_AVATAR	SKILL_AVATAR	COMMON
ANGEL_PURPLE_AVATAR	SKILL_AVATAR	COMMON
ANGEL_RED_AVATAR	SKILL_AVATAR	RARE
SLINKY_DOG_BASE_AVATAR	HERO_AVATAR	UNCOMMON
SLINKY_DOG_WHITE_AVATAR	SKILL_AVATAR	COMMON
SLINKY_DOG_GREEN_AVATAR	SKILL_AVATAR	COMMON
SLINKY_DOG_BLUE_AVATAR	SKILL_AVATAR	COMMON
SLINKY_DOG_PURPLE_AVATAR	SKILL_AVATAR	COMMON
SLINKY_DOG_RED_AVATAR	SKILL_AVATAR	RARE
ANGEL_SMILE	DISNEY_EMOJI	COMMON
ANGEL_EXCITE	DISNEY_EMOJI	COMMON
ANGEL_GROSS	DISNEY_EMOJI	RARE
ANGEL_LOVE	DISNEY_EMOJI	UNCOMMON
ANGEL_POWER	DISNEY_EMOJI	LEGENDARY
ANGEL_SCARED	DISNEY_EMOJI	UNCOMMON
ANGEL_SLEEP	DISNEY_EMOJI	RARE
ANGEL_SURPRISE	DISNEY_EMOJI	UNCOMMON
ANGEL_SMILE_AVATAR	EMOJI_AVATAR	LEGENDARY
CAPTAIN_AMELIA_BASE_AVATAR	HERO_AVATAR	UNCOMMON
CAPTAIN_AMELIA_WHITE_AVATAR	SKILL_AVATAR	COMMON
CAPTAIN_AMELIA_GREEN_AVATAR	SKILL_AVATAR	COMMON
CAPTAIN_AMELIA_BLUE_AVATAR	SKILL_AVATAR	COMMON
CAPTAIN_AMELIA_PURPLE_AVATAR	SKILL_AVATAR	COMMON
CAPTAIN_AMELIA_RED_AVATAR	SKILL_AVATAR	RARE
IAN_LIGHTFOOT_BASE_AVATAR	HERO_AVATAR	UNCOMMON
IAN_LIGHTFOOT_WHITE_AVATAR	SKILL_AVATAR	COMMON
IAN_LIGHTFOOT_GREEN_AVATAR	SKILL_AVATAR	COMMON
IAN_LIGHTFOOT_BLUE_AVATAR	SKILL_AVATAR	COMMON
IAN_LIGHTFOOT_PURPLE_AVATAR	SKILL_AVATAR	COMMON
IAN_LIGHTFOOT_RED_AVATAR	SKILL_AVATAR	RARE
LOCK_SHOCK_BARREL_BASE_AVATAR	HERO_AVATAR	UNCOMMON
LOCK_SHOCK_BARREL_WHITE_AVATAR	SKILL_AVATAR	COMMON
LOCK_SHOCK_BARREL_GREEN_AVATAR	SKILL_AVATAR	COMMON
LOCK_SHOCK_BARREL_BLUE_AVATAR	SKILL_AVATAR	COMMON
LOCK_SHOCK_BARREL_PURPLE_AVATAR	SKILL_AVATAR	COMMON
LOCK_SHOCK_BARREL_RED_AVATAR	SKILL_AVATAR	RARE
SADNESS_BASE_AVATAR	HERO_AVATAR	UNCOMMON
SADNESS_WHITE_AVATAR	SKILL_AVATAR	COMMON
SADNESS_GREEN_AVATAR	SKILL_AVATAR	COMMON
SADNESS_BLUE_AVATAR	SKILL_AVATAR	COMMON
SADNESS_PURPLE_AVATAR	SKILL_AVATAR	COMMON
SADNESS_RED_AVATAR	SKILL_AVATAR	RARE
DISGUST_BASE_AVATAR	HERO_AVATAR	UNCOMMON
